party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,155,94,55,304,21.62
1,Labor,137,69,31,237,16.86
4,Liberal,105,42,18,165,11.74
2,Solidarity,84,53,11,148,10.53
5,Populist,70,46,24,140,9.96
3,Nationalist,71,49,17,137,9.74
6,Civic Union Party,56,42,18,116,8.25
9,Progressive,41,15,11,67,4.77
8,DSA,31,12,4,47,3.34
7,Order and Opportunity Party,27,13,5,45,3.2
