party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,155,94,55,304,21.62
1,Labor,137,69,31,237,16.86
4,Liberal,105,42,18,165,11.74
2,Solidarity,84,53,11,148,10.53
5,Populist,71,46,24,141,10.03
3,Nationalist,67,50,16,133,9.46
6,Civic Union Party,56,43,18,117,8.32
9,Progressive,41,15,11,67,4.77
7,Order and Opportunity Party,30,13,6,49,3.49
8,DSA,31,10,4,45,3.2
