state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_id,fc_pct_CON_hi_pc,fc_pct_CON_lo_id,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_id,fc_pct_DSA_lo_id,fc_pct_LBR,fc_pct_LBR_hi_id,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_id,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_id,fc_pct_NAT_lo_id,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_id,fc_pct_POP_hi_pc,fc_pct_POP_lo_id,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_id,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_id,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_hi_pc,CON,pc,hi,440.39,5,0.0,3.925,8.03,7.318,12.016,1.548,3.623,3.175,0.0,5.322,4.376,0.0,1.811,0.551,2.042,0.925,1.815,3.388,0.59,1.678,1.23,0.511,2.136,10.153,2.275,0.0,0.405,2.78,2.571,4.053,0.337,0.0,3.563,0.836,1.54,2.351,0.678,2.446
2,AK,LBR_lo_so,LBR,so,lo,78.38,5,0.0,5.774,4.333,11.72,0.395,0.0,9.86,2.402,0.0,2.069,0.301,0.0,0.0,1.821,0.742,3.352,8.246,7.82,2.692,5.17,2.26,1.672,2.572,5.454,0.774,0.0,2.109,1.461,1.461,0.685,2.239,0.888,0.378,0.24,0.453,7.48,0.972,2.206
4,AZ,CON_hi_pc,CON,pc,hi,750.72,5,0.103,6.447,8.391,6.086,3.719,0.123,0.688,1.134,1.402,2.114,6.849,0.017,2.456,1.412,1.279,4.088,1.559,2.057,1.802,1.804,2.339,0.0,10.783,5.368,2.983,0.0,5.246,2.72,1.35,1.463,7.006,0.124,1.158,1.786,0.343,3.433,0.301,0.065
5,AR,LBR_hi_so,LBR,so,hi,258.13,5,0.0,3.39,8.251,5.209,10.219,0.0,2.956,2.781,0.0,2.315,5.115,0.0,3.053,0.092,4.194,5.131,0.981,3.2,2.506,1.656,0.925,0.679,0.787,8.96,2.956,0.0,1.745,2.537,5.554,2.063,4.95,0.152,0.603,2.842,0.586,1.58,1.099,0.933
6,CA,STY_lo_id,STY,id,lo,2481.69,5,0.352,4.235,3.332,3.368,6.015,0.21,1.822,3.717,0.3,1.129,3.657,0.06,2.179,1.122,5.428,4.133,1.971,4.014,4.075,3.907,4.452,0.029,8.788,1.705,4.062,0.06,2.81,0.66,0.997,1.71,8.208,0.001,1.637,1.599,1.404,4.145,1.108,1.601
8,CO,LBR_lo_so,LBR,so,lo,539.74,5,0.073,5.959,12.717,2.094,3.13,0.221,0.581,3.233,0.341,0.499,6.024,0.0,1.929,0.381,1.6,2.291,1.361,8.058,2.815,3.071,5.558,0.103,5.467,2.814,4.301,0.0,3.6,2.42,2.015,2.101,9.852,0.344,0.952,0.865,0.145,1.486,0.55,1.049
9,CT,LBR_hi_so,LBR,so,hi,318.38,5,0.974,6.387,2.781,2.021,8.938,0.352,2.334,3.507,0.15,1.033,3.691,0.0,1.921,2.921,4.381,2.743,1.287,2.107,3.712,5.755,2.945,0.127,6.223,3.031,4.235,0.154,1.084,0.923,2.52,4.63,10.799,0.504,0.003,0.32,0.132,3.15,1.392,0.831
10,DE,CON_lo_pc,CON,pc,lo,138.43,5,0.0,4.937,10.006,3.767,7.794,0.201,0.0,3.322,0.0,0.221,6.027,0.0,1.8,1.175,10.287,6.631,1.633,2.279,2.815,2.143,2.541,0.0,3.397,3.082,12.352,0.0,1.256,0.0,2.918,0.953,2.857,0.0,1.531,0.0,1.468,2.248,0.359,0.0
11,DC,LBR_lo_so,LBR,so,lo,78.24,5,0.0,1.464,0.0,2.415,5.199,0.0,2.052,5.862,0.901,0.0,9.727,0.0,2.059,0.416,3.276,4.453,6.138,11.032,7.839,0.744,7.16,0.0,0.0,0.0,1.635,0.0,0.0,0.0,3.6,6.532,13.701,0.0,0.0,0.811,0.0,1.666,1.078,0.241
12,FL,LBR_lo_id,LBR,id,lo,1933.19,5,0.074,2.797,7.358,7.726,6.846,0.951,5.282,5.559,0.1,3.569,3.469,0.0,2.271,0.723,3.736,3.164,1.605,2.673,1.973,1.999,2.875,0.283,0.55,7.733,4.001,0.761,0.825,0.735,4.285,1.684,2.805,0.033,3.338,1.045,0.81,3.718,1.061,1.585
13,GA,LBR_hi_id,LBR,id,hi,910.75,5,0.277,3.504,6.712,7.581,8.147,0.707,2.542,5.965,0.054,0.984,2.258,0.0,5.124,1.035,3.87,2.035,1.383,4.819,3.756,2.861,3.702,0.789,1.879,6.89,2.804,0.0,2.645,0.613,2.039,1.19,3.18,0.118,1.672,2.214,0.893,3.404,1.714,0.64
