respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
98,RH,DH,MRJ,LK,MW,BE,CO,JR,ZN
99,RH,DH,MRJ,MW,LK,BE,ZN,CO,JR
100,ZN,CO,JR,MW,MRJ,LK,DH,RH,BE
101,JR,MW,ZN,CO,LK,MRJ,DH,RH,BE
102,MRJ,MW,LK,CO,DH,ZN,JR,RH,BE
103,MW,MRJ,DH,LK,CO,RH,JR,BE,ZN
104,LK,DH,MRJ,RH,MW,ZN,CO,BE,JR
105,CO,LK,MW,MRJ,DH,RH,ZN,JR,BE
106,RH,LK,DH,MRJ,BE,MW,JR,ZN,CO
107,DH,MRJ,MW,RH,LK,CO,JR,BE,ZN
108,CO,MW,LK,MRJ,RH,DH,JR,ZN,BE
109,MRJ,LK,DH,MW,RH,CO,BE,ZN,JR
110,JR,CO,MW,ZN,MRJ,LK,RH,BE,DH
111,MW,LK,CO,MRJ,DH,JR,RH,ZN,BE
112,DH,MRJ,LK,RH,JR,ZN,CO,MW,BE
113,ZN,MW,MRJ,CO,DH,JR,RH,BE,LK
114,LK,MW,MRJ,DH,RH,CO,ZN,JR,BE
115,CO,MW,LK,MRJ,DH,JR,RH,ZN,BE
116,RH,LK,MRJ,DH,MW,CO,BE,ZN,JR
117,LK,RH,DH,MRJ,MW,CO,ZN,BE,JR
118,ZN,MW,MRJ,DH,CO,LK,JR,BE,RH
119,RH,DH,BE,MRJ,LK,ZN,MW,CO,JR
120,DH,RH,MRJ,ZN,MW,BE,CO,LK,JR
121,MW,CO,LK,MRJ,JR,DH,ZN,RH,BE
122,BE,DH,RH,MRJ,MW,JR,ZN,LK,CO
123,CO,MW,LK,JR,MRJ,ZN,DH,RH,BE
124,MW,MRJ,CO,DH,LK,RH,JR,ZN,BE
125,CO,LK,MW,MRJ,RH,DH,JR,BE,ZN
126,ZN,MRJ,MW,BE,DH,CO,JR,LK,RH
127,RH,MRJ,DH,MW,LK,BE,JR,CO,ZN
128,MRJ,MW,ZN,DH,JR,LK,BE,CO,RH
129,RH,MRJ,LK,BE,DH,MW,ZN,CO,JR
130,ZN,MW,MRJ,CO,JR,LK,DH,BE,RH
131,RH,MW,DH,MRJ,BE,CO,JR,ZN,LK
132,LK,MRJ,MW,DH,RH,CO,JR,ZN,BE
133,DH,MRJ,RH,MW,BE,ZN,JR,LK,CO
134,CO,MW,LK,MRJ,JR,DH,ZN,BE,RH
135,LK,RH,BE,DH,MRJ,CO,ZN,MW,JR
136,DH,MRJ,LK,MW,RH,JR,BE,ZN,CO
137,RH,CO,MW,LK,MRJ,DH,ZN,JR,BE
138,BE,RH,DH,MRJ,LK,ZN,MW,CO,JR
139,ZN,MRJ,MW,CO,JR,LK,BE,RH,DH
140,CO,MRJ,LK,MW,RH,DH,ZN,BE,JR
141,RH,BE,LK,MRJ,DH,MW,CO,ZN,JR
142,RH,LK,MRJ,DH,BE,MW,CO,ZN,JR
143,RH,DH,MRJ,BE,MW,ZN,CO,JR,LK
144,MW,CO,MRJ,DH,JR,RH,LK,ZN,BE
145,RH,DH,LK,MRJ,BE,MW,ZN,JR,CO
146,RH,LK,DH,MRJ,MW,CO,BE,ZN,JR
147,CO,MW,JR,ZN,MRJ,LK,DH,BE,RH
148,CO,MW,LK,ZN,JR,MRJ,DH,BE,RH
149,LK,DH,MRJ,MW,RH,BE,ZN,CO,JR
150,MW,MRJ,DH,RH,ZN,CO,LK,JR,BE
151,RH,MW,MRJ,DH,LK,CO,ZN,JR,BE
152,JR,CO,MW,LK,ZN,MRJ,DH,RH,BE
153,ZN,MW,JR,CO,MRJ,LK,DH,RH,BE
154,DH,RH,MRJ,BE,LK,MW,JR,CO,ZN
155,CO,ZN,MW,LK,MRJ,JR,DH,RH,BE
156,MRJ,CO,LK,RH,MW,DH,JR,ZN,BE
157,CO,MW,MRJ,LK,ZN,DH,JR,BE,RH
158,MW,LK,CO,RH,MRJ,DH,ZN,JR,BE
159,MRJ,MW,DH,ZN,CO,RH,LK,BE,JR
160,LK,RH,MW,MRJ,DH,CO,JR,BE,ZN
161,RH,LK,MRJ,MW,DH,CO,BE,JR,ZN
162,ZN,MW,MRJ,DH,CO,LK,BE,JR,RH
163,ZN,MW,MRJ,CO,BE,JR,LK,RH,DH
164,MRJ,MW,RH,DH,ZN,CO,JR,BE,LK
165,MW,MRJ,LK,DH,CO,JR,RH,BE,ZN
