state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_RH,first_choice_MW,first_choice_MRJ,first_choice_BE,first_choice_CO,first_choice_DH,first_choice_LK,first_choice_ZN,first_choice_JR
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.05134306918117779,0.08093219321990816,0.008924319373204249,0.22567672931098623,0.1282448935585106,0.19079663040380246,0.10925558068750152,0.05847416254577156,0.12505825223456044,0.09813824011947969,0.06210802687819248,0.0022474842611950392
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.00971485166060195,0.03753411219940863,0.01959572488524763,0.09060779108569368,0.24953381276033085,0.13033176893865245,0.08625903092937215,0.10924745294204802,0.12816140042500607,0.15925939993680147,0.04139534372300041,0.005203999259094898
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.038404560926773745,0.08463449432859818,0.05286580771290765,0.2008742840281254,0.10762041253126968,0.13675239190537772,0.1423631193878597,0.12116221271310741,0.11813496130569198,0.04428847431603535,0.08472438749061567,0.04407975632191702
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.053657264099430814,0.06684442708702486,0.026810451077555184,0.2542682586560683,0.1551072905694674,0.1230241416911856,0.06369942357007576,0.07947497696737167,0.14134170485753525,0.09151112293455091,0.08058790018837388,0.010985180565371204
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.05182695089301483,0.04173040152650292,0.056692502639135285,0.13373716560881782,0.18938889626762523,0.1780238981944619,0.08219304616465202,0.11906112040624355,0.10951071748220048,0.08682335016391199,0.04018092553837137,0.06108088017371571
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.04485300019982803,0.058066326287839254,0.07616046099950477,0.21255866747372712,0.18360553922237868,0.11637470777983398,0.07677235509526083,0.10946844690429056,0.11373850530924205,0.07329391987071128,0.0420081396685089,0.07217971867604654
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.05506605066691686,0.0437822970412402,0.06948588232009333,0.24054029198635946,0.1329591242940602,0.09795193515936829,0.08344952225213936,0.1524906588926631,0.08402419239095957,0.09693725644338001,0.042868929554279275,0.06877808902679085
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.11644643197528778,0.03321602874883392,0.03302888850616142,0.1848466218072977,0.1590038648983468,0.11089917915524675,0.04829121843149768,0.10027185101528019,0.07968902803472104,0.257912967656306,0.03191403837728809,0.027171230624015687
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.0328215599638033,0.10860111170634042,0.10535040015377602,0.0630442766709047,0.23008119808613625,0.14292487897781075,0.0,0.17867081081957983,0.0788796749016261,0.054748096647091564,0.12317859776470699,0.1284724661321438
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.05292674064562343,0.06477231792863565,0.02037369838579275,0.21286773783070842,0.161117514733386,0.17788289483643044,0.05552583413626694,0.07759399123752679,0.09143841675692557,0.14345384348629447,0.05971579222717047,0.02040397475529084
