variable,domain,type,stat_label,question,overall,CON,CON_hi_ae,CON_lo_ae,CON_hi_pc,CON_lo_pc,SD,SD_hi_so,SD_lo_so,SD_hi_ae,SD_lo_ae,SD_hi_pc,SD_lo_pc,STY,STY_hi_so,STY_lo_so,STY_hi_ae,STY_lo_ae,STY_hi_pc,STY_lo_pc,NAT,NAT_hi_ae,NAT_lo_ae,LIB,LIB_hi_pc,LIB_lo_pc,POP,POP_hi_ae,POP_lo_ae,POP_hi_pc,POP_lo_pc,CUP,CUP_hi_pc,CUP_lo_pc,DSA,DSA_hi_ae,DSA_lo_ae,PRG,factor_sensitive_so,factor_sensitive_ae,factor_sensitive_rt,factor_sensitive_pc,fd_senate_condorcet,fd_senate_irv,fd_house
CC24_303,Taxes & Economy,ordinal,Weighted mean,Price change past year (1=Increased a lot … 5=Decreased a lot),1.6116,1.3256,1.2902,1.361,1.2564,1.3948,1.8281,1.7644,1.8918,1.7927,1.8635,1.7589,1.8973,1.7436,1.6799,1.8073,1.7082,1.779,1.6744,1.8128,1.193,1.1576,1.2284,2.0245,1.9553,2.0937,1.3853,1.3499,1.4207,1.3161,1.4545,1.5351,1.4659,1.6043,1.7634,1.728,1.7988,2.0963,True,False,False,True,1.6164019607843136,1.6159470588235292,1.6282878579610536
CC24_303,Taxes & Economy,ordinal_dist,% Increased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),55.11,73.98,76.5734,71.3866,78.7467,69.2133,39.69,43.9693,35.4107,42.2834,37.0966,44.4567,34.9233,49.52,53.7993,45.2407,52.1134,46.9266,54.2867,44.7533,83.63,86.2234,81.0366,26.98,31.7467,22.2133,72.54,75.1334,69.9466,77.3067,67.7733,57.96,62.7267,53.1933,43.18,45.7734,40.5866,23.8,True,False,False,True,54.04743137254902,54.27140196078432,53.858691752577315
CC24_303,Taxes & Economy,ordinal_dist,% Increased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),32.57,21.37,19.5776,23.1624,18.3264,24.4136,43.0,40.3762,45.6238,41.2076,44.7924,39.9564,46.0436,32.64,30.0162,35.2638,30.8476,34.4324,29.5964,35.6836,14.18,12.3876,15.9724,50.71,47.6664,53.7536,20.48,18.6876,22.2724,17.4364,23.5236,32.47,29.4264,35.5136,41.16,39.3676,42.9524,50.51,False,False,False,True,33.797450980392156,33.68838823529412,33.43627674684994
CC24_303,Taxes & Economy,ordinal_dist,% Stayed same,Price change past year (1=Increased a lot … 5=Decreased a lot),8.87,3.18,2.5782,3.7818,1.9326,4.4274,12.34,11.1463,13.5337,11.7382,12.9418,11.0926,13.5874,13.08,11.8863,14.2737,12.4782,13.6818,11.8326,14.3274,1.77,1.1682,2.3718,15.35,14.1026,16.5974,4.14,3.5382,4.7418,2.8926,5.3874,8.19,6.9426,9.4374,11.89,11.2882,12.4918,18.3,False,False,False,False,9.098352941176472,8.568711764705883,9.204302863688433
CC24_303,Taxes & Economy,ordinal_dist,% Decreased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),2.95,1.06,0.8045,1.3155,0.539,1.581,4.75,4.2645,5.2355,4.4945,5.0055,4.229,5.271,3.49,3.0045,3.9755,3.2345,3.7455,2.969,4.011,0.1,0.0,0.3555,6.79,6.269,7.311,1.58,1.3245,1.8355,1.059,2.101,0.89,0.369,1.411,3.66,3.4045,3.9155,7.06,False,False,False,False,2.5945588235294115,3.122941176470588,3.028525773195877
CC24_303,Taxes & Economy,ordinal_dist,% Decreased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),0.5,0.41,0.4653,0.3547,0.4554,0.3646,0.22,0.2438,0.1962,0.2753,0.1647,0.2654,0.1746,1.27,1.2938,1.2462,1.3253,1.2147,1.3154,1.2246,0.32,0.3753,0.2647,0.17,0.2154,0.1246,1.26,1.3153,1.2047,1.3054,1.2146,0.5,0.5454,0.4546,0.1,0.1553,0.0447,0.34,False,False,False,False,0.46544117647058825,0.34921372549019614,0.47716941580756017
CC24_323a,Immigration,binary,% Supporting,Grant legal status to long-term undocumented immigrants,59.2294,30.2296,26.1366,34.3226,21.2091,39.2501,82.7113,74.7135,90.7091,78.6183,86.8043,73.6908,91.7318,75.1003,67.1025,83.0981,71.0073,79.1933,66.0798,84.1208,0.201,0.0,4.294,98.3073,89.2868,100.0,12.3442,8.2512,16.4372,3.3237,21.3647,59.9703,50.9498,68.9908,99.3685,95.2755,100.0,99.9762,True,True,False,True,63.24042941176471,60.490803921568634,60.263056701030926
CC24_323b,Immigration,binary,% Supporting,Increase border patrols,79.5714,99.4845,99.1312,99.8378,100.0,94.6235,72.2397,78.4988,65.9806,71.8864,72.593,77.1007,67.3787,64.8119,71.071,58.5528,64.4586,65.1652,69.6729,59.9509,100.0,99.6467,100.0,75.3309,80.1919,70.4699,89.1047,88.7514,89.458,93.9657,84.2437,93.2013,98.0623,88.3403,18.338,17.9847,18.6913,40.627,True,False,False,True,84.55154509803923,84.88096666666667,78.7874479954181
CC24_323d,Immigration,binary,% Supporting,Permanent status/pathway for Dreamers,70.4041,53.0032,49.2137,56.7927,44.5825,61.4239,98.3844,91.4489,100.0,94.5949,100.0,89.9637,100.0,86.6809,79.7454,93.6164,82.8914,90.4704,78.2602,95.1016,0.282,0.0,4.0715,99.9717,91.551,100.0,27.6665,23.877,31.456,19.2458,36.0872,72.2816,63.8609,80.7023,100.0,96.2105,100.0,100.0,True,True,False,True,78.46871176470587,76.81443333333334,71.88105063001146
CC24_323f,Immigration,binary,% Supporting,Forgive up to $20k of student loan debt per person,54.1862,25.7075,23.3981,28.0169,18.2571,33.1579,79.6209,72.3055,86.9363,77.3115,81.9303,72.1705,87.0713,70.5324,63.217,77.8478,68.223,72.8418,63.082,77.9828,5.2886,2.9792,7.598,82.7126,75.2622,90.163,30.2371,27.9277,32.5465,22.7867,37.6875,47.291,39.8406,54.7414,95.8983,93.5889,98.2077,93.6354,True,False,False,True,56.03694901960784,54.89014705882353,55.97745452462773
