variable,domain,type,stat_label,question,overall,CON,CON_hi_id,CON_lo_id,CON_hi_pc,CON_lo_pc,LBR,LBR_hi_so,LBR_lo_so,LBR_hi_id,LBR_lo_id,LBR_hi_pc,LBR_lo_pc,STY,STY_hi_so,STY_lo_so,STY_hi_id,STY_lo_id,STY_hi_pc,STY_lo_pc,NAT,NAT_hi_id,NAT_lo_id,LIB,LIB_hi_pc,LIB_lo_pc,POP,POP_hi_id,POP_lo_id,POP_hi_pc,POP_lo_pc,CUP,CUP_hi_pc,CUP_lo_pc,DSA,DSA_hi_id,DSA_lo_id,PRG,OAO,factor_sensitive_so,factor_sensitive_es,factor_sensitive_rt,factor_sensitive_pc
CC24_303,Taxes & Economy,ordinal,Weighted mean,Price change past year (1=Increased a lot … 5=Decreased a lot),1.6116,1.3256,1.2944,1.3568,1.2604,1.3908,1.8281,1.773,1.8832,1.7969,1.8593,1.7629,1.8933,1.7436,1.6885,1.7987,1.7124,1.7748,1.6784,1.8088,1.193,1.1618,1.2242,2.0245,1.9593,2.0897,1.3853,1.3541,1.4165,1.3201,1.4505,1.5351,1.4699,1.6003,1.7634,1.7322,1.7946,2.0963,1.6372,True,False,False,True
CC24_303,Taxes & Economy,ordinal_dist,% Increased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),55.11,73.98,76.3449,71.6151,78.5281,69.4319,39.69,43.299,36.081,42.0549,37.3251,44.2381,35.1419,49.52,53.129,45.911,51.8849,47.1551,54.0681,44.9719,83.63,85.9949,81.2651,26.98,31.5281,22.4319,72.54,74.9049,70.1751,77.0881,67.9919,57.96,62.5081,53.4119,43.18,45.5449,40.8151,23.8,50.34,True,False,False,True
CC24_303,Taxes & Economy,ordinal_dist,% Increased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),32.57,21.37,19.6587,23.0813,18.4082,24.3318,43.0,40.8787,45.1213,41.2887,44.7113,40.0382,45.9618,32.64,30.5187,34.7613,30.9287,34.3513,29.6782,35.6018,14.18,12.4687,15.8913,50.71,47.7482,53.6718,20.48,18.7687,22.1913,17.5182,23.4418,32.47,29.5082,35.4318,41.16,39.4487,42.8713,50.51,38.6,False,False,False,False
CC24_303,Taxes & Economy,ordinal_dist,% Stayed same,Price change past year (1=Increased a lot … 5=Decreased a lot),8.87,3.18,2.6837,3.6763,2.029,4.331,12.34,11.2712,13.4088,11.8437,12.8363,11.189,13.491,13.08,12.0112,14.1488,12.5837,13.5763,11.929,14.231,1.77,1.2737,2.2663,15.35,14.199,16.501,4.14,3.6437,4.6363,2.989,5.291,8.19,7.039,9.341,11.89,11.3937,12.3863,18.3,8.13,False,False,False,False
CC24_303,Taxes & Economy,ordinal_dist,% Decreased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),2.95,1.06,0.8413,1.2787,0.5737,1.5463,4.75,4.3235,5.1765,4.5313,4.9687,4.2637,5.2363,3.49,3.0635,3.9165,3.2713,3.7087,3.0037,3.9763,0.1,0.0,0.3187,6.79,6.3037,7.2763,1.58,1.3613,1.7987,1.0937,2.0663,0.89,0.4037,1.3763,3.66,3.4413,3.8787,7.06,2.88,False,False,False,False
CC24_303,Taxes & Economy,ordinal_dist,% Decreased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),0.5,0.41,0.4704,0.3496,0.4609,0.3591,0.22,0.2279,0.2121,0.2804,0.1596,0.2709,0.1691,1.27,1.2779,1.2621,1.3304,1.2096,1.3209,1.2191,0.32,0.3804,0.2596,0.17,0.2209,0.1191,1.26,1.3204,1.1996,1.3109,1.2091,0.5,0.5509,0.4491,0.1,0.1604,0.0396,0.34,0.06,False,False,False,False
CC24_323a,Immigration,binary,% Supporting,Grant legal status to long-term undocumented immigrants,59.2294,30.2296,25.8819,34.5773,21.1869,39.2723,82.7113,76.6472,88.7754,78.3636,87.059,73.6686,91.754,75.1003,69.0362,81.1644,70.7526,79.448,66.0576,84.143,0.201,0.0,4.5487,98.3073,89.2646,100.0,12.3442,7.9965,16.6919,3.3015,21.3869,59.9703,50.9276,69.013,99.3685,95.0208,100.0,99.9762,90.3728,True,True,False,True
CC24_323b,Immigration,binary,% Supporting,Increase border patrols,79.5714,99.4845,98.499,100.0,100.0,95.3702,72.2397,78.3598,66.1196,71.2542,73.2252,76.354,68.1254,64.8119,70.932,58.6918,63.8264,65.7974,68.9262,60.6976,100.0,99.0145,100.0,75.3309,79.4452,71.2166,89.1047,88.1192,90.0902,93.219,84.9904,93.2013,97.3156,89.087,18.338,17.3525,19.3235,40.627,99.966,True,False,False,True
CC24_323d,Immigration,binary,% Supporting,Permanent status/pathway for Dreamers,70.4041,53.0032,48.9383,57.0681,44.5368,61.4696,98.3844,93.2167,100.0,94.3195,100.0,89.918,100.0,86.6809,81.5132,91.8486,82.616,90.7458,78.2145,95.1473,0.282,0.0,4.3469,99.9717,91.5053,100.0,27.6665,23.6016,31.7314,19.2001,36.1329,72.2816,63.8152,80.748,100.0,95.9351,100.0,100.0,98.7846,True,True,False,True
CC24_323f,Immigration,binary,% Supporting,Forgive up to $20k of student loan debt per person,54.1862,25.7075,23.7477,27.6673,18.7292,32.6858,79.6209,73.2399,86.0019,77.6611,81.5807,72.6426,86.5992,70.5324,64.1514,76.9134,68.5726,72.4922,63.5541,77.5107,5.2886,3.3288,7.2484,82.7126,75.7343,89.6909,30.2371,28.2773,32.1969,23.2588,37.2154,47.291,40.3127,54.2693,95.8983,93.9385,97.8581,93.6354,54.8215,True,False,False,True
CC24_340f,Immigration,binary,% Supporting,Deny asylum for illegal border crossings,63.1681,99.8093,100.0,99.3807,100.0,92.6583,39.458,48.7683,30.1477,39.8866,39.0294,46.609,32.307,39.6282,48.9385,30.3179,40.0568,39.1996,46.7792,32.4772,100.0,100.0,99.5714,29.4301,36.5811,22.2791,87.0888,87.5174,86.6602,94.2398,79.9378,82.0974,89.2484,74.9464,0.0336,0.4622,0.0,0.1145,100.0,True,False,False,True
CC24_321a,Police & Guns,binary,% Supporting,Ban assault rifles,59.5554,40.7492,37.0995,44.3989,33.2928,48.2056,80.9072,75.7958,86.0186,77.2575,84.5569,73.4508,88.3636,63.1428,58.0314,68.2542,59.4931,66.7925,55.6864,70.5992,6.4067,2.757,10.0564,91.4934,84.037,98.9498,27.0589,23.4092,30.7086,19.6025,34.5153,58.5513,51.0949,66.0077,93.1937,89.544,96.8434,96.5447,81.0322,True,True,False,True
CC24_321b,Police & Guns,binary,% Supporting,Easier concealed-carry permits,38.9291,54.9176,58.1778,51.6574,62.2038,47.6314,20.1692,25.4297,14.9087,23.4294,16.909,27.4554,12.883,36.5762,41.8367,31.3157,39.8364,33.316,43.8624,29.29,91.7736,95.0338,88.5134,7.2956,14.5818,0.0094,67.8831,71.1433,64.6229,75.1693,60.5969,44.222,51.5082,36.9358,1.9058,5.166,0.0,1.1018,21.1161,True,True,False,True
CC24_321c,Police & Guns,binary,% Supporting,Require background checks on all gun sales,92.5023,93.8034,92.4913,95.1155,91.8224,95.7844,98.4429,97.4473,99.4385,97.1308,99.755,96.4619,100.0,88.7939,87.7983,89.7895,87.4818,90.106,86.8129,90.7749,75.8481,74.536,77.1602,99.5799,97.5989,100.0,80.3952,79.0831,81.7073,78.4142,82.3762,94.8726,92.8916,96.8536,99.6987,98.3866,100.0,99.647,98.9825,False,False,False,False
CC24_321d,Police & Guns,binary,% Supporting,Increase police by 10%,56.7169,99.714,98.882,100.0,100.0,94.1921,31.436,40.1133,22.7587,30.604,32.268,36.9579,25.9141,34.9589,43.6362,26.2816,34.1269,35.7909,40.4808,29.437,100.0,99.168,100.0,35.5848,41.1067,30.0629,44.166,43.334,44.998,49.6879,38.6441,65.1423,70.6642,59.6204,0.2707,0.0,1.1027,0.3959,99.9786,True,False,False,True
CC24_321e,Police & Guns,binary,% Supporting,"Decrease police by 10%, increase other funding",26.7993,1.8792,2.3556,1.4028,0.0,6.661,39.5124,32.5829,46.4419,39.9888,39.036,34.7306,44.2942,39.1405,32.211,46.07,39.6169,38.6641,34.3587,43.9223,0.1097,0.5861,0.0,35.6377,30.8559,40.4195,19.5421,20.0185,19.0657,14.7603,24.3239,16.6141,11.8323,21.3959,87.2103,87.6867,86.7339,75.5713,1.3649,True,False,False,True
CC24_321f,Police & Guns,binary,% Supporting,Increase spending on mental health & school safety,86.4629,86.5553,84.395,88.7156,82.9343,90.1763,95.922,93.9816,97.8624,93.7617,98.0823,92.301,99.543,85.8456,83.9052,87.786,83.6853,88.0059,82.2246,89.4666,54.075,51.9147,56.2353,98.4488,94.8278,100.0,66.5524,64.3921,68.7127,62.9314,70.1734,90.4463,86.8253,94.0673,99.0147,96.8544,100.0,99.6192,98.4488,False,False,False,True
CC24_325,Abortion,continuous,Median,Abortion: how many weeks should it be legal,13.0,10.0,9.3258,10.6742,8.2541,11.7459,18.0,16.1799,19.8201,17.3258,18.6742,16.2541,19.7459,13.0,11.1799,14.8201,12.3258,13.6742,11.2541,14.7459,7.0,6.3258,7.6742,24.0,22.2541,25.7459,8.0,7.3258,8.6742,6.2541,9.7459,12.0,10.2541,13.7459,28.0,27.3258,28.6742,32.0,12.0,True,False,False,True
CC24_325,Abortion,continuous,Q25,Abortion: how many weeks should it be legal,6.0,4.0,3.3156,4.6844,2.3044,5.6956,10.0,8.3771,11.6229,9.3156,10.6844,8.3044,11.6956,6.0,4.3771,7.6229,5.3156,6.6844,4.3044,7.6956,0.0,-0.6844,0.6844,16.0,14.3044,17.6956,1.0,0.3156,1.6844,-0.6956,2.6956,4.0,2.3044,5.6956,20.0,19.3156,20.6844,24.0,8.0,True,False,False,True
CC24_325,Abortion,continuous,Q75,Abortion: how many weeks should it be legal,24.0,15.0,14.2374,15.7626,12.763,17.237,26.0,23.7793,28.2207,25.2374,26.7626,23.763,28.237,23.0,20.7793,25.2207,22.2374,23.7626,20.763,25.237,12.0,11.2374,12.7626,36.0,33.763,38.237,14.0,13.2374,14.7626,11.763,16.237,19.0,16.763,21.237,40.0,39.2374,40.7626,40.0,21.0,True,False,False,True
CC24_324b,Abortion,binary,% Supporting,Permit abortion only in rape/incest/life danger cases,51.3964,72.6163,73.9157,71.3169,77.3084,67.9242,36.9495,42.116,31.783,38.2489,35.6501,41.6416,32.2574,56.8046,61.9711,51.6381,58.104,55.5052,61.4967,52.1125,72.2413,73.5407,70.9419,25.7348,30.4269,21.0427,60.3942,61.6936,59.0948,65.0863,55.7021,65.4458,70.1379,60.7537,14.1527,15.4521,12.8533,6.143,57.3858,True,False,False,True
CC24_340b,Abortion,binary,% Supporting,Prohibit restrictions on abortion access (Congress bill),63.0207,48.7144,46.2751,51.1537,43.3505,54.0783,82.7413,78.6358,86.8468,80.302,85.1806,77.3774,88.1052,53.177,49.0715,57.2825,50.7377,55.6163,47.8131,58.5409,31.5194,29.0801,33.9587,88.8153,83.4514,94.1792,43.5041,41.0648,45.9434,38.1402,48.868,53.8649,48.501,59.2288,94.0501,91.6108,96.4894,95.6766,75.0169,True,False,False,True
CC24_444c,Abortion,binary,% Supporting,Prohibit abortion-inducing drugs by mail,41.2474,63.5861,65.4271,61.7451,69.3897,57.7825,22.9448,28.3102,17.5794,24.7858,21.1038,28.7484,17.1412,39.0023,44.3677,33.6369,40.8433,37.1613,44.8059,33.1987,74.6758,76.5168,72.8348,11.1838,16.9874,5.3802,58.7169,60.5579,56.8759,64.5205,52.9133,54.5528,60.3564,48.7492,3.7817,5.6227,1.9407,1.466,38.551,True,False,False,True
CC24_444d,Abortion,binary,% Supporting,Prohibit women traveling to another state for abortion,18.4855,27.1627,28.0598,26.2656,29.5939,24.7315,8.8986,11.1128,6.6844,9.7957,8.0015,11.3298,6.4674,25.6106,27.8248,23.3964,26.5077,24.7135,28.0418,23.1794,27.2533,28.1504,26.3562,3.6846,6.1158,1.2534,26.8387,27.7358,25.9416,29.2699,24.4075,28.0167,30.4479,25.5855,0.469,1.3661,0.0,0.1411,15.9998,False,False,False,False
CC24_340c,Civil Liberties,binary,% Supporting,Federal recognition of same-sex & interracial marriages,66.0666,47.846,44.9316,50.7604,41.5218,54.1702,95.9375,91.2405,100.0,93.0231,98.8519,89.6133,100.0,54.3011,49.6041,58.9981,51.3867,57.2155,47.9769,60.6253,26.541,23.6266,29.4554,97.2584,90.9342,100.0,43.4016,40.4872,46.316,37.0774,49.7258,55.8161,49.4919,62.1403,98.4739,95.5595,100.0,99.9117,79.2497,True,False,False,True
CC24_340d,Civil Liberties,binary,% Supporting,Ban TikTok unless China sells to a US company,55.4871,73.6451,72.8719,74.4183,76.45,70.8402,44.4839,48.6478,40.32,43.7107,45.2571,47.2888,41.679,40.7118,44.8757,36.5479,39.9386,41.485,43.5167,37.9069,76.8622,76.089,77.6354,52.3658,55.1707,49.5609,54.7864,54.0132,55.5596,57.5913,51.9815,62.4261,65.231,59.6212,20.813,20.0398,21.5862,32.151,70.7874,True,False,False,False
CC24_340e,Civil Liberties,binary,% Supporting,Renew post-9/11 surveillance programs,34.0178,45.1447,42.9256,47.3638,43.9712,46.3182,36.4273,38.7796,34.075,34.2082,38.6464,35.2538,37.6008,30.2967,32.649,27.9444,28.0776,32.5158,29.1232,31.4702,9.4977,7.2786,11.7168,43.0105,41.837,44.184,21.3699,19.1508,23.589,20.1964,22.5434,45.6591,44.4856,46.8326,18.3327,16.1136,20.5518,3.7548,71.6158,False,False,False,False
CC24_444a,Civil Liberties,binary,% Supporting,Prevent gender transition surgery for minors,60.1484,78.1244,79.9641,76.2847,83.5878,72.661,48.9304,54.1987,43.6621,50.7701,47.0907,54.3938,43.467,60.1361,65.4044,54.8678,61.9758,58.2964,65.5995,54.6727,88.9089,90.7486,87.0692,32.5615,38.0249,27.0981,78.3789,80.2186,76.5392,83.8423,72.9155,72.2826,77.746,66.8192,21.6662,23.5059,19.8265,15.5509,59.9299,True,False,False,True
CC24_444b,Civil Liberties,binary,% Supporting,Parental consent for name/pronoun changes at school,62.7367,85.3977,87.2171,83.5783,91.7613,79.0341,45.6794,52.3815,38.9773,47.4988,43.86,52.043,39.3158,63.6007,70.3028,56.8986,65.4201,61.7813,69.9643,57.2371,94.3123,96.1317,92.4929,34.6172,40.9808,28.2536,85.0514,86.8708,83.232,91.415,78.6878,75.434,81.7976,69.0704,11.6714,13.4908,9.852,7.6704,70.8522,True,False,False,True
CC24_444e,Civil Liberties,binary,% Supporting,Age verification for adult web content,78.7779,88.5785,88.6371,88.5199,90.3588,86.7982,75.2629,77.9909,72.5349,75.3215,75.2043,77.0432,73.4826,77.5991,80.3271,74.8711,77.6577,77.5405,79.3794,75.8188,87.0568,87.1154,86.9982,72.9322,74.7125,71.1519,78.8884,78.947,78.8298,80.6687,77.1081,83.4249,85.2052,81.6446,59.0949,59.1535,59.0363,53.2211,89.9619,False,False,False,False
CC24_444f,Civil Liberties,binary,% Supporting,School voucher subsidies,56.1512,70.5407,73.1465,67.9349,75.7244,65.357,44.454,48.7605,40.1475,47.0598,41.8482,49.6377,39.2703,61.4132,65.7197,57.1067,64.019,58.8074,66.5969,56.2295,86.9864,89.5922,84.3806,26.5249,31.7086,21.3412,71.3714,73.9772,68.7656,76.5551,66.1877,65.6888,70.8725,60.5051,33.7039,36.3097,31.0981,11.9711,49.3882,True,False,False,True
CC24_326a,Environment & Climate,binary,% Supporting,Give EPA power to regulate CO2 emissions,62.3942,39.213,35.5318,42.8942,31.4501,46.9759,88.7817,83.3705,94.1929,85.1005,92.4629,81.0188,96.5446,67.2327,61.8215,72.6439,63.5515,70.9139,59.4698,74.9956,4.9293,1.2481,8.6105,95.241,87.4781,100.0,31.6727,27.9915,35.3539,23.9098,39.4356,63.453,55.6901,71.2159,96.8977,93.2165,100.0,98.6686,83.2917,True,True,False,True
CC24_326b,Environment & Climate,binary,% Supporting,Require 20% renewable electricity,66.1221,44.5249,41.4043,47.6455,37.385,51.6648,90.3056,85.2135,95.3977,87.185,93.4262,83.1657,97.4455,76.5382,71.4461,81.6303,73.4176,79.6588,69.3983,83.6781,8.9909,5.8703,12.1115,94.3359,87.196,100.0,39.5961,36.4755,42.7167,32.4562,46.736,67.4679,60.328,74.6078,96.9976,93.877,100.0,98.0185,83.271,True,True,False,True
CC24_326c,Environment & Climate,binary,% Supporting,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,29.6793,26.4827,32.8759,22.1589,37.1997,77.0459,71.1798,82.912,73.8493,80.2425,69.5255,84.5663,62.6317,56.7656,68.4978,59.4351,65.8283,55.1113,70.1521,4.3782,1.1816,7.5748,90.4664,82.946,97.9868,26.8186,23.622,30.0152,19.2982,34.339,51.2673,43.7469,58.7877,93.13,89.9334,96.3266,97.0091,69.4992,True,True,False,True
CC24_326d,Environment & Climate,binary,% Supporting,Increase fossil fuel production in the U.S.,56.953,85.0649,86.749,83.3808,91.6662,78.4636,36.3858,43.0501,29.7215,38.0699,34.7017,42.9871,29.7845,50.0336,56.6979,43.3693,51.7177,48.3495,56.6349,43.4323,96.3562,98.0403,94.6721,25.9202,32.5215,19.3189,74.0844,75.7685,72.4003,80.6857,67.4831,70.3257,76.927,63.7244,10.0169,11.701,8.3328,8.1938,60.5973,True,False,False,True
CC24_326e,Environment & Climate,binary,% Supporting,Halt new oil and gas leases on federal lands,44.7229,19.5656,17.301,21.8302,12.8762,26.255,65.6536,59.4792,71.828,63.389,67.9182,58.9642,72.343,50.8046,44.6302,56.979,48.54,53.0692,44.1152,57.494,3.2241,0.9595,5.4887,74.3598,67.6704,81.0492,20.9991,18.7345,23.2637,14.3097,27.6885,38.5447,31.8553,45.2341,87.6893,85.4247,89.9539,89.476,45.2285,True,False,False,True
