state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_LIB_2_pct,finalist_LBR_2_pct,finalist_OAO_1_pct,finalist_DSA_1_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,456.27,19,5,31.32,0.0,15.1613,15.0474,38.4714,,,,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,81.28,20,5,26.4562,,17.9384,,18.1471,22.6162,14.8422,,,,,,,
4,AZ,STY_1,STY_1,STY,pure,2,,773.47,23,5,26.2347,,,19.5929,15.0931,20.3245,18.7549,,,,,,,
5,AR,STY_1,STY_1,STY,pure,2,,266.69,22,5,35.5818,,13.2413,,7.4219,32.4727,,11.2823,,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2564.16,22,5,20.6298,,,11.8572,18.5185,23.157,25.8375,,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,555.72,21,5,30.5362,,,,6.27,20.6177,26.5538,16.0223,,,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,327.59,22,5,26.3502,,,,,22.0382,19.7657,20.0659,11.78,,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,142.8,20,5,35.7459,0.0,,,8.4903,30.9421,24.8218,,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,80.41,19,5,,,,,,31.7468,31.5895,22.4231,14.2407,0.0,,,,
12,FL,STY_1,STY_1,STY,pure,2,,2002.69,23,5,32.3491,,17.3197,,12.6224,28.6895,,9.0193,,,,,,
13,GA,STY_1,STY_1,STY,pure,2,,941.95,20,5,35.6467,,12.032,,15.809,19.6663,16.846,,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,135.6,20,5,29.3684,,,,,29.2909,28.2143,13.1263,,,0.0,,,
16,ID,POP_1,POP_1,POP,pure,5,,214.68,20,5,26.3274,,,15.8728,,21.687,14.4158,21.6969,,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,973.32,22,5,27.289,,14.0576,,,22.2074,23.8366,12.6094,,,,,,
18,IN,STY_1,STY_1,STY,pure,2,,647.72,22,5,30.2167,,,15.5494,17.9241,18.3765,17.9333,,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,291.36,23,5,28.7319,,16.868,15.4167,,24.9635,14.0199,,,,,,,
20,KS,STY_1,STY_1,STY,pure,2,,244.28,20,5,43.9403,0.0,,,16.5566,17.2448,22.2583,,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,457.76,22,5,26.6482,,15.6877,14.8744,15.8642,26.9256,,,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,324.9,19,5,25.6198,,18.4602,16.9763,15.1949,23.7489,,,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,162.81,24,5,24.463,,,,,22.3071,23.3878,19.7421,10.1,,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,512.36,22,5,25.2612,,,,9.265,25.8746,26.1766,13.4227,,,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,533.02,23,5,28.4624,,,,,27.8524,19.16,11.5522,12.9731,,,,,
26,MI,POP_1,POP_1,POP,pure,5,,887.91,20,5,26.0705,,,15.5971,,23.9237,21.0614,13.3473,,,,,,
27,MN,LBR_1,LBR_1,LBR,pure,1,,487.69,23,5,26.9316,,,,,18.2332,20.4422,19.5683,14.8246,,,,,
28,MS,STY_1,STY_1,STY,pure,2,,267.69,19,5,35.4315,,,,21.2861,20.3317,,10.1463,,,,12.8043,,
29,MO,STY_1,STY_1,STY,pure,2,,610.35,21,5,30.2211,,,13.0833,19.6244,22.5631,14.5081,,,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,171.27,22,5,20.9849,,10.7737,23.9903,,23.4774,20.7738,,,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,188.29,22,5,27.4449,,13.7151,,,27.1966,14.3067,17.3366,,,,,,
32,NV,STY_1,STY_1,STY,pure,2,,459.8,21,5,31.6485,,,,11.1111,20.9413,21.5502,14.7488,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,177.45,22,5,18.3242,,,,,41.0796,,12.5042,14.2252,,,13.8668,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,776.8,22,5,27.3374,,,11.6848,10.8919,22.5702,27.5158,,,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,262.99,21,5,28.0667,,15.2365,,11.4545,26.4151,18.8271,,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1520.7,23,5,26.6497,,,,10.458,25.9851,24.6185,12.2888,,,,,,
37,NC,POP_1,POP_1,POP,pure,5,,953.2,23,5,29.3431,,,12.8012,,23.4669,19.6546,14.7341,,,,,,
38,ND,CUP_1,CUP_1,CUP,pure,6,,72.19,22,5,29.9236,,15.6102,,,21.9505,17.5219,14.9938,,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1123.51,22,5,36.3671,,12.7578,,,21.0561,15.752,14.067,,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,395.75,23,5,26.7057,,15.4313,18.5424,24.3835,,14.9372,,,,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,597.16,23,5,22.5011,,,17.0711,,24.8625,17.8789,,17.6864,,,,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1467.85,22,5,28.2792,,,10.5053,,24.108,26.5198,10.5877,,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,108.98,24,5,26.6982,,,,,26.0419,21.2186,14.8681,11.1733,,,,,
45,SC,STY_1,STY_1,STY,pure,2,,470.31,21,5,28.7629,,,14.0135,12.352,33.7665,,11.1051,,,,,,
46,SD,STY_1,STY_1,STY,pure,2,,90.74,22,5,20.5362,,20.2126,15.1598,16.4529,27.6387,,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,748.69,20,5,34.3323,0.0,17.7781,18.405,29.4846,,,,,,,,,
48,TX,STY_1,STY_1,STY,pure,2,,2236.89,22,5,25.3129,,16.2263,11.2376,18.6938,28.5294,,,,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,290.7,22,5,26.5045,,11.3468,,,30.3661,,17.7903,,,,,13.9924,
50,VT,LBR_1,LBR_1,LBR,pure,1,,76.16,23,5,31.6892,,,,,22.1213,15.4463,,30.7432,,,,,0.0
51,VA,STY_1,STY_1,STY,pure,2,,877.06,22,5,27.6198,,,12.3911,14.5441,23.4814,21.9636,,,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,822.89,22,5,25.1819,,,11.7994,,31.5659,17.8519,,13.6009,,,,,
54,WV,STY_1,STY_1,STY,pure,2,,225.13,21,5,26.4474,,19.0829,11.8754,19.3264,23.2679,,,,,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,643.35,22,5,28.1126,,,11.4968,,24.8935,21.7541,13.7431,,,,,,
56,WY,CON_1,CON_1,CON,pure,0,,64.55,21,5,40.8102,0.0,12.4505,,,,21.6592,25.0801,,,,,,
