state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_NAT,inc_PRG,inc_DSA
1,AL,CON_1,CON,26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,9.25,3.9,0.81,0.51,0.61,0.62,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.95,0.0,1.75,2.34,0.0,6.25,0.0,0.66,0.0,0.0,0.0
1,AL,NAT_1,NAT,14.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,STY_1,STY,12.65,0.0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.88,0.0,0.0,0.0,1.02,0.0,0.76,0.0,11.58,0.0,0.0
2,AK,CUP_1,CUP,17.72,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,12.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.7
2,AK,STY_1,STY,11.68,0.0,0.0,5.07,0.0,0.94,0.0,0.0,0.0,0.0,4.39
4,AZ,CON_1,CON,20.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.1,1.15,2.33,0.0,0.0,0.0,1.32,0.0,0.0,0.0,6.08
4,AZ,LIB_1,LIB,9.33,0.0,1.18,0.0,0.0,1.04,0.0,0.0,0.0,8.55,0.0
4,AZ,NAT_1,NAT,18.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,STY_1,STY,6.78,2.26,0.0,9.89,0.0,2.79,0.0,1.09,0.0,0.0,1.82
5,AR,CON_1,CON,22.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.65,1.17,3.56,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.28,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
5,AR,POP_1,POP,10.76,1.21,0.0,0.0,0.0,0.81,0.0,0.0,6.06,0.0,0.0
5,AR,STY_1,STY,5.83,1.85,1.19,0.0,0.0,3.56,0.0,0.88,0.0,0.0,1.57
6,CA,CON_1,CON,13.27,0.0,4.73,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0
6,CA,LBR_1,LBR,16.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
6,CA,LIB_1,LIB,14.89,0.0,1.99,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0
6,CA,NAT_1,NAT,10.79,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,10.93,0.65,0.0,0.0,0.0,1.77,2.61,0.0,0.0,0.0,0.0
8,CO,CON_1,CON,21.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.29,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,4.17
8,CO,LIB_1,LIB,13.81,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0
8,CO,POP_1,POP,10.7,3.72,0.0,0.0,0.0,0.0,0.0,0.0,10.21,0.0,0.0
8,CO,STY_1,STY,4.94,0.52,1.86,3.97,0.0,1.66,0.86,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,LBR_1,LBR,13.35,0.0,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,2.6
9,CT,LIB_1,LIB,17.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,POP_1,POP,8.94,0.93,0.0,0.0,2.19,1.44,3.32,0.0,8.49,0.0,0.0
9,CT,PRG_1,PRG,11.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_1,CON,25.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.72,3.97,1.3,0.0,0.0,1.03,0.0,6.38,0.0,0.0
10,DE,LBR_1,LBR,20.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.55,0.0,0.0,0.0,0.0,0.54,1.58,0.0,0.0,5.05,0.0
10,DE,STY_1,STY,5.18,0.0,0.0,2.61,0.0,3.64,3.41,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,17.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
