state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_POP,inc_LIB,inc_DSA,inc_NAT,inc_LBR,inc_PRG
19,IA,NAT_1,NAT,13.35,0.65,0.0,0.0,2.24,0.0,15.77,0.0,0.0,0.0
19,IA,POP_1,POP,13.72,1.26,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_1,CON,24.89,0.0,0.0,0.0,0.0,0.0,0.0,8.65,0.0,0.0
20,KS,CUP_1,CUP,9.52,3.45,1.24,0.0,1.87,3.85,0.0,0.0,0.0,0.0
20,KS,LBR_1,LBR,15.92,0.0,0.0,0.0,0.0,0.0,5.98,0.0,0.0,0.0
20,KS,LIB_1,LIB,11.99,0.0,0.0,0.0,0.0,0.0,1.74,0.0,2.33,4.42
20,KS,POP_1,POP,12.48,5.03,0.0,0.0,0.0,0.0,0.0,1.6,2.37,0.0
21,KY,CON_1,CON,22.87,0.0,0.0,0.0,0.0,0.0,0.0,9.29,0.0,0.0
21,KY,CUP_1,CUP,10.45,4.71,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,LBR_1,LBR,18.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,LIB_1,LIB,6.05,0.0,0.8,1.56,0.0,0.0,5.75,0.0,0.0,1.91
21,KY,POP_1,POP,16.53,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.68,0.0
22,LA,CON_1,CON,21.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,15.55,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,LBR_1,LBR,11.79,1.13,5.53,0.0,0.56,0.0,2.76,0.0,0.0,0.0
22,LA,NAT_1,NAT,14.46,1.39,0.0,0.0,0.0,16.05,0.0,0.0,0.0,0.0
22,LA,POP_1,POP,18.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,CON_1,CON,14.29,0.0,0.68,0.0,0.56,0.0,0.0,7.16,0.0,0.0
23,ME,CUP_1,CUP,5.99,5.98,1.11,0.0,0.0,1.46,5.74,0.0,0.69,0.0
23,ME,LBR_1,LBR,16.78,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,1.2
23,ME,LIB_1,LIB,16.57,0.0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,7.24
23,ME,POP_1,POP,17.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MD,CON_1,CON,13.84,0.0,0.0,5.08,0.89,0.0,0.0,4.43,0.0,0.0
24,MD,LBR_1,LBR,22.93,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0
24,MD,LBR_2,LBR,0.0,0.72,3.28,0.0,0.59,4.78,4.02,0.0,6.13,0.82
24,MD,LIB_1,LIB,9.8,0.0,2.35,0.96,0.0,0.0,0.0,0.0,0.0,9.91
24,MD,POP_1,POP,15.66,0.0,0.0,1.48,0.0,0.0,0.0,2.72,0.0,0.0
25,MA,CON_1,CON,18.6,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LBR_1,LBR,22.03,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LIB_1,LIB,13.44,0.0,3.22,0.0,0.0,0.0,0.0,0.0,2.59,0.0
25,MA,POP_1,POP,9.22,1.0,0.0,1.84,0.0,0.0,0.0,8.18,1.95,0.0
25,MA,PRG_1,PRG,10.21,0.0,0.0,0.0,0.0,0.0,8.27,0.0,0.0,0.0
26,MI,CON_1,CON,21.82,0.0,0.0,0.0,0.0,0.0,0.0,10.69,0.0,0.0
26,MI,CUP_1,CUP,7.51,1.77,1.98,0.0,1.73,4.89,0.0,0.0,0.0,0.0
26,MI,LBR_1,LBR,15.77,0.78,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MI,LIB_1,LIB,10.18,0.0,1.51,0.0,0.0,0.0,6.43,0.0,0.0,3.62
