state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_LBR_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_CUP_1_pct,finalist_LBR_2_pct,finalist_LIB_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_DSA_1_pct,finalist_OAO_1_pct
1,AL,POP_1,POP_1,POP,pure,5,,653.56,16,5,33.9269,0.0,36.9775,12.4875,16.6081,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,117.4,17,5,21.4403,,47.8283,,10.7302,20.0012,0.0,,,,,
4,AZ,POP_1,POP_1,POP,pure,5,,1056.71,20,5,23.0743,,27.2481,16.0212,17.3944,,,16.262,,,,
5,AR,POP_1,POP_1,POP,pure,5,,373.24,20,5,33.2268,,28.8713,,15.6771,12.6613,,9.5635,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,3590.96,19,5,21.1715,,33.5683,,22.9328,,0.0,22.3273,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,754.84,19,5,25.9889,,26.5446,8.4429,15.7997,,,23.2238,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,442.41,20,5,24.2358,,22.5697,,18.3278,8.8656,,26.0011,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,197.14,18,5,39.2637,0.0,38.3284,,,,0.0,22.4078,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,107.53,17,5,,,34.6367,,24.6804,,,28.4145,0.0,12.2684,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2866.91,20,5,29.8676,,28.5502,,15.1453,15.8464,,10.5905,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1330.37,17,5,30.5448,,38.4809,,13.4114,17.5629,0.0,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,185.17,18,5,28.5607,,31.8212,,14.3701,,0.0,25.2481,,,,
16,ID,POP_1,POP_1,POP,pure,5,,295.75,18,5,22.595,,32.0887,13.8773,17.9176,13.5214,,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1330.12,20,5,26.3138,,24.1794,,13.3031,15.4621,,20.7416,,,,
18,IN,POP_1,POP_1,POP,pure,5,,901.97,19,5,33.7201,,24.0437,,13.6172,14.6201,,13.9989,,,,
19,IA,LBR_1,LBR_1,LBR,pure,1,,405.17,20,5,21.9668,,35.3771,13.3462,13.7189,15.591,,,,,,
20,KS,POP_1,POP_1,POP,pure,5,,338.31,17,5,34.1884,,22.3234,,14.0725,10.7643,,18.6515,,,,
21,KY,POP_1,POP_1,POP,pure,5,,648.14,19,5,32.7653,,23.755,,19.1335,14.3236,,10.0225,,,,
22,LA,POP_1,POP_1,POP,pure,5,,459.15,16,5,22.9285,,24.5364,14.4626,18.0795,19.9928,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,221.72,22,5,19.6517,,24.6689,,20.4199,7.0993,,28.1602,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,710.07,19,5,24.4268,,32.5097,,19.8651,,0.0,23.1984,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,722.07,21,5,27.6507,,31.0647,,12.8425,,,17.3844,,11.0577,,
26,MI,POP_1,POP_1,POP,pure,5,,1211.59,18,5,33.2225,,23.2332,,16.5495,9.4931,,17.5018,,,,
27,MN,LBR_1,LBR_1,LBR,pure,1,,653.69,21,5,26.8892,,20.5171,,21.2424,,,18.6651,,12.6863,,
28,MS,POP_1,POP_1,POP,pure,5,,396.71,16,5,28.9266,,34.7606,,20.3926,15.9201,0.0,,,,,
29,MO,POP_1,POP_1,POP,pure,5,,859.43,18,5,34.0049,,27.7784,,16.0578,10.3948,,11.764,,,,
30,MT,POP_1,POP_1,POP,pure,5,,234.38,19,5,21.1323,,26.292,20.8705,13.5361,,,18.1692,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,267.04,19,5,25.2156,,29.1702,,18.4222,14.9658,,12.2263,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,641.26,18,5,30.1654,,29.7399,,21.4662,,0.0,18.6285,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,241.37,20,5,20.9891,,29.7906,,,15.8118,,,,,19.9317,13.4768
34,NJ,LBR_1,LBR_1,LBR,pure,1,,1059.22,20,5,23.7719,,24.2986,,16.5299,12.0066,,23.393,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,374.36,18,5,20.0,,46.7343,,14.6378,18.6279,0.0,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,2102.06,20,5,22.3549,,29.615,,16.4647,11.2708,,20.2946,,,,
37,NC,POP_1,POP_1,POP,pure,5,,1320.9,20,5,32.7694,,23.5811,,16.666,11.0669,,15.9166,,,,
38,ND,POP_1,POP_1,POP,pure,5,,101.37,20,5,28.0125,,23.6338,,16.2674,17.0609,,15.0253,,,,
39,OH,POP_1,POP_1,POP,pure,5,,1565.46,19,5,33.8367,,22.9525,,15.9643,13.773,,13.4735,,,,
40,OK,POP_1,POP_1,POP,pure,5,,549.8,20,5,24.1146,,29.6386,15.8211,13.4973,16.9283,,,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,791.17,21,5,23.3397,,26.5611,,18.2687,,,16.3947,,15.4357,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1996.77,20,5,28.9546,,25.0643,,14.115,9.6514,,22.2147,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,148.81,21,5,22.2873,,25.4726,,16.7771,8.9272,,26.5358,,,,
45,SC,POP_1,POP_1,POP,pure,5,,660.61,18,5,33.5806,,28.9546,,14.4386,12.3729,,,,,10.6533,
46,SD,CUP_1,CUP_1,CUP,pure,6,,127.86,19,5,30.7057,,17.8372,,21.519,17.3595,,12.5785,,,,
47,TN,CON_1,CON_1,CON,pure,0,,1037.58,17,5,47.5762,0.0,25.0277,,12.9193,14.4768,,,,,,
48,TX,LBR_1,LBR_1,LBR,pure,1,,3201.05,19,5,31.0486,,29.6086,,13.9543,15.6635,,9.7249,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,416.17,19,5,23.931,,45.068,,19.1058,11.8952,0.0,,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,99.27,21,5,28.1546,,23.4846,,7.1912,,,14.3158,,26.8538,,
51,VA,LBR_1,LBR_1,LBR,pure,1,,1206.52,19,5,30.2685,,27.3847,,14.4466,9.5833,,18.3169,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,1115.15,20,5,19.394,,27.9852,,16.0675,11.4416,,25.1117,,,,
54,WV,POP_1,POP_1,POP,pure,5,,323.97,18,5,33.9726,,26.7683,,16.4977,15.4781,,7.2832,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,882.23,20,5,31.1715,,21.8913,,18.6984,10.0846,,18.1542,,,,
