party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,193,114,67,374,21.67
1,Labor,150,88,35,273,15.82
4,Liberal,121,55,19,195,11.3
3,Nationalist,99,66,28,193,11.18
2,Solidarity,95,56,15,166,9.62
5,Populist,80,51,26,157,9.1
6,Civic Union Party,70,36,21,127,7.36
9,Progressive,63,23,3,89,5.16
7,Order and Opportunity Party,56,16,9,81,4.69
8,DSA,46,18,7,71,4.11
