party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,201,124,66,391,22.65
1,Labor,160,85,36,281,16.28
4,Liberal,132,57,21,210,12.17
3,Nationalist,92,64,27,183,10.6
5,Populist,87,48,25,160,9.27
2,Solidarity,84,55,15,154,8.92
6,Civic Union Party,72,35,22,129,7.47
9,Progressive,63,23,3,89,5.16
7,Order and Opportunity Party,44,15,9,68,3.94
8,DSA,38,17,6,61,3.53
