candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,lock_order,locked,rp_winner_overall,state_fips,state_abbr
CON_ref,CTR_sty,608.8103350635411,534.6139066672827,74.2,6.489,9,True,CON_ctr,47,TN
CON_ref,REF_nat,806.043987990161,337.38025374066257,468.66,40.9877,2,True,CON_ctr,47,TN
CON_ref,SD,741.7816663830913,401.6425753477323,340.14,29.7474,5,True,CON_ctr,47,TN
CTR_sty,REF_nat,683.8931584582627,459.531083272561,224.36,19.6219,6,True,CON_ctr,47,TN
CTR_sty,SD,826.1147396761055,317.309502054718,508.81,44.4984,1,True,CON_ctr,47,TN
REF_nat,SD,595.703190686147,547.7210510446766,47.98,4.1964,10,True,CON_ctr,47,TN
CON,CTR_con,1462.6032551421417,2092.4690976961583,629.87,17.7174,5,True,CTR_con,48,TX
CON,NAT_ref,2763.425797140151,791.6465556981493,1971.78,55.4638,1,True,CTR_con,48,TX
CON,SD,1795.710218550401,1759.3621342878992,36.35,1.0224,9,True,CTR_con,48,TX
CON,STY,1774.080575209308,1780.991777628992,6.91,0.1944,10,True,CTR_con,48,TX
CTR_con,NAT_ref,2655.1696138892257,899.9027389490748,1755.27,49.3736,2,True,CTR_con,48,TX
CTR_con,SD,1929.768475884056,1625.3038769542443,304.46,8.5642,7,True,CTR_con,48,TX
CTR_con,STY,1980.8789411247367,1574.1934117135636,406.69,11.4396,6,True,CTR_con,48,TX
NAT_ref,SD,1241.3985346306858,2313.673818207614,1072.28,30.1618,4,True,CTR_con,48,TX
NAT_ref,STY,1129.0793126516699,2425.9930401866304,1296.91,36.4807,3,True,CTR_con,48,TX
SD,STY,1663.2308523387687,1891.8415004995313,228.61,6.4305,8,True,CTR_con,48,TX
CON_ref,CTR_con,182.1152805476059,280.0250572122969,97.91,21.1862,5,True,CTR_con,49,UT
CON_ref,DSA,272.0472639987222,190.0930737611806,81.95,17.7336,6,True,CTR_con,49,UT
CON_ref,LIB_dsa,233.64004275631706,228.50029500358568,5.14,1.1122,10,True,CTR_con,49,UT
CON_ref,REF,310.8231012252421,151.31723653466062,159.51,34.5146,3,True,CTR_con,49,UT
CTR_con,DSA,290.24493933671806,171.89539842318464,118.35,25.609,4,True,CTR_con,49,UT
CTR_con,LIB_dsa,258.48734660623677,203.65299115366597,54.83,11.8653,7,True,CTR_con,49,UT
CTR_con,REF,319.5666993019038,142.57363845799898,176.99,38.2986,2,True,CTR_con,49,UT
DSA,LIB_dsa,132.9296795137066,329.2106582461962,196.28,42.4722,1,True,CTR_con,49,UT
DSA,REF,217.11374215095702,245.02659560894574,27.91,6.0399,9,True,CTR_con,49,UT
LIB_dsa,REF,249.20739353469406,212.9329442252087,36.27,7.8492,8,True,CTR_con,49,UT
CON,CTR_con,21.92387823556043,85.7459394389519,63.82,59.2757,1,True,SD_lib,50,VT
CON,PRG,47.58251366161313,60.08730401289921,12.5,11.614,7,True,SD_lib,50,VT
