type,chamber,F1_security_order,F2_electoral_skepticism,F3_government_distrust,F4_religious_traditionalism,F5_populist_conservatism,seats_senate_cond,seats_senate_irv,seats_house,seats_total_irv_house
CON,both,0.7674,-0.0235,0.1108,0.2186,0.4424,0,2,164,166
SD,both,-0.4143,-0.0321,0.0915,-0.3447,-0.5640,1,2,166,168
POP,both,0.2023,0.7593,-0.2061,0.1470,0.9903,1,1,125,126
STY,both,-0.4460,0.6579,0.1333,0.1645,-0.0623,3,0,160,160
LIB,both,-0.4623,-0.7437,-0.0862,-0.3230,-0.9496,0,0,100,100
CUP,both,0.2658,-0.8166,-0.1744,0.1296,0.0387,0,0,102,102
NAT,house,0.7366,0.4278,-0.2078,0.4573,1.5101,0,0,22,22
DSA,house,-1.3034,0.5040,0.0761,-0.3869,-0.8740,0,0,26,26
PRG,house,-1.2600,-0.6338,-0.2057,-0.3869,-0.9900,0,0,8,8
SD/STY,senate,-0.4247,0.1956,0.1053,-0.1767,-0.3984,11,10,0,10
CON/SD,senate,0.2357,-0.0274,0.1021,-0.0349,-0.0105,7,6,0,6
CON/STY,senate,0.2577,0.2627,0.1202,0.1959,0.2304,5,5,0,5
STY/SD,senate,-0.4301,0.3129,0.1124,-0.0901,-0.3132,3,5,0,5
CON/CUP,senate,0.5768,-0.3248,0.0024,0.1848,0.2890,6,4,0,4
CON/POP,senate,0.5922,0.2192,0.0126,0.1964,0.6122,1,4,0,4
SD/LIB,senate,-0.4378,-0.3808,0.0044,-0.3341,-0.7529,1,4,0,4
SD/CON,senate,0.1529,-0.0280,0.1007,-0.0743,-0.0809,3,2,0,2
STY/POP,senate,-0.1543,0.7035,-0.0194,0.1566,0.4114,4,2,0,2
CON/NAT,senate,0.7523,0.1976,-0.0453,0.3356,0.9656,0,1,0,1
SD/CUP,senate,-0.1219,-0.3694,-0.0228,-0.1408,-0.3048,2,1,0,1
STY/CON,senate,0.0758,0.3649,0.1236,0.1878,0.1547,1,1,0,1
LIB/CUP,senate,-0.1711,-0.7729,-0.1215,-0.1420,-0.5543,0,1,0,1
POP/STY,senate,-0.0376,0.7218,-0.0805,0.1535,0.6008,2,0,0,0
