type_a,chamber_a,type_b,chamber_b,F1_SecOrd_dist,F2_ElecSkep_dist,F3_GovtDis_dist,F4_ReligTrad_dist,F5_PopCons_dist,euclidean_5d,F1_SecOrd_align,F2_ElecSkep_align,F3_GovtDis_align,F4_ReligTrad_align,F5_PopCons_align,overall_align
CON/CUP,senate,SD/CON,senate,0.4239,0.2968,0.0983,0.2591,0.3699,0.6938,0.7953,0.8117,0.7118,0.6931,0.852,0.8004
SD/LIB,senate,SD/STY,senate,0.0131,0.5764,0.1009,0.1574,0.3545,0.7022,0.9937,0.6342,0.7042,0.8136,0.8582,0.7979
SD/CON,senate,SD/STY,senate,0.5776,0.2236,0.0046,0.1024,0.3175,0.7035,0.7211,0.8581,0.9865,0.8787,0.873,0.7976
STY/POP,senate,POP,both,0.3566,0.0558,0.1867,0.0096,0.5789,0.7074,0.8278,0.9646,0.4527,0.9886,0.7684,0.7964
CON/POP,senate,STY/CON,senate,0.5165,0.1457,0.1111,0.0086,0.4575,0.7139,0.7506,0.9075,0.6743,0.9898,0.817,0.7946
SD/CON,senate,STY/SD,senate,0.583,0.3409,0.0117,0.0158,0.2323,0.7145,0.7185,0.7837,0.9657,0.9813,0.9071,0.7944
CON,both,CON/SD,senate,0.5317,0.0039,0.0087,0.2535,0.4529,0.7431,0.7432,0.9975,0.9745,0.6997,0.8188,0.7862
STY/CON,senate,STY/SD,senate,0.5059,0.052,0.0112,0.2779,0.4679,0.7449,0.7557,0.967,0.9672,0.6708,0.8128,0.7856
SD/CUP,senate,CUP,both,0.3877,0.4472,0.1516,0.2704,0.3435,0.7512,0.8128,0.7162,0.5556,0.6797,0.8626,0.7838
SD/CUP,senate,STY/SD,senate,0.3082,0.6823,0.1352,0.0507,0.0084,0.7626,0.8512,0.567,0.6036,0.9399,0.9966,0.7806
LIB/CUP,senate,CUP,both,0.4369,0.0437,0.0529,0.2716,0.593,0.788,0.789,0.9723,0.8449,0.6783,0.7628,0.7732
SD,senate,SD/CON,senate,0.5672,0.0041,0.0092,0.2704,0.4831,0.7927,0.7261,0.9974,0.973,0.6797,0.8068,0.7719
CON/POP,senate,POP,both,0.3899,0.5401,0.2187,0.0494,0.3781,0.7981,0.8117,0.6573,0.3588,0.9415,0.8488,0.7703
CON/POP,senate,CON/SD,senate,0.3565,0.2466,0.0895,0.2313,0.6227,0.7983,0.8278,0.8435,0.7376,0.726,0.7509,0.7703
CON/SD,senate,STY/SD,senate,0.6658,0.3403,0.0103,0.0552,0.3027,0.8086,0.6785,0.7841,0.9698,0.9346,0.8789,0.7673
STY,both,POP/STY,senate,0.4084,0.0639,0.2138,0.011,0.6631,0.8102,0.8028,0.9595,0.3732,0.987,0.7348,0.7669
CON/SD,senate,SD/STY,senate,0.6604,0.223,0.0032,0.1418,0.3879,0.8102,0.6811,0.8585,0.9906,0.832,0.8448,0.7669
CON/POP,senate,POP/STY,senate,0.6298,0.5026,0.0931,0.0429,0.0114,0.8124,0.6959,0.6811,0.7271,0.9492,0.9954,0.7662
LIB,both,PRG,house,0.7977,0.1099,0.1195,0.0639,0.0404,0.8176,0.6148,0.9303,0.6497,0.9243,0.9838,0.7647
CON/NAT,senate,POP,both,0.55,0.5617,0.1608,0.1886,0.0247,0.8246,0.7344,0.6436,0.5286,0.7766,0.9901,0.7627
SD,senate,LIB,both,0.048,0.7116,0.1777,0.0217,0.3856,0.8303,0.9768,0.5484,0.479,0.9743,0.8458,0.7611
SD,senate,LIB/CUP,senate,0.2432,0.7408,0.213,0.2027,0.0097,0.8333,0.8826,0.5299,0.3755,0.7599,0.9961,0.7602
SD/CUP,senate,LIB,both,0.3404,0.3743,0.0634,0.1822,0.6448,0.842,0.8356,0.7625,0.8141,0.7842,0.7421,0.7577
CON,both,STY/CON,senate,0.6916,0.3884,0.0128,0.0308,0.2877,0.8444,0.666,0.7535,0.9625,0.9635,0.8849,0.757
SD/STY,senate,STY/CON,senate,0.5005,0.1693,0.0183,0.3645,0.5531,0.8475,0.7583,0.8926,0.9464,0.5682,0.7788,0.7561
CON/SD,senate,CUP,both,0.0301,0.7892,0.2765,0.1645,0.0492,0.8542,0.9855,0.4992,0.1894,0.8051,0.9803,0.7542
CON,both,SD/CON,senate,0.6145,0.0045,0.0101,0.2929,0.5233,0.8587,0.7033,0.9971,0.9704,0.653,0.7907,0.7529
CON/STY,senate,STY,both,0.7037,0.3952,0.0131,0.0314,0.2927,0.8592,0.6602,0.7492,0.9616,0.9628,0.8829,0.7528
SD/LIB,senate,STY/SD,senate,0.0077,0.6937,0.108,0.244,0.4397,0.8636,0.9963,0.5598,0.6834,0.711,0.8241,0.7515
CON/CUP,senate,STY/CON,senate,0.501,0.6897,0.1212,0.003,0.1343,0.8715,0.7581,0.5623,0.6447,0.9964,0.9463,0.7492
POP,both,NAT,house,0.5343,0.3315,0.0017,0.3103,0.5198,0.8728,0.742,0.7896,0.995,0.6324,0.7921,0.7488
SD/CON,senate,CUP,both,0.1129,0.7886,0.2751,0.2039,0.1196,0.8753,0.9455,0.4996,0.1935,0.7585,0.9522,0.7481
CON/CUP,senate,CON/NAT,senate,0.1755,0.5224,0.0477,0.1508,0.6766,0.8868,0.9153,0.6685,0.8602,0.8214,0.7294,0.7448
CON/POP,senate,SD/CON,senate,0.4393,0.2472,0.0881,0.2707,0.6931,0.9031,0.7879,0.8431,0.7417,0.6793,0.7228,0.7401
CON/SD,senate,SD,senate,0.65,0.0047,0.0106,0.3098,0.5535,0.9083,0.6861,0.997,0.9689,0.633,0.7786,0.7386
STY/POP,senate,STY/SD,senate,0.2758,0.3906,0.1318,0.2467,0.7246,0.9121,0.8668,0.7521,0.6136,0.7078,0.7102,0.7375
CON/POP,senate,STY/POP,senate,0.7465,0.4843,0.032,0.0398,0.2008,0.9137,0.6395,0.6927,0.9062,0.9529,0.9197,0.7371
CON/NAT,senate,CON/STY,senate,0.4946,0.0651,0.1655,0.1397,0.7352,0.9145,0.7612,0.9587,0.5148,0.8345,0.7059,0.7368
SD/LIB,senate,PRG,house,0.8222,0.253,0.2101,0.0528,0.2371,0.9182,0.603,0.8395,0.3841,0.9375,0.9052,0.7358
CON/STY,senate,STY/SD,senate,0.6878,0.0502,0.0078,0.286,0.5436,0.9236,0.6679,0.9681,0.9771,0.6612,0.7826,0.7342
SD/CON,senate,STY,both,0.5989,0.6859,0.0326,0.2388,0.0186,0.9421,0.7108,0.5648,0.9044,0.7171,0.9926,0.7289
CON/SD,senate,STY/POP,senate,0.39,0.7309,0.1215,0.1915,0.4219,0.9569,0.8117,0.5362,0.6438,0.7732,0.8312,0.7246
SD/CUP,senate,STY/CON,senate,0.1976,0.7343,0.1465,0.3285,0.4596,0.9586,0.9046,0.534,0.5705,0.6109,0.8162,0.7242
CON/STY,senate,POP,both,0.0554,0.4966,0.3263,0.0489,0.7599,0.9675,0.9732,0.6849,0.0434,0.9421,0.6961,0.7216
SD/CON,senate,LIB/CUP,senate,0.324,0.7449,0.2222,0.0677,0.4734,0.9684,0.8435,0.5273,0.3486,0.9198,0.8106,0.7213
SD/CON,senate,STY/POP,senate,0.3072,0.7315,0.1201,0.2309,0.4923,0.9693,0.8517,0.5358,0.6479,0.7265,0.8031,0.7211
CON/CUP,senate,SD/CUP,senate,0.6987,0.0446,0.0252,0.3256,0.5938,0.9744,0.6626,0.9717,0.9261,0.6143,0.7625,0.7196
CON/STY,senate,SD/CUP,senate,0.3796,0.6321,0.143,0.3367,0.5352,0.9818,0.8167,0.5989,0.5808,0.6012,0.7859,0.7175
CON/SD,senate,STY,both,0.6817,0.6853,0.0312,0.1994,0.0518,0.9888,0.6708,0.5651,0.9085,0.7638,0.9793,0.7155
STY/CON,senate,POP,both,0.1265,0.3944,0.3297,0.0408,0.8356,0.99,0.9389,0.7497,0.0334,0.9517,0.6658,0.7151
CON/POP,senate,NAT,house,0.1444,0.2086,0.2204,0.2609,0.8979,0.9935,0.9303,0.8676,0.3539,0.691,0.6409,0.7141
SD,senate,STY,both,0.0317,0.69,0.0418,0.5092,0.5017,0.9949,0.9847,0.5622,0.8775,0.3968,0.7993,0.7137
SD/CON,senate,SD/LIB,senate,0.5907,0.3528,0.0963,0.2598,0.672,1.0009,0.7147,0.7761,0.7177,0.6923,0.7312,0.712
CON/STY,senate,SD/STY,senate,0.6824,0.0671,0.0149,0.3726,0.6288,1.0023,0.6705,0.9574,0.9563,0.5586,0.7485,0.7116
CON/NAT,senate,POP/STY,senate,0.7899,0.5242,0.0352,0.1821,0.3648,1.0325,0.6186,0.6674,0.8968,0.7843,0.8541,0.7029
CON/SD,senate,LIB/CUP,senate,0.4068,0.7455,0.2236,0.1071,0.5438,1.0384,0.8036,0.5269,0.3445,0.8731,0.7825,0.7012
CON/SD,senate,POP/STY,senate,0.2733,0.7492,0.1826,0.1884,0.6113,1.0385,0.868,0.5246,0.4647,0.7768,0.7555,0.7012
SD/STY,senate,LIB/CUP,senate,0.2536,0.9685,0.2268,0.0347,0.1559,1.0388,0.8775,0.3854,0.3351,0.9589,0.9376,0.7011
SD/STY,senate,STY/POP,senate,0.2704,0.5079,0.1247,0.3333,0.8098,1.0552,0.8694,0.6777,0.6344,0.6052,0.6761,0.6964
CON,both,CUP,both,0.5016,0.7931,0.2852,0.089,0.4037,1.0644,0.7578,0.4967,0.1639,0.8946,0.8385,0.6937
SD/STY,senate,DSA,house,0.8787,0.3084,0.0292,0.2102,0.4756,1.067,0.5757,0.8043,0.9144,0.751,0.8098,0.693
SD/CON,senate,POP/STY,senate,0.1905,0.7498,0.1812,0.2278,0.6817,1.0714,0.908,0.5242,0.4688,0.7302,0.7273,0.6917
SD,senate,DSA,house,0.8891,0.5361,0.0154,0.0422,0.31,1.0844,0.5706,0.6598,0.9549,0.95,0.876,0.688
CON/NAT,senate,STY/CON,senate,0.6765,0.1673,0.1689,0.1478,0.8109,1.0925,0.6733,0.8938,0.5048,0.8249,0.6757,0.6856
SD,senate,STY/CON,senate,0.4901,0.397,0.0321,0.5325,0.7187,1.0949,0.7633,0.7481,0.9059,0.3692,0.7125,0.6849
STY/SD,senate,DSA,house,0.8733,0.1911,0.0363,0.2968,0.5608,1.0968,0.5783,0.8787,0.8936,0.6484,0.7757,0.6844
CON/SD,senate,SD/LIB,senate,0.6735,0.3534,0.0977,0.2992,0.7424,1.1085,0.6748,0.7757,0.7136,0.6456,0.7031,0.681
SD/STY,senate,LIB,both,0.0376,0.9393,0.1915,0.1463,0.5512,1.1161,0.9818,0.404,0.4386,0.8267,0.7795,0.6788
STY/SD,senate,POP/STY,senate,0.3925,0.4089,0.1929,0.2436,0.914,1.1195,0.8105,0.7405,0.4345,0.7114,0.6344,0.6779
CON,both,POP/STY,senate,0.805,0.7453,0.1913,0.0651,0.1584,1.1267,0.6113,0.5271,0.4392,0.9229,0.9366,0.6758
CON/STY,senate,CUP,both,0.0081,1.0793,0.2946,0.0663,0.1917,1.1371,0.9961,0.3151,0.1363,0.9215,0.9233,0.6728
SD/CUP,senate,STY,both,0.3241,1.0273,0.1561,0.3053,0.2425,1.1562,0.8435,0.3481,0.5424,0.6384,0.903,0.6673
CON,both,POP,both,0.5651,0.7828,0.3169,0.0716,0.5479,1.1567,0.7271,0.5033,0.0709,0.9152,0.7808,0.6671
