type_a,chamber_a,type_b,chamber_b,F1_SecOrd_dist,F2_ElecSkep_dist,F3_GovtDis_dist,F4_ReligTrad_dist,F5_PopCons_dist,euclidean_5d,F1_SecOrd_align,F2_ElecSkep_align,F3_GovtDis_align,F4_ReligTrad_align,F5_PopCons_align,overall_align
SD/CUP,senate,DSA,house,1.1815,0.8734,0.0989,0.2461,0.5692,1.5979,0.4294,0.4458,0.7101,0.7085,0.7723,0.5402
CON,both,LIB/CUP,senate,0.9385,0.7494,0.2323,0.3606,0.9967,1.6185,0.5468,0.5245,0.319,0.5729,0.6013,0.5343
STY/POP,senate,CUP,both,0.4201,1.5201,0.155,0.027,0.3727,1.6281,0.7971,0.0354,0.5456,0.968,0.8509,0.5315
CON,both,SD,senate,1.1817,0.0086,0.0193,0.5633,1.0064,1.6514,0.4294,0.9945,0.9434,0.3327,0.5975,0.5248
CON/POP,senate,SD,senate,1.0065,0.2513,0.0789,0.5411,1.1762,1.661,0.514,0.8405,0.7687,0.359,0.5295,0.522
CON/NAT,senate,STY,both,1.1983,0.4603,0.1786,0.1711,1.0279,1.663,0.4213,0.7079,0.4764,0.7973,0.5889,0.5215
POP/STY,senate,CUP,both,0.3034,1.5384,0.0939,0.0239,0.5621,1.6686,0.8535,0.0238,0.7247,0.9717,0.7752,0.5198
STY,both,CUP,both,0.7118,1.4745,0.3077,0.0349,0.101,1.6694,0.6563,0.0643,0.0979,0.9587,0.9596,0.5196
SD/STY,senate,POP,both,0.627,0.5637,0.3114,0.3237,1.3887,1.6856,0.6972,0.6423,0.0871,0.6166,0.4445,0.5149
SD/LIB,senate,STY/POP,senate,0.2835,1.0843,0.0238,0.4907,1.1643,1.6891,0.8631,0.3119,0.9302,0.4187,0.5343,0.5139
CON/NAT,senate,SD/CUP,senate,0.8742,0.5671,0.0225,0.4763,1.2704,1.7109,0.5778,0.6401,0.934,0.4358,0.4919,0.5077
STY,both,LIB,both,0.0163,1.4016,0.2195,0.4875,0.8873,1.743,0.9921,0.1106,0.3565,0.4225,0.6451,0.4984
STY/CON,senate,LIB,both,0.5381,1.1086,0.2098,0.5108,1.1043,1.7444,0.7401,0.2965,0.3849,0.3949,0.5583,0.498
CON/CUP,senate,LIB,both,1.0391,0.4189,0.0886,0.5078,1.2386,1.7479,0.4982,0.7342,0.7403,0.3985,0.5046,0.497
CON/POP,senate,LIB/CUP,senate,0.7633,0.992,0.134,0.3384,1.1665,1.7493,0.6314,0.3705,0.6072,0.5991,0.5334,0.4966
CON/SD,senate,NAT,house,0.5009,0.4552,0.3099,0.4922,1.5206,1.7631,0.7581,0.7111,0.0915,0.417,0.3918,0.4926
LIB/CUP,senate,DSA,house,1.1323,1.2769,0.1976,0.2449,0.3197,1.7646,0.4532,0.1897,0.4207,0.7099,0.8721,0.4922
SD/CON,senate,DSA,house,1.4563,0.532,0.0246,0.3126,0.7931,1.7695,0.2967,0.6624,0.9279,0.6297,0.6828,0.4908
SD/CUP,senate,POP,both,0.3242,1.1287,0.1833,0.2878,1.2951,1.7813,0.8434,0.2838,0.4626,0.6591,0.482,0.4874
STY/POP,senate,LIB/CUP,senate,0.0168,1.4764,0.1021,0.2986,0.9657,1.7922,0.9919,0.0631,0.7007,0.6463,0.6137,0.4843
CON/STY,senate,LIB,both,0.72,1.0064,0.2064,0.5189,1.18,1.7987,0.6523,0.3614,0.3949,0.3853,0.528,0.4824
CON/NAT,senate,STY/SD,senate,1.1824,0.1153,0.1577,0.4257,1.2788,1.8035,0.429,0.9268,0.5377,0.4957,0.4885,0.481
STY/CON,senate,DSA,house,1.3792,0.1391,0.0475,0.5747,1.0287,1.8199,0.334,0.9117,0.8607,0.3192,0.5885,0.4763
STY/POP,senate,DSA,house,1.1491,0.1995,0.0955,0.5435,1.2854,1.8213,0.4451,0.8734,0.72,0.3562,0.4859,0.4759
CON,both,SD/LIB,senate,1.2052,0.3573,0.1064,0.5527,1.1953,1.8237,0.418,0.7733,0.6881,0.3453,0.5219,0.4752
SD/CON,senate,PRG,house,1.4129,0.6058,0.3064,0.3126,0.9091,1.8388,0.3177,0.6156,0.1017,0.6297,0.6364,0.4709
POP,both,CUP,both,0.0635,1.5759,0.0317,0.0174,0.9516,1.8424,0.9693,0.0,0.9071,0.9794,0.6194,0.4698
SD/LIB,senate,POP/STY,senate,0.4002,1.1026,0.0849,0.4876,1.3537,1.8583,0.8067,0.3003,0.7511,0.4224,0.4585,0.4653
SD/CON,senate,NAT,house,0.5837,0.4558,0.3085,0.5316,1.591,1.8594,0.7181,0.7108,0.0956,0.3703,0.3636,0.4649
CON/SD,senate,DSA,house,1.5391,0.5314,0.026,0.352,0.8635,1.8765,0.2568,0.6628,0.9238,0.583,0.6546,0.46
CON/NAT,senate,SD/STY,senate,1.177,0.002,0.1506,0.5123,1.364,1.8791,0.4316,0.9987,0.5585,0.3932,0.4544,0.4593
CON/POP,senate,SD/LIB,senate,1.03,0.6,0.0081,0.5305,1.3652,1.8884,0.5026,0.6193,0.9763,0.3716,0.4539,0.4566
STY,both,PRG,house,0.814,1.2917,0.339,0.5514,0.9277,1.9002,0.6069,0.1803,0.0062,0.3468,0.6289,0.4532
POP/STY,senate,LIB/CUP,senate,0.1335,1.4947,0.041,0.2955,1.1551,1.917,0.9355,0.0515,0.8798,0.65,0.538,0.4484
CUP,both,PRG,house,1.5258,0.1828,0.0313,0.5165,1.0287,1.9203,0.2632,0.884,0.9082,0.3882,0.5885,0.4474
SD,senate,POP,both,0.6166,0.7914,0.2976,0.4917,1.5543,1.9372,0.7022,0.4978,0.1275,0.4176,0.3783,0.4425
CON/SD,senate,PRG,house,1.4957,0.6064,0.3078,0.352,0.9795,1.945,0.2777,0.6152,0.0976,0.583,0.6082,0.4403
CUP,both,NAT,house,0.4708,1.2444,0.0334,0.3277,1.4714,2.0109,0.7726,0.2104,0.9021,0.6118,0.4115,0.4213
CON/STY,senate,DSA,house,1.5611,0.2413,0.0441,0.5828,1.1044,2.0141,0.2461,0.8469,0.8707,0.3096,0.5583,0.4204
STY,both,NAT,house,1.1826,0.2301,0.3411,0.2928,1.5724,2.0313,0.4289,0.854,0.0,0.6532,0.3711,0.4155
POP/STY,senate,DSA,house,1.2658,0.2178,0.1566,0.5404,1.4748,2.035,0.3887,0.8618,0.5409,0.3599,0.4101,0.4144
CON/NAT,senate,SD,senate,1.1666,0.2297,0.1368,0.6803,1.5296,2.0579,0.4366,0.8542,0.5989,0.1941,0.3882,0.4078
STY/POP,senate,LIB,both,0.308,1.4472,0.0668,0.4796,1.361,2.0679,0.8513,0.0817,0.8042,0.4319,0.4556,0.4049
CON,both,LIB,both,1.2297,0.7202,0.197,0.5416,1.392,2.0738,0.4062,0.543,0.4225,0.3584,0.4432,0.4032
CON/NAT,senate,LIB/CUP,senate,0.9234,0.9705,0.0762,0.4775,1.5199,2.0828,0.5541,0.3842,0.7766,0.4344,0.3921,0.4007
STY/CON,senate,PRG,house,1.3358,0.9987,0.3293,0.5747,1.1447,2.1286,0.3549,0.3663,0.0346,0.3192,0.5421,0.3875
CON/POP,senate,LIB,both,1.0545,0.9629,0.0988,0.5194,1.5618,2.1813,0.4908,0.389,0.7103,0.3847,0.3753,0.3723
POP/STY,senate,LIB,both,0.4247,1.4655,0.0057,0.4765,1.5504,2.2269,0.7949,0.0701,0.9833,0.4356,0.3799,0.3592
POP,both,LIB/CUP,senate,0.3734,1.5322,0.0846,0.289,1.5446,2.2278,0.8197,0.0277,0.752,0.6577,0.3822,0.3589
SD/LIB,senate,POP,both,0.6401,1.1401,0.2105,0.4811,1.7432,2.2415,0.6909,0.2765,0.3829,0.4301,0.3027,0.355
CON/STY,senate,PRG,house,1.5177,0.8965,0.3259,0.5828,1.2204,2.2455,0.2671,0.4311,0.0446,0.3096,0.5119,0.3538
SD/CUP,senate,NAT,house,0.8585,0.7972,0.185,0.5981,1.8149,2.2491,0.5854,0.4941,0.4576,0.2915,0.2741,0.3528
STY/SD,senate,NAT,house,1.1667,0.1149,0.3202,0.5474,1.8233,2.2585,0.4366,0.9271,0.0613,0.3516,0.2707,0.3501
CON/NAT,senate,SD/LIB,senate,1.1901,0.5784,0.0497,0.6696,1.7185,2.2705,0.4253,0.633,0.8543,0.2068,0.3126,0.3466
STY/POP,senate,PRG,house,1.1057,1.3373,0.1863,0.5435,1.4014,2.3033,0.4661,0.1514,0.4538,0.3562,0.4395,0.3372
CUP,both,DSA,house,1.5692,1.3206,0.2505,0.5165,0.9127,2.3171,0.2422,0.162,0.2656,0.3882,0.6349,0.3332
CON/CUP,senate,PRG,house,1.8368,0.309,0.2081,0.5717,1.279,2.3399,0.113,0.8039,0.3899,0.3228,0.4884,0.3267
SD/STY,senate,NAT,house,1.1613,0.2322,0.3131,0.634,1.9085,2.3548,0.4392,0.8527,0.0821,0.249,0.2366,0.3224
CON/CUP,senate,DSA,house,1.8802,0.8288,0.0737,0.5717,1.163,2.4304,0.092,0.4741,0.7839,0.3228,0.5348,0.3006
POP/STY,senate,PRG,house,1.2224,1.3556,0.1252,0.5404,1.5908,2.484,0.4097,0.1398,0.633,0.3599,0.3637,0.2852
POP,both,DSA,house,1.5057,0.2553,0.2822,0.5339,1.8643,2.4845,0.2729,0.838,0.1727,0.3676,0.2543,0.2851
CON/POP,senate,DSA,house,1.8956,0.2848,0.0635,0.5833,1.4862,2.4955,0.0846,0.8193,0.8138,0.309,0.4055,0.2819
CON/NAT,senate,LIB,both,1.2146,0.9413,0.0409,0.6586,1.9152,2.5426,0.4135,0.4027,0.8801,0.2199,0.234,0.2683
SD,senate,NAT,house,1.1509,0.4599,0.2993,0.802,2.0741,2.5633,0.4442,0.7082,0.1225,0.05,0.1704,0.2624
CON,both,DSA,house,2.0708,0.5275,0.0347,0.6055,1.3164,2.5821,0.0,0.6653,0.8983,0.2828,0.4735,0.257
POP,both,LIB,both,0.6646,1.503,0.1199,0.47,1.9399,2.5883,0.6791,0.0463,0.6485,0.4433,0.2241,0.2552
LIB/CUP,senate,NAT,house,0.9077,1.2007,0.0863,0.5993,2.0644,2.6256,0.5617,0.2381,0.747,0.2901,0.1743,0.2445
CON,both,PRG,house,2.0274,0.6103,0.3165,0.6055,1.4324,2.646,0.021,0.6127,0.0721,0.2828,0.4271,0.2386
CON/POP,senate,PRG,house,1.8522,0.853,0.2183,0.5833,1.6022,2.6671,0.1056,0.4587,0.36,0.309,0.3591,0.2325
SD/LIB,senate,NAT,house,1.1744,0.8086,0.2122,0.7914,2.263,2.7975,0.4329,0.4869,0.3779,0.0625,0.0948,0.195
CON/NAT,senate,DSA,house,2.0557,0.3064,0.1214,0.7225,1.8396,2.8706,0.0073,0.8056,0.6441,0.1442,0.2642,0.174
POP,both,PRG,house,1.4623,1.3931,0.0004,0.5339,1.9803,2.8785,0.2938,0.116,0.9988,0.3676,0.2079,0.1717
CON/NAT,senate,PRG,house,2.0123,0.8314,0.1604,0.7225,1.9556,3.0187,0.0282,0.4724,0.5298,0.1442,0.2178,0.1313
LIB,both,NAT,house,1.1989,1.1715,0.1216,0.7803,2.4597,3.0795,0.421,0.2566,0.6435,0.0757,0.0162,0.1138
NAT,house,DSA,house,2.04,0.0762,0.2839,0.8442,2.3841,3.2626,0.0149,0.9516,0.1677,0.0,0.0464,0.0611
NAT,house,PRG,house,1.9966,1.0616,0.0021,0.8442,2.5001,3.4751,0.0358,0.3264,0.9938,0.0,0.0,0.0
