party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,201,124,66,391,22.65
1,Labor,160,85,36,281,16.28
4,Liberal,133,57,21,211,12.22
3,Nationalist,90,63,27,180,10.43
5,Populist,88,48,25,161,9.33
2,Solidarity,84,55,15,154,8.92
6,Civic Union Party,72,35,22,129,7.47
9,Progressive,62,24,3,89,5.16
7,Order and Opportunity Party,44,15,9,68,3.94
8,DSA,39,17,6,62,3.59
