state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1
1,AL,CON_1,NAT_1,CON_1,661,4,36.28,12.7,27.13,8.56,15.33
2,AK,LBR_1,CUP_1,LBR_1,105,4,20.33,18.41,34.09,15.16,12.01
4,AZ,CON_1,NAT_1,CON_1,1159,4,28.49,7.32,25.34,18.57,20.28
5,AR,CON_1,CUP_1,CON_1,390,4,29.53,14.3,32.14,11.51,12.52
6,CA,LBR_1,LIB_1,LBR_1,3626,4,21.14,10.13,30.77,25.89,12.07
8,CO,LBR_1,LIB_1,LBR_1,785,4,31.17,8.43,23.45,26.31,10.64
9,CT,CON_1,LBR_1,LBR_1,465,4,27.14,10.54,21.98,30.11,10.24
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.34,12.24,28.63,23.31,6.48
11,DC,LBR_1,CON_1,LBR_1,122,4,16.22,8.42,29.83,45.53,0.0
12,FL,LBR_1,CUP_1,LBR_1,3350,4,29.23,18.82,29.69,12.87,9.39
13,GA,LBR_1,LIB_1,LBR_1,1489,4,29.54,15.66,27.01,17.16,10.63
15,HI,LBR_1,LIB_1,LBR_1,153,4,25.09,11.15,33.63,25.35,4.78
16,ID,CON_1,CUP_1,CON_1,244,4,29.98,19.38,20.02,14.37,16.24
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.03,15.24,24.83,24.19,9.71
18,IN,CON_1,CUP_1,CON_1,978,4,26.05,17.83,23.57,16.66,15.9
19,IA,CON_1,CUP_1,CON_1,490,4,28.74,16.67,24.69,14.24,15.66
20,KS,CON_1,CUP_1,CON_1,385,3,31.3,12.94,21.12,22.15,12.5
21,KY,CON_1,CUP_1,CON_1,674,4,30.42,17.01,25.32,12.14,15.12
22,LA,CON_1,CUP_1,CON_1,493,4,30.58,18.63,20.7,12.82,17.27
23,ME,LIB_1,LBR_1,LBR_1,236,4,26.05,6.85,26.21,32.41,8.48
24,MD,LBR_1,LIB_1,LBR_1,791,4,22.31,9.48,33.0,26.5,8.72
25,MA,LBR_1,LIB_1,LBR_1,906,4,22.1,9.17,29.38,29.95,9.4
26,MI,CON_1,NAT_1,CON_1,1531,3,29.86,10.0,23.46,20.41,16.28
27,MN,CON_1,LBR_1,LBR_1,811,4,26.38,9.86,19.23,33.49,11.03
28,MS,CON_1,CUP_1,CON_1,349,4,29.84,18.2,33.28,6.01,12.68
29,MO,CON_1,NAT_1,CON_1,1047,3,30.12,11.7,30.59,14.23,13.36
30,MT,CON_1,NAT_1,CON_1,185,4,20.98,10.6,23.03,21.09,24.31
31,NE,LBR_1,CUP_1,LBR_1,286,4,24.26,18.66,31.4,14.55,11.12
32,NV,LBR_1,LIB_1,LBR_1,573,4,28.71,8.19,29.18,20.96,12.96
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.47,14.41,30.71,24.21,7.2
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,26.2,11.73,23.0,27.24,11.82
35,NM,LBR_1,LIB_1,LBR_1,309,4,22.02,16.34,34.86,19.2,7.58
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.59,11.77,30.74,24.05,9.86
37,NC,CON_1,NAT_1,CON_1,1444,3,31.02,12.08,23.09,18.94,14.87
38,ND,CON_1,CUP_1,CUP_1,90,4,33.37,21.55,23.0,17.81,4.26
39,OH,CON_1,CUP_1,CON_1,1978,3,31.51,14.35,24.63,16.02,13.49
40,OK,CON_1,NAT_1,CON_1,537,4,30.62,15.55,21.6,13.4,18.82
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.21,6.33,24.24,34.01,17.21
42,PA,CON_1,LBR_1,LBR_1,2418,4,28.92,10.07,23.38,25.87,11.76
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.61,10.21,28.64,30.85,6.7
45,SC,CON_1,CUP_1,CON_1,736,4,30.9,13.25,29.35,12.25,14.25
46,SD,CON_1,CUP_1,CUP_1,137,4,25.62,20.24,23.89,14.83,15.42
47,TN,CON_1,NAT_1,CON_1,1065,4,39.08,13.87,19.69,8.28,19.08
48,TX,CON_1,CUP_1,CON_1,3392,4,29.83,16.72,29.95,11.87,11.63
49,UT,LBR_1,CUP_1,LBR_1,387,4,24.2,14.51,37.28,12.34,11.68
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.4,6.86,18.99,45.6,5.14
51,VA,LBR_1,LIB_1,LBR_1,1234,4,27.91,9.92,27.83,21.79,12.56
53,WA,LBR_1,LIB_1,LBR_1,1112,4,21.2,10.77,26.85,29.25,11.92
54,WV,CON_1,CUP_1,CON_1,335,4,32.74,18.45,27.67,9.03,12.11
55,WI,LBR_1,LIB_1,LBR_1,1088,4,31.14,11.39,23.88,21.4,12.2
56,WY,CON_1,CUP_1,CON_1,70,4,35.41,22.82,15.79,15.77,10.21
