state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1
1,AL,CON_1,NAT_1,CON_1,661,4,36.49,12.59,26.58,8.71,15.64
2,AK,LBR_1,CUP_1,LBR_1,105,4,20.4,18.24,33.59,15.51,12.26
4,AZ,CON_1,NAT_1,CON_1,1159,4,28.46,7.21,24.93,18.88,20.52
5,AR,CON_1,CUP_1,CON_1,390,4,29.61,14.11,31.83,11.72,12.72
6,CA,LBR_1,LIB_1,LBR_1,3626,4,21.13,9.97,30.27,26.38,12.25
8,CO,LBR_1,LIB_1,LBR_1,785,4,31.11,8.32,23.1,26.72,10.76
9,CT,CON_1,LBR_1,LBR_1,465,4,27.09,10.4,21.6,30.55,10.37
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.4,12.08,28.31,23.63,6.58
11,DC,LBR_1,CON_1,LBR_1,122,4,16.13,8.28,29.45,46.14,0.0
12,FL,CON_1,CUP_1,LBR_1,3350,4,29.37,18.66,29.26,13.13,9.58
13,GA,LBR_1,LIB_1,LBR_1,1489,4,29.61,15.43,26.65,17.49,10.82
15,HI,LBR_1,LIB_1,LBR_1,153,4,25.12,11.1,33.24,25.69,4.85
16,ID,CON_1,CUP_1,CON_1,244,4,30.0,19.14,19.77,14.61,16.49
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.03,15.04,24.53,24.56,9.83
18,IN,CON_1,CUP_1,CON_1,978,4,26.11,17.57,23.21,16.96,16.15
19,IA,CON_1,CUP_1,CON_1,490,4,28.75,16.47,24.39,14.48,15.91
20,KS,CON_1,NAT_1,CON_1,385,3,31.34,12.68,20.76,22.53,12.68
21,KY,CON_1,CUP_1,CON_1,674,4,30.54,16.83,24.87,12.38,15.39
22,LA,CON_1,CUP_1,CON_1,493,4,30.6,18.42,20.3,13.09,17.59
23,ME,LIB_1,LBR_1,LBR_1,236,4,25.95,6.75,25.84,32.87,8.59
24,MD,LBR_1,LIB_1,LBR_1,791,4,22.3,9.33,32.55,26.97,8.85
25,MA,LBR_1,LIB_1,LBR_1,906,4,22.11,9.07,28.92,30.4,9.51
26,MI,CON_1,NAT_1,CON_1,1531,3,29.8,9.85,23.14,20.73,16.49
27,MN,LIB_1,LBR_1,LBR_1,811,4,26.27,9.7,18.92,33.94,11.16
28,MS,CON_1,CUP_1,CON_1,349,4,30.07,18.11,32.68,6.16,12.98
29,MO,CON_1,NAT_1,CON_1,1047,3,30.2,11.56,30.14,14.51,13.6
30,MT,CON_1,NAT_1,CON_1,185,4,20.97,10.41,22.55,21.42,24.65
31,NE,LBR_1,CUP_1,LBR_1,286,4,24.39,18.45,31.01,14.82,11.34
32,NV,LBR_1,LIB_1,LBR_1,573,4,28.77,8.04,28.7,21.33,13.16
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.49,14.16,30.47,24.58,7.3
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,26.17,11.49,22.73,27.66,11.96
35,NM,LBR_1,LIB_1,LBR_1,309,4,22.14,16.15,34.41,19.59,7.72
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.57,11.62,30.36,24.46,9.98
37,NC,CON_1,NAT_1,CON_1,1444,3,31.02,11.91,22.74,19.28,15.06
38,ND,CON_1,CUP_1,CUP_1,90,4,33.48,21.28,22.78,18.13,4.33
39,OH,CON_1,CUP_1,CON_1,1978,3,31.56,14.2,24.23,16.3,13.71
40,OK,CON_1,NAT_1,CON_1,537,4,30.7,15.38,21.19,13.62,19.12
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.11,6.2,23.9,34.45,17.35
42,PA,CON_1,LBR_1,LBR_1,2418,4,28.9,9.92,23.01,26.27,11.89
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.61,10.11,28.17,31.31,6.8
45,SC,CON_1,CUP_1,CON_1,736,4,30.97,13.09,28.95,12.48,14.5
46,SD,CON_1,CUP_1,CUP_1,137,4,25.69,19.99,23.54,15.09,15.7
47,TN,CON_1,NAT_1,CON_1,1065,4,39.12,13.73,19.34,8.43,19.38
48,TX,CON_1,CUP_1,CON_1,3392,4,29.93,16.56,29.53,12.12,11.86
49,UT,LBR_1,CUP_1,LBR_1,387,4,24.32,14.39,36.77,12.6,11.91
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.27,6.74,18.62,46.18,5.19
51,VA,LBR_1,LIB_1,LBR_1,1234,4,27.88,9.78,27.42,22.17,12.75
53,WA,LIB_1,LBR_1,LBR_1,1112,4,21.13,10.62,26.5,29.7,12.05
54,WV,CON_1,CUP_1,CON_1,335,4,32.82,18.32,27.26,9.24,12.36
55,WI,LBR_1,LIB_1,LBR_1,1088,4,31.14,11.25,23.49,21.76,12.36
56,WY,CON_1,LBR_1,CON_1,70,3,35.49,22.54,15.57,16.02,10.37
