party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,108,73,27,208,23.83
1,Labor,88,49,18,155,17.75
4,Liberal,72,32,7,111,12.71
2,Solidarity,51,29,5,85,9.74
5,Populist,40,31,13,84,9.62
3,Nationalist,31,34,14,79,9.05
6,Civic Union Party,40,24,8,72,8.25
9,Progressive,19,6,3,28,3.21
8,DSA,16,7,3,26,2.98
7,Order and Opportunity Party,16,5,4,25,2.86
