party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,107,73,27,207,23.71
1,Labor,88,49,18,155,17.75
4,Liberal,73,29,7,109,12.49
5,Populist,43,36,14,93,10.65
2,Solidarity,50,33,5,88,10.08
3,Nationalist,31,31,13,75,8.59
6,Civic Union Party,43,22,8,73,8.36
8,DSA,16,7,3,26,2.98
9,Progressive,17,5,3,25,2.86
7,Order and Opportunity Party,13,5,4,22,2.52
