state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CON_2,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,none,CON_1,661,1,50.92,0.0,15.14,8.93,25.01
2,AK,LBR_1,STY_1,STY_1,105,4,36.25,0.0,23.63,15.55,24.58
4,AZ,CON_1,STY_1,STY_1,1159,3,44.99,0.0,20.37,18.68,15.95
5,AR,CON_1,STY_1,STY_1,390,4,42.46,0.0,23.66,11.58,22.3
6,CA,LBR_1,LIB_1,LBR_1,3626,4,31.27,0.0,23.3,25.71,19.72
8,CO,LBR_1,LIB_1,LBR_1,785,4,38.16,0.0,20.94,26.43,14.47
9,CT,CON_1,LBR_1,LBR_1,465,4,34.63,0.0,19.75,30.59,15.03
10,DE,LBR_1,LIB_1,LBR_1,164,4,35.64,0.0,31.12,24.71,8.53
11,DC,LBR_1,STY_1,LBR_1,122,4,11.69,0.0,27.75,44.9,15.66
12,FL,LBR_1,STY_1,STY_1,3350,4,42.06,0.0,21.55,13.64,22.75
13,GA,LBR_1,STY_1,STY_1,1489,4,41.39,0.0,21.05,17.45,20.11
15,HI,LBR_1,LIB_1,LBR_1,153,4,32.56,0.0,25.77,28.09,13.58
16,ID,CON_1,STY_1,STY_1,244,4,45.65,0.0,17.45,14.36,22.55
17,IL,LBR_1,LIB_1,LBR_1,1758,4,34.83,0.0,25.46,24.91,14.8
18,IN,CON_1,STY_1,STY_1,978,4,45.67,0.0,18.47,17.86,18.0
19,IA,CON_1,STY_1,STY_1,490,4,44.09,0.0,22.58,15.13,18.21
20,KS,CON_1,STY_1,STY_1,385,3,43.88,0.0,17.29,22.18,16.65
21,KY,CON_1,none,CON_1,674,1,50.58,0.0,18.13,12.38,18.91
22,LA,CON_1,STY_1,CON_1,493,4,47.56,0.0,19.13,12.9,20.41
23,ME,LIB_1,LBR_1,LBR_1,236,4,31.93,0.0,20.69,31.93,15.46
24,MD,LBR_1,LIB_1,LBR_1,791,4,31.69,0.0,26.32,26.02,15.97
25,MA,LBR_1,LIB_1,LBR_1,906,4,31.37,0.0,24.99,30.76,12.89
26,MI,CON_1,STY_1,STY_1,1531,3,43.19,0.0,20.7,20.48,15.62
27,MN,CON_1,LBR_1,LBR_1,811,4,34.39,0.0,17.18,33.82,14.62
28,MS,STY_1,LBR_1,STY_1,349,4,41.25,0.0,20.63,9.25,28.87
29,MO,CON_1,STY_1,STY_1,1047,4,43.21,0.0,22.62,14.45,19.71
30,MT,CON_1,STY_1,CON_1,185,3,47.82,0.0,18.1,20.82,13.27
31,NE,LBR_1,STY_1,STY_1,286,4,41.25,0.0,23.72,14.24,20.79
32,NV,LBR_1,LIB_1,STY_1,573,4,40.26,0.0,21.15,21.45,17.13
33,NH,LBR_1,LIB_1,LBR_1,252,4,33.54,0.0,31.67,23.87,10.91
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,37.73,0.0,22.66,27.41,12.2
35,NM,LBR_1,LIB_1,LBR_1,309,4,36.65,0.0,32.24,19.26,11.85
36,NY,LBR_1,LIB_1,LBR_1,2585,4,31.92,0.0,26.17,24.51,17.39
37,NC,STY_1,LIB_1,STY_1,1444,4,43.25,0.0,17.8,19.57,19.38
38,ND,CON_1,STY_1,STY_1,90,4,39.83,0.0,23.0,17.43,19.74
39,OH,CON_1,STY_1,STY_1,1978,4,44.7,0.0,19.7,16.65,18.95
40,OK,CON_1,LBR_1,CON_1,537,3,49.5,0.0,11.35,13.17,25.97
41,OR,LIB_1,LBR_1,LBR_1,810,4,34.75,0.0,22.37,33.82,9.06
42,PA,LBR_1,LIB_1,LBR_1,2418,4,41.23,0.0,20.13,26.37,12.27
44,RI,LBR_1,LIB_1,LBR_1,176,4,29.51,0.0,24.06,31.16,15.26
45,SC,CON_1,STY_1,STY_1,736,4,43.78,0.0,22.24,13.54,20.44
46,SD,CON_1,STY_1,STY_1,137,4,43.71,0.0,17.53,14.57,24.19
47,TN,CON_1,none,CON_1,1065,1,58.91,0.0,13.65,9.42,18.03
48,TX,CON_1,STY_1,STY_1,3392,4,42.58,0.0,21.3,12.5,23.62
49,UT,LBR_1,STY_1,STY_1,387,4,35.23,0.0,26.66,12.27,25.84
50,VT,LIB_1,LBR_1,LBR_1,105,4,28.68,0.0,17.76,46.02,7.54
51,VA,LBR_1,LIB_1,STY_1,1234,4,39.92,0.0,23.61,21.86,14.61
53,WA,LBR_1,LIB_1,LBR_1,1112,4,31.59,0.0,26.47,29.67,12.28
54,WV,STY_1,LBR_1,STY_1,335,4,45.83,0.0,16.71,8.9,28.56
55,WI,LBR_1,LIB_1,STY_1,1088,4,41.7,0.0,22.86,21.52,13.92
56,WY,STY_1,LIB_1,STY_1,70,4,41.57,0.0,17.47,17.86,23.1
