party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,196,121,67,384,22.25
1,Labor,162,91,36,289,16.74
4,Liberal,126,52,15,193,11.18
2,Solidarity,107,61,19,187,10.83
3,Nationalist,83,60,27,170,9.85
5,Populist,85,49,27,161,9.33
6,Civic Union Party,78,40,22,140,8.11
9,Progressive,53,20,3,76,4.4
7,Order and Opportunity Party,44,14,8,66,3.82
8,DSA,39,15,6,60,3.48
