pid3,ideo5,inputstate,commonpostweight,govt_trust_imputed,FS_F1,FS_F2,FS_F3,FS_F4_resid,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
1.0,3.0,42.0,0.1800566087375773,0,-0.9628592904030608,-0.8582674302148108,0.8121685932500339,-0.3652606402502503,4,3.9666536595015645e-17,0.0023724837497507414,1.5433451467479483e-133,0.002396199745309578,0.967303520205132,7.235276565939437e-06,2.687814178677111e-06,4.416209251591083e-30,0.027917873209063197,3.031532857777885e-31
2.0,4.0,36.0,0.7008973607552659,0,-0.4615731997906846,-0.4539681519167163,1.116187392319648,0.4055493932790109,1,1.081634708998477e-06,0.8307612882509042,3.798325686686263e-80,0.08764616139795439,0.015207187148526974,0.030968014265070985,0.030892511892756665,7.862251815271805e-63,0.004523755410077554,1.703361369504587e-16
3.0,1.0,42.0,0.0462750248831809,0,-1.2134343234231024,-0.2164035738651218,0.0411919251032828,-0.5773143610909296,8,3.435668015046835e-25,0.03452424338036591,1.1153679653392987e-161,0.0047013304769880394,0.22449627226346364,1.0968162343072317e-10,1.4320926714354448e-09,6.7871771106450246e-09,0.736278145550231,3.392597840173345e-39
1.0,3.0,6.0,0.0088972346248171,1,-0.448652353510502,0.8083219911808689,0.802549963622618,-0.2603199718758957,1,2.2481497498334428e-08,0.8209717637392957,1.1103312071588806e-85,0.03236005838257601,2.8934043877029137e-06,0.0015044302195042778,0.019783429695724684,2.0229829231265988e-65,0.12537740207700812,6.21573913320493e-15
2.0,4.0,30.0,0.5553947818748659,0,0.1571841372628269,-0.1888971836607061,-0.6196227310077189,0.2778556744043926,5,0.004878153834791788,0.0013393813911887922,1.89879878535384e-21,0.14353987465400897,6.926512357085113e-31,0.8502425485297728,6.847064418061172e-12,2.678291866773449e-140,1.6784770241429667e-14,4.1583374045274754e-08
1.0,2.0,48.0,0.1232077524658231,0,-1.5050956930177528,-1.6143005307995466,-0.2411351835614518,-0.1011998200541165,4,2.236419973773032e-33,0.0019845176839803115,3.26076060278806e-187,0.0032372505792360685,0.49606721454630676,3.433903215208346e-16,2.2686863732076703e-16,0.4465572897770889,0.0521537274133873,6.853605194517699e-56
1.0,2.0,26.0,0.4341394759415876,0,-1.2165081697657032,-0.3043776668315994,0.9190604306885194,0.1458310924162071,4,3.2476983672952514e-22,0.0038254254238095408,1.1896539891282402e-170,0.0011483791187874542,0.9303927780856454,2.404048681234063e-10,8.258859752690556e-13,9.012760670733065e-08,0.06463332700292007,1.684742467325592e-48
4.0,,45.0,1.436450539884464,1,0.959665846591362,1.6429798763317056,-2.166761735980494,-0.4084590069026252,2,0.0038853445278948726,1.0489718569337353e-13,0.7795145683234536,0.21630562575585166,1.267247936891178e-118,0.0002944613926952762,8.307639831347741e-54,2.9350040791627523e-293,4.88469686736549e-47,4.569355839648011e-42
5.0,3.0,41.0,0.8732044875489118,1,0.2566951039268425,0.4656405768992074,-1.9140115336402617,0.5002929613821485,5,8.988714224501309e-05,3.1222700315001383e-10,3.406662526415354e-13,0.44497635851531375,1.7086036415966387e-83,0.5549337540298733,6.078166305615152e-31,3.951218722402125e-158,6.706741104443912e-34,7.742168169856858e-23
5.0,,26.0,0.0001619969814628,0,-0.2033218828865824,0.7041623593746804,0.7903357079581813,0.5930833971772129,1,0.0003053963496678935,0.7330631983339564,3.0090549129949305e-59,0.22557041798471378,5.870374673507763e-14,0.04102637214323222,3.4498426929408886e-05,4.1599931840680954e-79,1.1675385985517156e-07,7.581871949084084e-12
4.0,,47.0,5.470331987680804,0,0.1986812395173878,1.018651377761008,-0.6495564871672843,0.2359243813436036,3,0.004754019981967565,0.0009593256017586041,2.20383487978032e-22,0.6882306698805668,2.202224591519355e-46,0.3060559845184215,6.058351024441759e-16,2.498536636525621e-133,2.205072306186701e-18,1.728485383521655e-11
2.0,4.0,45.0,1.183034045287737,1,0.959380620071332,0.2177927411058915,-1.2971510026075432,0.3074565255273966,2,0.05282412090684473,8.479324030153401e-12,0.9446831298259296,0.0023456629887412587,5.880853094036501e-78,0.00014708627000516403,1.8340082912672783e-42,1.5438157452225638e-304,3.1380432823386146e-40,3.5999253116449225e-26
1.0,3.0,6.0,0.0772112352429469,0,0.4544020513150068,-0.4106176108667001,-0.4094232150910888,0.4934512403983088,0,0.7479256295411637,0.00019706248196891936,6.402955653102708e-09,0.06968676269374352,4.684347483640607e-36,0.18219047247913525,1.9515941288014487e-17,3.3718177132291647e-196,4.6796056688412826e-20,6.640103304759509e-08
2.0,5.0,9.0,1.464401682421841,0,1.087122749664705,1.780318653375493,-0.2756240491063844,-0.779363808757659,3,0.21900344806168395,0.000964392745470992,0.026523600083731492,0.753508552874738,8.743830461923213e-55,6.234375657680291e-09,1.508685683633256e-33,0.0,2.4731600604673466e-24,1.286481513080303e-21
3.0,3.0,36.0,0.0380631157561038,1,0.8771397538832199,0.6002652030352175,-0.4773779335421655,-0.6029204062797675,0,0.9188003395492443,0.0002991957916969045,0.014054589618842307,0.06682688744003012,2.2284999962448777e-38,1.898760006317476e-05,1.5428963146431953e-24,5.59145044598319e-305,6.016630328564129e-20,1.2321530444853986e-13
2.0,5.0,28.0,0.8805369769457095,0,1.059287904703793,-0.4099523488722699,0.3630292244732703,0.122204172393012,0,0.7761734388161654,0.0025500430933280607,0.20438999114573234,0.0168865187466262,5.267079105177678e-29,7.3235928284392875e-09,6.347595697608288e-25,0.0,1.0400212045943522e-22,8.745548902208945e-10
