pid3,ideo5,inputstate,commonpostweight,govt_trust_imputed,FS_F1,FS_F2,FS_F3,FS_F4,FS_F4_resid
1.0,3.0,42.0,0.1800566087375773,0,-0.9628592904030607,-0.8582674302148108,0.8121685932500339,-0.7730200982449751,-0.36526064025025035
2.0,4.0,36.0,0.7008973607552659,0,-0.4615731997906846,-0.45396815191671636,1.116187392319648,0.21007863275620006,0.40554939327901096
3.0,1.0,42.0,0.04627502488318098,0,-1.2134343234231024,-0.21640357386512185,0.041191925103282866,-1.0911893654273128,-0.5773143610909296
1.0,3.0,6.0,0.008897234624817188,1,-0.44865235351050203,0.8083219911808689,0.802549963622618,-0.45031890766943083,-0.26031997187589573
2.0,4.0,30.0,0.5553947818748659,0,0.15718413726282698,-0.18889718366070612,-0.6196227310077189,0.3444212871107194,0.2778556744043926
1.0,2.0,48.0,0.1232077524658231,0,-1.5050956930177528,-1.6143005307995466,-0.2411351835614518,-0.7385899456229382,-0.10119982005411654
1.0,2.0,26.0,0.4341394759415876,0,-1.2165081697657032,-0.3043776668315994,0.9190604306885194,-0.3693456492883571,0.14583109241620718
4.0,,45.0,1.436450539884464,1,0.9596658465913621,1.6429798763317056,-2.166761735980494,-0.002051934381846286,-0.40845900690262527
5.0,3.0,41.0,0.8732044875489118,1,0.2566951039268425,0.46564057689920746,-1.9140115336402614,0.6090002849655282,0.5002929613821485
5.0,,26.0,0.0001619969814628041,0,-0.2033218828865824,0.7041623593746804,0.7903357079581813,0.5069789979252781,0.5930833971772129
4.0,,47.0,5.470331987680804,0,0.19868123951738784,1.018651377761008,-0.6495564871672843,0.32006352332084614,0.2359243813436036
2.0,4.0,45.0,1.183034045287737,1,0.9593806200713321,0.21779274110589159,-1.2971510026075432,0.7137428080092028,0.30745652552739666
1.0,3.0,6.0,0.07721123524294693,0,0.4544020513150068,-0.4106176108667001,-0.4094232150910888,0.685885104829669,0.4934512403983088
2.0,5.0,9.0,1.464401682421841,0,1.087122749664705,1.780318653375493,-0.2756240491063844,-0.3189802536574612,-0.779363808757659
3.0,3.0,36.0,0.03806311575610385,1,0.8771397538832199,0.6002652030352175,-0.4773779335421655,-0.2314621525204589,-0.6029204062797675
2.0,5.0,28.0,0.8805369769457095,0,1.059287904703793,-0.40995234887226994,0.36302922447327035,0.5708000016980135,0.12220417239301201
2.0,3.0,20.0,0.007861584929511483,0,0.4900102020638343,-0.24979801292022305,0.13400107601191932,0.5254443824737103,0.3179308896955557
2.0,3.0,12.0,0.3572333099465297,0,0.7052566417038033,-0.5743008019035803,-0.06428203357958837,-0.4126131567318009,-0.7112809567256518
2.0,4.0,21.0,1.267905490028907,0,0.6079352767361966,0.09266104928547536,1.3225787541543432,0.2932450361110197,0.03579167671719263
1.0,2.0,37.0,0.3840612569219607,0,-0.9732540643958693,-0.9869139484510285,0.6866241231383231,-0.654169094507955,-0.24200757335454076
1.0,3.0,19.0,1.154485073003468,0,0.48549175374074544,0.888982577420218,1.6453111229227384,-0.45978929836678306,-0.6653892820189795
1.0,1.0,34.0,0.6971256429707643,0,-1.6072166570035356,-0.5181696905447699,0.3356550004973337,-0.8542449392213602,-0.1736077999509722
2.0,4.0,22.0,0.06932926903206077,0,-0.22804777188248496,1.5265378844185296,0.3099005631341799,-0.15725055190461013,-0.06067503273318385
2.0,5.0,6.0,0.3531294866450464,1,0.9686224363568132,0.6421960064303353,-1.0682565839400286,0.9258179164348009,0.5156178346709865
2.0,3.0,39.0,0.0216278225341757,0,0.279586771894281,0.2659126898589005,-0.10660018674171177,0.3930368468335243,0.27463517412142563
1.0,1.0,17.0,0.0009265566116692584,0,-1.4133102446689205,-0.14809588548107866,0.7584916902097963,-0.26283842116057304,0.33568165865643834
1.0,2.0,13.0,1.522485458389949,0,-1.224067646490014,0.43424397063185766,1.0287204648908015,-0.24342061239538484,0.27495747779545554
1.0,2.0,55.0,3.311319732374418,0,-1.1279894967475754,-0.6988255231958436,0.3999700880011021,-0.5872482705724715,-0.10955813411962023
2.0,5.0,47.0,1.600430825103686,0,0.6383025001594983,-0.7380231443413421,0.5243902342641833,1.0617451422525108,0.7914316249027826
3.0,3.0,19.0,1.111001774533817,1,-1.2290843596345626,0.8823821681349456,-0.27984168325006903,-0.20054253242025272,0.3199600761224643
2.0,4.0,32.0,0.4489246983096729,1,-0.5510101869565289,0.7236662620161392,-1.9431773521746873,-0.40415622396505235,-0.17080996307067653
1.0,2.0,8.0,0.8660720949880162,0,0.6057313469983716,-0.7678812030581814,0.45162839960623236,-0.7334573268922462,-0.9899773482539109
3.0,4.0,25.0,0.4904538149507803,0,-0.07800617714219125,-0.7816888196642436,1.1925406555435976,0.050158115656309024,0.08319280393191927
1.0,3.0,32.0,1.783225025961243,1,0.5361957122576753,-0.8202442309329505,1.5556751643444366,-0.01657551028813835,-0.24364801733925798
1.0,2.0,39.0,0.4113380885555183,0,-0.14006025495432345,-0.899946403443333,1.216486768598947,-0.6933221435703228,-0.6340082913636615
2.0,4.0,13.0,0.9082579378988657,0,0.34410347155294563,-0.6494949157029835,-0.7857730805194548,1.0855414933214216,0.9398177656147524
1.0,2.0,36.0,2.344500693791797,0,0.33263558513086755,-1.192030935134977,0.9569363847546205,0.5991507239166957,0.4582835097197566
1.0,3.0,47.0,0.9744791207903959,1,-0.26742596365150373,0.33800042201252944,-0.8895728960745232,0.48687834760780396,0.6001300626601734
2.0,,42.0,0.8952789019088786,1,0.3049284461461778,1.3878945587073774,-1.8728083652242922,-0.5748809283316827,-0.704014498695521
1.0,1.0,50.0,0.4375657345530578,0,-1.362432553026872,0.16072280843094403,0.7637119979323911,-0.21252312716819974,0.36445085533764576
1.0,2.0,5.0,0.2490369289195526,0,-1.2323809209889698,0.46792257056254666,0.5647386137099206,0.43296221736361046,0.9548608804332113
3.0,4.0,45.0,0.0001277004237352177,0,1.1186928235143132,-0.3176554364753379,-0.901382611795029,0.6434547391675133,0.1697016332616303
1.0,2.0,26.0,0.727025921506796,0,-1.4413930279355698,-0.43088202038977674,1.1150787370351805,-0.45800588816787713,0.15240691636802717
1.0,2.0,42.0,0.01726522718759697,0,-1.1275665842471276,-0.33399200311694244,0.6024045638073493,-0.5876600481236343,-0.110149010084934
1.0,3.0,4.0,0.2239028812910668,0,-1.5716008167486637,-1.4970497738463766,-0.6716486562056074,-0.9745805396484324,-0.3090262851391956
1.0,2.0,4.0,0.0001108037711122407,0,-1.3698771028313614,-0.2775739216891022,0.11698850763081281,-0.5832450411242138,-0.003118380315786151
3.0,1.0,41.0,1.338810497348719,0,-1.6101130923894664,-1.0337685340028642,0.2712615978713766,-0.4396727678302536,0.24219097737815215
2.0,5.0,47.0,0.0003857230980972854,0,0.35069247123519115,0.3085506628740583,-0.04158475537288494,-0.2628220720970591,-0.4113361628047802
3.0,3.0,11.0,0.7250238590341614,0,-1.4775161695232581,-0.12688564243317327,-0.21219110028687233,-0.21831953259352221,0.40739099278453816
2.0,4.0,21.0,0.835187034515306,1,0.7655746205409341,0.524916640690038,-1.724955814600042,0.5280645971538973,0.20385285049711294
1.0,2.0,1.0,0.6686009483088667,0,-0.9670342464567399,1.165810090160916,-0.2637697737028667,-0.6234080276505022,-0.21388052542068747
1.0,1.0,32.0,2.597283656590816,1,-1.4507782521332697,0.8212684286577334,-0.282603671690771,-0.8613568329492045,-0.24696949758604803
1.0,3.0,48.0,0.8249358205635353,0,-0.38898379112845477,0.21539351853713234,0.9894453905773681,-0.7037044774485028,-0.5389744681728217
2.0,3.0,6.0,1.554774045123902,0,0.6966790798443953,0.8880976896160043,-0.6936190102623077,0.07704976629381916,-0.21798553826734574
1.0,3.0,39.0,0.7170268433691257,0,0.4849649520741442,-0.5404054572799724,1.1929186487999641,-0.5754538527684278,-0.7808307421801832
1.0,1.0,28.0,0.2391717757363975,1,-0.1290804810702017,1.1817817635999648,0.5462975228248502,-0.8860454635309972,-0.8313814149794682
2.0,4.0,39.0,1.730860528371555,0,1.0084856256473118,-0.5388739715519992,0.14899572855708865,0.28594336042444307,-0.14113830790248233
3.0,2.0,40.0,13.440766200221459,1,-1.4609243170691246,1.387786889066003,-0.16697778526567256,-0.8847971937928852,-0.2661131205987092
1.0,,28.0,0.6349933792022086,0,-0.9425040776239514,-1.2586295056195609,-0.05063067899621067,-0.6950748633591145,-0.2959355958874541
1.0,1.0,39.0,0.0003299918912423916,0,-1.0551772821376662,-0.1967039349901536,1.4388140787773915,0.024786652797069396,0.4716416823338273
1.0,1.0,48.0,0.5498847153726232,0,-0.06523201878925448,0.7761482081121641,0.2869371917285325,-0.29079476076048044,-0.2631697766215482
3.0,3.0,26.0,0.0006199168765479234,0,0.3600253470839782,0.43750008454019257,0.6364025020501726,-0.4642939534950312,-0.6167604061268299
1.0,2.0,30.0,1.346448737700088,0,-0.38624629979438735,-0.510110527478012,0.9297774756253825,-0.5739637642804287,-0.41039305002715665
3.0,,18.0,1.917349892889358,1,0.8623589269217101,1.1683225687628025,-0.7390823036827302,-0.5095706629106294,-0.8747694122432672
4.0,3.0,6.0,1.476286173260118,0,0.5199154044757688,-0.8868661673656257,1.4917854644833732,-0.38294099144794325,-0.6031189817785994
3.0,3.0,39.0,0.4410727158354986,1,1.0809856609819535,1.6482765214308155,-1.7398712165715302,0.73077559614414,0.27299102511138235
1.0,2.0,36.0,4.071452309009937,0,0.5024087974189809,0.3701886727681766,1.5097256442400737,-0.4993266710955493,-0.7120908215474686
3.0,5.0,12.0,0.01229478367534787,1,1.0211416300419576,-0.1693188636161544,-1.502681329699964,0.06776533016419058,-0.3646760055033068
3.0,3.0,6.0,1.719278730872779,0,-0.2467246419304203,0.49685956851651103,0.8570843644259889,-0.6882198790223316,-0.583734927513605
3.0,3.0,22.0,0.006058541176272829,0,-0.14738791541286445,0.8958996900127777,0.20592207407068075,-0.28393492425215267,-0.22151789499072852
1.0,3.0,42.0,2.552328779187115,0,0.035291654074815264,0.47645961619735433,-0.1057771750137614,-0.5342924924279985,-0.5492380881975112
1.0,1.0,48.0,0.9414537091563521,0,-0.5016623585014824,-0.8563261799841807,0.6698132845034471,0.4205855442654737,0.6330335867133897
2.0,4.0,4.0,0.5058641076917797,1,0.7672426700517047,1.8208854363721507,-0.7394426080359826,0.03661938773024014,-0.2882987580558869
3.0,3.0,6.0,0.4439615606696335,0,0.4389752853881611,0.25037421291508344,1.1821615405145778,-0.6809533906141821,-0.8668542031493417
1.0,2.0,12.0,0.3996408653851701,0,-0.022958571509195575,-0.712245082013068,0.45232552783709856,-0.6478610015683341,-0.6381383195853791
1.0,3.0,21.0,0.4624709958796163,0,-0.43508781321915185,-1.117002938552658,1.0314676920297676,-0.30803619708369034,-0.12378168277757026
2.0,5.0,48.0,1.428015819819985,0,0.5797238646891107,0.31198861481009516,0.03639118404122415,0.24304861261896438,-0.0024575492972643553
1.0,1.0,39.0,0.2429338937292236,0,-0.3803495145734419,-0.8922654367737454,-0.15648416365596293,0.2052564543968013,0.3663299502407277
1.0,3.0,1.0,3.918470493733673,0,-0.49534554631324895,-0.4647206397952396,0.9300025514017833,-0.4490635212811991,-0.23929057366780485
2.0,4.0,48.0,0.2067115513456271,0,0.9325720051234301,0.15092779501266843,-1.2569262069368747,0.11840620851370028,-0.27652694437824665
2.0,3.0,29.0,0.8166083762809886,0,0.6187081835163609,0.1788151328014405,0.10791059189413654,0.2389590601871256,-0.023056497103622287
2.0,4.0,46.0,4.365400726027422,0,-0.07707029396290362,0.31841968045271607,-1.1206090492562903,0.5407736188148274,0.5734119716946677
2.0,3.0,35.0,1.096246282415298,1,0.5282081008550712,-0.16462205961026347,0.08958714358713904,0.062134557894024015,-0.1615552907264594
