state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_NAT,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_DSA,inc_PRG
12,FL,CUP_1,CUP,11.33,0.0,1.52,3.81,0.0,0.61,0.0,2.71,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.66,0.0,0.0,1.16,0.0,0.0,0.0,7.38,0.0,6.35,0.0
12,FL,POP_1,POP,8.98,8.03,1.06,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0
12,FL,STY_1,STY,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CON_1,CON,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,10.37,3.53,1.62,2.66,0.0,0.0,0.0,2.4,0.0,0.0,0.0
13,GA,LBR_1,LBR,16.41,0.0,0.0,0.0,0.0,0.0,0.0,11.14,0.0,2.53,0.0
13,GA,POP_1,POP,8.76,5.36,1.44,1.64,0.0,0.0,1.24,0.0,0.0,0.0,0.0
13,GA,STY_1,STY,14.34,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,20.74,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,24.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,0.0,1.89,7.21,0.54,1.22,5.2,1.58,0.72
15,HI,LIB_1,LIB,16.34,0.0,0.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,1.85
15,HI,POP_1,POP,9.99,3.33,1.72,0.0,0.0,0.0,1.02,0.0,3.64,0.0,0.0
16,ID,CON_1,CON,21.68,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,CUP_1,CUP,11.5,0.0,1.11,1.4,0.0,0.0,0.0,0.97,0.98,0.58,0.0
16,ID,LBR_1,LBR,10.11,0.0,0.82,1.35,0.0,0.0,0.0,0.0,5.74,0.0,0.0
16,ID,LIB_1,LIB,7.07,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,8.14,1.36
16,ID,POP_1,POP,16.22,0.87,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0
17,IL,CUP_1,CUP,10.72,0.77,0.64,4.76,0.0,0.0,0.0,0.0,1.01,0.0,0.0
17,IL,LBR_1,LBR,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,4.66,0.0
17,IL,LIB_1,LIB,11.16,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,8.36
17,IL,POP_1,POP,8.61,6.92,1.38,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0
18,IN,CON_1,CON,19.37,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,CUP_1,CUP,11.18,0.0,0.52,3.66,1.77,0.0,0.0,0.0,4.09,0.0,0.0
18,IN,LBR_1,LBR,12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0
18,IN,LIB_1,LIB,7.36,0.0,0.0,1.58,0.0,0.0,2.61,0.0,0.6,2.03,2.63
18,IN,STY_1,STY,12.34,0.0,0.0,1.8,7.07,0.0,0.0,0.0,0.0,0.58,0.0
19,IA,CON_1,CON,19.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,9.64,0.0,1.05,3.93,0.0,0.0,0.0,0.0,5.11,0.0,0.0
19,IA,LBR_1,LBR,13.42,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,6.03,0.0
19,IA,NAT_1,NAT,12.83,0.0,0.0,0.0,0.98,0.0,0.8,15.89,1.48,0.0,0.0
19,IA,STY_1,STY,10.08,0.0,0.0,0.0,9.85,2.84,0.0,0.0,0.0,1.0,0.0
20,KS,CON_1,CON,24.04,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_2,CON,0.0,8.32,7.1,0.64,0.0,0.0,3.03,0.0,0.0,0.0,0.0
20,KS,LBR_1,LBR,9.47,0.0,0.0,0.0,0.0,0.0,2.33,1.38,0.0,5.88,0.0
20,KS,LIB_1,LIB,11.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,4.19
20,KS,STY_1,STY,13.74,0.0,0.0,0.0,7.44,2.37,0.72,0.0,0.0,0.0,0.0
21,KY,CON_1,CON,22.08,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,CUP_1,CUP,10.31,0.0,1.68,3.77,0.0,0.0,0.0,9.6,0.0,0.0,0.0
21,KY,LBR_1,LBR,11.83,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,4.16,0.0
21,KY,POP_1,POP,9.77,2.5,1.73,0.0,0.0,0.0,8.37,0.0,0.0,0.0,0.0
21,KY,STY_1,STY,15.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CON_1,CON,20.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,14.53,0.0,1.2,3.39,0.0,0.0,0.0,1.59,0.0,0.0,0.0
22,LA,LBR_1,LBR,9.6,0.0,0.0,1.79,5.8,0.0,1.07,8.31,0.0,2.54,0.0
22,LA,NAT_1,NAT,13.84,0.0,0.74,0.0,3.75,0.61,0.0,0.0,0.0,0.0,0.0
22,LA,STY_1,STY,16.44,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,CON_1,CON,13.9,4.52,0.0,0.68,0.0,0.0,4.51,0.0,0.0,0.0,0.0
23,ME,LBR_1,LBR,13.14,0.0,0.0,0.0,0.0,0.0,1.17,1.36,0.0,6.58,0.0
