state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CTR_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LIB_1_pct,finalist_PRG_1_pct,finalist_REF_2_pct,finalist_SD_2_pct,finalist_REF_1_pct,finalist_SD_1_pct,finalist_CON_2_pct,finalist_DSA_2_pct,finalist_LIB_2_pct,finalist_CTR_2_pct,finalist_NAT_2_pct,finalist_SD_3_pct,finalist_PRG_2_pct,finalist_STY_2_pct,finalist_STY_3_pct,finalist_CON_3_pct
1,AL,CTR_1,CTR_1,CTR,pure,6,,726.21,21,5,21.8063,23.5002,19.0719,18.4984,17.1232,,,,,,,,,,,,,,,,
2,AK,SD_2,SD_2,SD,pure,1,,130.64,21,5,23.9207,,,,,13.5819,12.2534,22.4707,27.7733,,,,,,,,,,,,
4,AZ,CTR_1,CTR_1,CTR,pure,6,,1160.11,21,5,,18.4761,,22.2362,,,18.5261,,,21.5854,19.1761,,,,,,,,,,
5,AR,CTR_1,CTR_1,CTR,pure,6,,412.18,21,5,,22.1404,,20.9218,,,,,,,,23.832,13.7662,19.3396,,,,,,,
6,CA,SD_1,SD_1,SD,pure,1,,3966.17,21,5,,21.1549,,,13.4998,25.0153,,,,21.9419,18.388,,,,,,,,,,
8,CO,SD_1,SD_1,SD,pure,1,,827.29,21,5,20.344,,,,,16.1741,18.4796,,,27.2089,17.7935,,,,,,,,,,
9,CT,CTR_2,CTR_2,CTR,pure,6,,484.15,21,5,25.3111,,,,,21.8798,18.9615,,,17.5076,,,,,16.3399,,,,,,
10,DE,CTR_1,CTR_1,CTR,pure,6,,216.95,21,5,,23.6552,,,,16.6538,,,16.2957,,,31.6181,,,11.7772,,,,,,
11,DC,LIB_1,LIB_1,LIB,pure,4,,117.36,21,5,,28.9656,11.9231,,,17.891,29.9927,,,,,,,11.2276,,,,,,,
12,FL,CTR_1,CTR_1,CTR,pure,6,,3184.13,21,5,,22.5488,,14.631,23.1072,21.8305,,,,,,17.8825,,,,,,,,,
13,GA,CTR_1,CTR_1,CTR,pure,6,,1472.39,21,5,16.0317,23.6136,,14.867,22.9523,22.5354,,,,,,,,,,,,,,,
15,HI,SD_1,SD_1,SD,pure,1,,203.15,21,5,19.2154,,,,,19.958,,,,16.6714,29.5866,,,,14.5686,,,,,,
16,ID,CTR_1,CTR_1,CTR,pure,6,,325.33,21,5,,23.0905,18.0087,28.618,,,,,12.9667,17.3162,,,,,,,,,,,
17,IL,CTR_1,CTR_1,CTR,pure,6,,1460.33,21,5,17.6383,20.5181,,,,24.7944,,,,17.7915,19.2577,,,,,,,,,,
18,IN,CTR_1,CTR_1,CTR,pure,6,,994.99,21,5,20.129,19.2853,,,,16.4544,,,,,23.0195,,,,,21.1118,,,,,
