state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CTR_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LIB_1_pct,finalist_PRG_1_pct,finalist_REF_2_pct,finalist_SD_2_pct,finalist_REF_1_pct,finalist_SD_1_pct,finalist_CON_2_pct,finalist_DSA_2_pct,finalist_LIB_2_pct,finalist_CTR_2_pct,finalist_NAT_2_pct,finalist_SD_3_pct,finalist_PRG_2_pct,finalist_STY_2_pct,finalist_STY_3_pct,finalist_CON_3_pct
19,IA,CTR_1,CTR_1,CTR,pure,6,,446.79,21,5,22.2905,17.1238,16.279,,,,,,,25.0504,19.2563,,,,,,,,,,
20,KS,CTR_1,CTR_1,CTR,pure,6,,372.7,21,5,,15.4275,,,,16.966,20.2612,,,23.6266,,23.7187,,,,,,,,,
21,KY,CTR_1,CTR_1,CTR,pure,6,,717.93,21,5,19.9581,19.9969,,,,,,,,14.7943,29.4183,,,,,15.8323,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,508.41,21,5,17.9264,25.3554,,20.3149,16.1314,,,,20.2718,,,,,,,,,,,,
23,ME,SD_3,SD_3,SD,pure,1,,243.16,21,5,,21.4854,,13.6991,,28.1745,,,,18.3276,,,,,,,18.3135,,,,
24,MD,SD_2,SD_2,SD,pure,1,,782.14,21,5,,20.4876,,,,16.3819,18.1201,,18.7001,26.3103,,,,,,,,,,,
25,MA,SD_1,SD_1,SD,pure,1,,790.97,21,5,,15.2852,,,,14.35,21.212,,,,19.4697,29.6831,,,,,,,,,
26,MI,CTR_1,CTR_1,CTR,pure,6,,1329.58,21,5,18.413,19.3067,,,,16.2454,19.4768,,,26.5582,,,,,,,,,,,
27,MN,CTR_1,CTR_1,CTR,pure,6,,714.01,21,5,,19.0897,,,,23.8742,,,,22.4084,,14.2642,,,,,,20.3635,,,
28,MS,CTR_1,CTR_1,CTR,pure,6,,444.25,21,5,20.6115,21.6541,,,,,,17.7268,,,20.5291,,,,,,,,19.4786,,
29,MO,CTR_1,CTR_1,CTR,pure,6,,950.73,21,5,,17.3958,,20.453,,24.5002,,,,,,17.5808,,,,,,,,20.0702,
30,MT,CTR_1,CTR_1,CTR,pure,6,,257.38,21,5,,9.5524,,28.5893,,25.0441,,,22.3356,,,,,,,,,,,,14.4786
31,NE,CTR_1,CTR_1,CTR,pure,6,,295.91,21,5,22.1404,17.9751,20.5718,,,,,,,,19.7917,,,,,19.5211,,,,,
32,NV,STY_1,STY_1,STY,pure,2,,707.53,21,5,21.3469,19.9168,,15.1829,22.8231,,20.7303,,,,,,,,,,,,,,
33,NH,SD_1,SD_1,SD,pure,1,,264.7,21,5,25.6668,21.6428,,,,19.0883,15.3979,,,,18.2041,,,,,,,,,,
34,NJ,CTR_1,CTR_1,CTR,pure,6,,1162.21,21,5,16.6212,15.4788,,,,24.5116,,,22.4269,20.9615,,,,,,,,,,,
35,NM,STY_2,STY_2,STY,pure,2,,415.1,21,5,25.3325,,,,,17.0658,16.4674,,,,,,,,21.8166,,,,19.3177,,
36,NY,SD_1,SD_1,SD,pure,1,,2314.44,21,5,,19.777,,,,23.8176,,,,19.7804,23.4054,13.2196,,,,,,,,,
37,NC,CTR_1,CTR_1,CTR,pure,6,,1455.35,21,5,18.5072,16.9252,,21.3674,,21.1159,,,,,22.0843,,,,,,,,,,
38,ND,CTR_1,CTR_1,CTR,pure,6,,112.02,21,5,,29.0984,,22.5208,,12.9198,,,16.6083,18.8527,,,,,,,,,,,
39,OH,CTR_1,CTR_1,CTR,pure,6,,1727.15,21,5,20.61,21.2631,,19.3195,,16.9343,,,,,21.8731,,,,,,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,606.2,21,5,17.9476,21.4275,,19.2867,,26.4559,,,,14.8824,,,,,,,,,,,
41,OR,SD_1,SD_1,SD,pure,1,,861.73,21,5,21.1786,,,19.2331,,18.146,21.5232,,,,19.9192,,,,,,,,,,
42,PA,CTR_1,CTR_1,CTR,pure,6,,2189.53,21,5,18.8243,16.6736,,16.2282,16.2785,31.9954,,,,,,,,,,,,,,,
44,RI,SD_1,SD_1,SD,pure,1,,163.32,21,5,,,,,,,14.7366,,,14.3834,26.9172,22.2365,,21.7263,,,,,,,
45,SC,CTR_1,CTR_1,CTR,pure,6,,730.29,21,5,,16.0787,,18.2156,21.3828,24.2285,,,,,,20.0943,,,,,,,,,
46,SD,CTR_2,CTR_2,CTR,pure,6,,141.48,21,5,22.9669,,,,,22.9277,,,,,,,,,16.1452,,,,21.2263,,16.7339
47,TN,CON_1,CON_1,CON,pure,0,,1143.42,21,5,14.6973,24.1987,,22.3178,25.5491,,,,,,,,,,,,,,,,13.2371
48,TX,CTR_1,CTR_1,CTR,pure,6,,3555.07,21,5,17.8121,20.0875,,15.5381,26.322,20.2403,,,,,,,,,,,,,,,
49,UT,STY_1,STY_1,STY,pure,2,,462.14,21,5,,26.6749,,12.7171,23.1264,,24.1257,,,13.3559,,,,,,,,,,,
50,VT,SD_1,SD_1,SD,pure,1,,107.67,21,5,23.0326,20.2807,,,,,19.1821,,,,11.9839,,,,,,,25.5207,,,
51,VA,CTR_1,CTR_1,CTR,pure,6,,1326.72,21,5,21.1319,18.9549,,17.8106,,19.7788,22.3238,,,,,,,,,,,,,,
53,WA,SD_1,SD_1,SD,pure,1,,1221.78,21,5,,20.0508,,,,16.1059,24.4856,,,24.5281,14.8297,,,,,,,,,,
54,WV,CTR_1,CTR_1,CTR,pure,6,,360.26,21,5,21.3295,23.0515,,19.1512,17.6185,18.8493,,,,,,,,,,,,,,,
55,WI,CTR_1,CTR_1,CTR,pure,6,,969.41,21,5,17.3847,17.2839,,,,19.1155,,,,24.8478,21.3681,,,,,,,,,,
56,WY,CON_2,CON_2,CON,pure,0,,98.3,21,5,,16.6696,,14.7492,,,,,,25.0713,,20.5586,,22.9513,,,,,,,
