state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_LIB,inc_LBR,inc_OAO,inc_CON,inc_POP,inc_CUP,inc_NAT,inc_DSA,inc_PRG
1,AL,CON_1,CON,24.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,9.13,0.53,0.52,1.89,5.97,2.18,0.0,0.0,0.0,0.0
1,AL,DSA_1,DSA,13.36,1.58,0.0,0.0,0.0,0.52,1.03,16.08,0.0,0.0
1,AL,LBR_1,LBR,15.58,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,POP_1,POP,14.9,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,13.46,0.0,0.0,0.0,0.0,0.0,1.06,7.35,0.0,0.0
2,AK,CUP_1,CUP,19.47,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,33.08,10.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_2,LBR,0.0,0.0,15.64,0.0,0.0,0.0,0.0,0.0,4.2,0.0
2,AK,POP_1,POP,8.87,0.0,2.0,0.0,4.45,0.0,0.72,2.0,0.0,0.0
4,AZ,CON_1,CON,19.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,14.52,0.0,0.0,1.62,0.0,0.64,0.0,0.0,9.25,0.0
4,AZ,LIB_1,LIB,7.87,0.0,0.0,0.89,0.0,0.0,7.35,0.0,2.39,4.09
4,AZ,NAT_1,NAT,15.47,0.75,0.0,0.0,0.0,0.75,1.2,0.0,0.0,0.0
4,AZ,POP_1,POP,16.51,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0
5,AR,CON_1,CON,21.55,0.0,0.0,0.0,0.0,0.0,0.0,9.24,0.0,0.0
5,AR,CUP_1,CUP,10.34,0.0,0.73,6.54,1.15,0.0,0.0,0.0,0.0,0.0
5,AR,LBR_1,LBR,21.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LIB_1,LIB,4.38,0.0,0.86,1.34,0.0,0.0,1.6,0.0,8.81,3.32
5,AR,POP_1,POP,15.66,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,CON_1,CON,12.94,0.0,0.0,1.57,0.0,4.02,3.77,2.67,0.0,0.0
6,CA,LBR_1,LBR,25.08,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0
6,CA,LBR_2,LBR,0.0,3.36,8.39,1.48,0.0,0.0,0.0,0.0,3.78,0.0
6,CA,LIB_1,LIB,12.17,0.0,0.0,1.38,0.0,0.0,0.77,0.0,0.0,6.81
6,CA,POP_1,POP,15.06,0.0,0.0,0.0,0.0,0.0,2.02,6.23,0.0,0.0
8,CO,CON_1,CON,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,CUP_1,CUP,4.73,0.99,0.0,4.19,0.71,0.9,0.0,9.89,1.04,0.0
8,CO,LBR_1,LBR,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LIB_1,LIB,11.76,0.0,0.58,1.36,0.0,0.0,0.0,0.0,4.71,8.82
8,CO,POP_1,POP,15.25,0.0,0.6,0.0,3.5,0.0,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,6.97,1.19,0.0,4.21,0.0,0.0,0.0,9.08,0.0,0.0
9,CT,LBR_1,LBR,18.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
9,CT,LIB_1,LIB,14.57,0.0,0.0,2.48,0.0,0.0,0.0,0.0,1.06,8.8
9,CT,POP_1,POP,13.32,0.0,1.23,0.0,1.0,0.0,0.0,0.0,2.2,0.0
10,DE,CON_1,CON,24.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,0.0,0.0,0.0,6.89,7.98,1.2,4.05,0.0,0.0
10,DE,LBR_1,LBR,25.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LBR_2,LBR,0.0,0.0,8.23,0.0,2.05,3.59,2.71,0.0,2.81,0.0
10,DE,OAO_1,OAO,13.52,15.65,1.1,0.0,0.94,0.0,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,22.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,26.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,8.59,1.9,1.33,1.74,0.0,2.04,0.0,3.45,0.0
11,DC,POP_1,POP,14.1,0.0,0.97,0.0,11.47,0.0,1.92,0.0,0.52,0.0
11,DC,PRG_1,PRG,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96,0.0
12,FL,CON_1,CON,21.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,12.63,0.0,1.44,4.89,1.77,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,21.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81,0.0
12,FL,LIB_1,LIB,6.58,0.0,0.96,2.11,0.0,0.0,3.12,8.91,1.24,1.18
12,FL,POP_1,POP,15.21,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0
13,GA,CON_1,CON,21.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,13.29,2.4,0.0,2.16,2.17,0.0,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,22.18,11.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,LBR_2,LBR,0.0,0.0,5.44,1.11,1.12,7.35,0.0,0.0,3.96,0.0
13,GA,POP_1,POP,12.74,0.0,0.0,0.0,1.92,0.0,0.0,9.0,0.0,0.0
15,HI,CON_1,CON,20.74,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,27.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,1.22,10.03,0.0,0.0,0.0,3.38,0.0,1.58,0.72
15,HI,LIB_1,LIB,16.34,0.0,0.0,5.95,0.0,0.0,0.0,0.0,0.0,1.85
15,HI,POP_1,POP,12.34,0.0,0.0,0.0,1.96,0.0,0.0,3.33,0.0,0.0
16,ID,CON_1,CON,21.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,CUP_1,CUP,11.5,0.0,2.02,1.4,2.35,0.69,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,13.74,0.0,0.0,1.35,1.21,0.0,0.0,0.0,6.14,0.0
16,ID,NAT_1,NAT,13.37,15.88,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,18.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.56,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,11.73,5.19,0.0,4.1,0.73,2.33,0.0,0.78,0.0,0.0
17,IL,LBR_1,LBR,17.25,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,LIB_1,LIB,11.16,0.0,0.0,1.86,0.0,0.92,0.0,0.0,1.5,8.41
17,IL,POP_1,POP,10.15,0.0,0.0,0.0,2.28,0.0,0.0,6.95,3.82,0.0
18,IN,CON_1,CON,19.7,0.0,0.0,0.0,0.0,0.0,0.0,11.77,0.0,0.0
18,IN,CUP_1,CUP,12.06,2.71,0.0,3.68,0.58,0.0,0.0,0.0,0.54,0.0
18,IN,LBR_1,LBR,18.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,LIB_1,LIB,7.36,0.0,0.0,2.01,0.0,0.0,0.0,0.0,7.02,2.68
18,IN,POP_1,POP,13.07,0.0,0.53,1.6,1.69,0.0,0.0,0.91,0.0,0.0
19,IA,CON_1,CON,20.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,9.72,7.23,0.0,3.94,1.47,0.0,0.0,0.0,0.0,0.0
19,IA,LBR_1,LBR,16.09,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,NAT_1,NAT,12.83,0.0,0.0,0.0,0.63,2.65,0.0,0.0,15.98,0.0
19,IA,POP_1,POP,14.13,0.0,0.0,0.0,1.23,0.0,4.86,0.0,0.0,0.0
20,KS,CON_1,CON,24.72,0.0,0.0,0.0,0.0,0.0,0.0,8.32,0.0,0.0
20,KS,CUP_1,CUP,9.97,3.33,0.0,1.23,3.39,2.27,0.0,0.0,0.0,0.0
20,KS,LBR_1,LBR,16.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01,0.0
20,KS,LIB_1,LIB,11.51,0.0,2.56,0.0,0.0,0.0,0.0,0.0,1.68,4.19
20,KS,POP_1,POP,12.79,0.0,2.7,0.0,4.97,0.0,0.0,1.54,0.0,0.0
21,KY,CON_1,CON,22.57,0.0,0.0,0.0,0.0,0.0,0.0,8.89,0.0,0.0
21,KY,CUP_1,CUP,10.7,0.0,0.79,3.67,4.77,0.0,0.0,0.0,0.0,0.0
21,KY,LBR_1,LBR,19.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,LIB_1,LIB,5.78,0.0,0.51,0.78,0.0,0.0,2.2,0.0,5.76,1.8
21,KY,POP_1,POP,17.11,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
22,LA,CON_1,CON,21.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,15.97,1.59,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,LBR_1,LBR,11.99,8.31,0.0,1.05,0.0,1.0,1.38,0.0,2.75,0.0
22,LA,NAT_1,NAT,13.84,0.0,0.0,0.0,4.86,0.0,0.0,0.0,0.0,0.0
22,LA,POP_1,POP,18.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,CON_1,CON,14.25,0.0,0.0,0.68,0.0,1.33,0.0,6.93,0.0,0.0
23,ME,CUP_1,CUP,6.2,2.32,0.0,1.11,6.24,0.0,0.0,0.0,5.62,0.0
23,ME,LBR_1,LBR,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14
23,ME,LIB_1,LIB,15.98,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,6.89
23,ME,POP_1,POP,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MD,CON_1,CON,13.72,0.0,0.0,0.0,0.0,1.15,5.15,4.26,0.0,0.0
24,MD,LBR_1,LBR,23.36,0.0,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0
24,MD,LBR_2,LBR,0.0,3.96,6.57,3.25,0.73,0.81,0.0,0.0,4.14,0.79
24,MD,LIB_1,LIB,9.41,0.0,0.0,2.32,0.0,0.0,0.98,0.0,0.0,9.39
24,MD,POP_1,POP,16.26,0.0,0.0,0.0,0.0,0.0,1.54,2.62,0.0,0.0
25,MA,CON_1,CON,18.54,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LBR_1,LBR,22.75,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LIB_1,LIB,12.97,0.0,2.88,3.21,0.0,0.54,0.0,0.0,8.27,0.0
25,MA,POP_1,POP,9.59,0.0,2.22,0.0,0.97,0.0,1.89,7.93,0.0,0.0
25,MA,PRG_1,PRG,9.72,6.77,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0
26,MI,CON_1,CON,21.72,0.0,0.0,0.0,0.0,0.0,0.0,10.33,0.0,0.0
26,MI,CUP_1,CUP,7.79,6.61,0.0,1.97,2.06,0.0,0.0,0.0,0.0,0.0
26,MI,LBR_1,LBR,16.15,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0
26,MI,LIB_1,LIB,9.8,0.0,0.0,1.5,0.0,0.0,0.0,0.0,8.55,3.44
26,MI,POP_1,POP,13.99,0.0,0.0,0.0,3.13,0.0,0.0,2.97,0.0,0.0
27,MN,CON_1,CON,15.94,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0
27,MN,LBR_1,LBR,14.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,1.17
27,MN,LIB_1,LIB,14.13,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.6,10.98
27,MN,OAO_1,OAO,8.96,0.0,0.0,0.0,0.0,2.13,0.0,10.42,0.0,0.0
27,MN,POP_1,POP,14.62,0.0,0.0,0.0,1.58,0.0,3.7,0.0,0.0,0.0
28,MS,CON_1,CON,18.26,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,CUP_1,CUP,9.49,0.0,0.0,5.97,0.0,1.21,0.0,8.67,0.0,0.0
28,MS,LBR_1,LBR,25.53,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,LBR_2,LBR,0.0,3.11,8.64,0.0,0.0,2.06,1.6,0.95,3.01,0.0
