state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_LBR_1_pct,finalist_POP_1_pct,finalist_LBR_2_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_CON_2_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,726.21,16,5,38.7525,11.2699,14.9438,18.6782,16.3556,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,130.64,17,5,20.8103,20.2754,,48.0424,10.8719,0.0,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,1160.11,20,5,23.0254,,,27.8047,18.0707,,15.6303,15.4688,,,,
5,AR,CON_1,CON_1,CON,pure,0,,412.18,20,5,32.5926,12.9037,,29.2721,16.0943,,9.1373,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,3966.17,19,5,20.9576,,,34.3378,23.319,0.0,21.3856,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,827.29,19,5,26.7809,7.3528,,24.7824,19.4049,,21.679,,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,484.15,20,5,24.0715,9.0901,,23.153,18.6315,,25.054,,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,216.95,18,5,37.2464,,,48.8421,,0.0,,,0.0,13.9115,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,117.36,17,5,,,,35.3827,25.2685,,27.5754,,,,0.0,11.7734
12,FL,LBR_1,LBR_1,LBR,pure,1,,3184.13,20,5,29.1883,16.0765,,29.04,15.5941,,10.1011,,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1472.39,17,5,29.9614,17.859,,38.4459,13.7337,0.0,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,203.15,18,5,28.3863,,,32.4297,14.6805,0.0,24.5035,,,,,
16,ID,CON_1,CON_1,CON,pure,0,,325.33,18,5,22.4241,13.813,,32.0342,18.356,,,13.3727,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1460.33,20,5,26.076,15.832,,24.6698,13.4657,,19.9565,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,994.99,19,5,33.0363,14.9327,,24.5659,14.0578,,13.4073,,,,,
19,IA,LBR_1,LBR_1,LBR,pure,1,,446.79,20,5,21.8359,15.731,,35.4739,14.1302,,,12.829,,,,
20,KS,LBR_1,LBR_1,LBR,pure,1,,372.7,17,5,33.6753,11.1959,,22.9346,14.3281,,17.8661,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,717.93,19,5,32.0571,14.5064,,24.2644,19.6097,,9.5625,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,508.41,16,5,22.6263,20.2889,,24.2757,18.9641,,,13.845,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,243.16,22,5,19.4496,7.3046,,25.1669,20.8886,,27.1904,,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,782.14,19,5,24.2042,,,33.096,20.417,0.0,22.2828,,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,790.97,21,5,27.4533,,,31.877,13.1671,,16.9225,,,,,10.5802
26,MI,CON_1,CON_1,CON,pure,0,,1329.58,18,5,32.752,9.7625,,23.6836,16.9634,,16.8385,,,,,
27,MN,CON_1,CON_1,CON,pure,0,,714.01,21,5,22.6832,,,20.8566,21.6658,,25.7261,,,9.0683,,
28,MS,LBR_1,LBR_1,LBR,pure,1,,444.25,16,5,27.942,15.8895,,35.1436,21.0249,0.0,,,,,,
29,MO,LBR_1,LBR_1,LBR,pure,1,,950.73,18,5,33.3572,10.6209,,28.2525,16.547,,11.2224,,,,,
30,MT,LBR_1,LBR_1,LBR,pure,1,,257.38,19,5,21.1793,,,27.0605,14.1359,,17.479,20.1453,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,295.91,19,5,24.6819,15.2797,,29.6411,18.6724,,11.7249,,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,707.53,18,5,29.794,,,30.3668,21.9298,0.0,17.9094,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,264.7,20,5,18.2509,,19.6154,35.0652,13.679,,,,,13.3894,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,1162.21,20,5,23.5327,12.4018,,24.7798,16.771,,22.5148,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,415.1,18,5,19.6338,18.8179,,46.6875,14.8609,0.0,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,2314.44,20,5,22.0622,11.5169,,30.0888,16.8773,,19.4549,,,,,
37,NC,CON_1,CON_1,CON,pure,0,,1455.35,20,5,32.338,11.3322,,24.1191,16.9684,,15.2423,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,112.02,20,5,27.5613,17.4352,,24.0248,16.5609,,14.4178,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1727.15,19,5,33.2172,14.035,,23.4162,16.4247,,12.9069,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,606.2,20,5,23.8675,17.187,,29.7909,13.9446,,,15.21,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,861.73,21,5,23.3528,,,27.339,18.4542,,15.9934,,,,,14.8606
42,PA,LBR_1,LBR_1,LBR,pure,1,,2189.53,20,5,28.682,9.8816,,25.7107,14.3483,,21.3774,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,163.32,21,5,22.0465,9.0981,,25.9258,17.3724,,25.5571,,,,,
45,SC,LBR_1,LBR_1,LBR,pure,1,,730.29,18,5,32.9033,12.5202,10.5654,29.3544,14.6566,,,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,141.48,19,5,29.9639,17.6115,,17.8938,22.4446,,12.0862,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,1143.42,17,5,46.7492,14.6672,,25.2667,13.317,,,,0.0,,,
48,TX,LBR_1,LBR_1,LBR,pure,1,,3555.07,19,5,30.3994,15.8872,,30.1644,14.2872,,9.2619,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,462.14,19,5,23.3224,12.0361,,45.2326,19.4088,0.0,,,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,107.67,21,5,28.285,,,24.3696,7.5166,,13.9987,,,,,25.83
51,VA,LBR_1,LBR_1,LBR,pure,1,,1326.72,19,5,29.8377,9.8279,,27.9282,14.8682,,17.538,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,1221.78,20,5,19.2925,11.7644,,28.61,16.1737,,24.1594,,,,,
54,WV,CON_1,CON_1,CON,pure,0,,360.26,18,5,33.0681,16.6044,,33.2191,17.1084,0.0,,,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,969.41,20,5,30.8063,10.2888,,22.3041,19.1808,,17.4201,,,,,
56,WY,LBR_1,LBR_1,LBR,pure,1,,98.3,19,5,37.1099,13.1232,,26.3869,23.38,,,,0.0,,,
