state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CON_2,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,none,CON_1,661,1,50.09,0.0,15.14,8.71,26.07
2,AK,LBR_1,STY_1,STY_1,105,4,35.8,0.0,23.63,15.01,25.57
4,AZ,CON_1,STY_1,STY_1,1159,3,44.61,0.0,20.53,18.21,16.66
5,AR,CON_1,STY_1,STY_1,390,4,42.02,0.0,23.76,11.25,22.97
6,CA,LBR_1,LIB_1,LBR_1,3626,4,30.92,0.0,23.4,24.97,20.71
8,CO,LBR_1,LIB_1,STY_1,785,4,37.98,0.0,21.16,25.8,15.06
9,CT,LBR_1,LIB_1,LBR_1,465,4,34.49,0.0,20.0,29.9,15.61
10,DE,LBR_1,LIB_1,LBR_1,164,4,35.37,0.0,31.35,24.26,9.02
11,DC,LBR_1,STY_1,LBR_1,122,4,11.74,0.0,28.11,43.93,16.22
12,FL,LBR_1,STY_1,STY_1,3350,4,41.5,0.0,21.55,13.24,23.71
13,GA,LBR_1,STY_1,STY_1,1489,4,40.94,0.0,21.12,16.93,21.01
15,HI,LBR_1,LIB_1,LBR_1,153,4,32.39,0.0,26.02,27.53,14.06
16,ID,CON_1,STY_1,STY_1,244,4,45.24,0.0,17.55,13.98,23.22
17,IL,LBR_1,LIB_1,LBR_1,1758,4,34.59,0.0,25.71,24.33,15.37
18,IN,CON_1,STY_1,STY_1,978,4,45.2,0.0,18.56,17.41,18.82
19,IA,CON_1,STY_1,STY_1,490,4,43.6,0.0,22.73,14.75,18.92
20,KS,STY_1,LIB_1,STY_1,385,4,43.51,0.0,17.42,21.58,17.5
21,KY,CON_1,LIB_1,CON_1,674,3,49.99,0.0,18.17,12.01,19.83
22,LA,CON_1,STY_1,STY_1,493,4,46.85,0.0,19.25,12.48,21.42
23,ME,LIB_1,LBR_1,LBR_1,236,4,31.88,0.0,20.84,31.2,16.07
24,MD,LBR_1,LIB_1,LBR_1,791,4,31.48,0.0,26.46,25.3,16.76
25,MA,LBR_1,LIB_1,LBR_1,906,4,31.17,0.0,25.23,30.07,13.53
26,MI,CON_1,STY_1,STY_1,1531,3,42.83,0.0,20.88,19.99,16.3
27,MN,CON_1,LBR_1,LBR_1,811,4,34.31,0.0,17.37,33.11,15.21
28,MS,STY_1,LBR_1,STY_1,349,4,40.38,0.0,20.46,8.95,30.21
29,MO,CON_1,STY_1,STY_1,1047,4,42.66,0.0,22.68,14.02,20.63
30,MT,LBR_1,LIB_1,CON_1,185,4,47.34,0.0,18.31,20.3,14.06
31,NE,LBR_1,STY_1,STY_1,286,4,40.82,0.0,23.8,13.83,21.56
32,NV,LBR_1,LIB_1,STY_1,573,4,39.87,0.0,21.28,20.89,17.96
33,NH,LBR_1,LIB_1,LBR_1,252,4,33.41,0.0,31.97,23.3,11.31
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,37.57,0.0,22.87,26.76,12.81
35,NM,LBR_1,LIB_1,LBR_1,309,4,36.35,0.0,32.38,18.65,12.63
36,NY,LBR_1,LIB_1,LBR_1,2585,4,31.66,0.0,26.33,23.88,18.14
37,NC,STY_1,LIB_1,STY_1,1444,4,42.83,0.0,17.89,19.06,20.22
38,ND,CON_1,STY_1,STY_1,90,4,39.59,0.0,23.14,16.95,20.33
39,OH,CON_1,STY_1,STY_1,1978,4,44.24,0.0,19.81,16.22,19.73
40,OK,CON_1,LIB_1,CON_1,537,4,48.94,0.0,11.43,12.84,26.79
41,OR,LIB_1,LBR_1,LBR_1,810,4,34.67,0.0,22.68,33.13,9.52
42,PA,LBR_1,LIB_1,LBR_1,2418,4,41.05,0.0,20.34,25.75,12.86
44,RI,LBR_1,LIB_1,LBR_1,176,4,29.33,0.0,24.29,30.42,15.95
45,SC,CON_1,STY_1,STY_1,736,4,43.21,0.0,22.35,13.18,21.26
46,SD,CON_1,STY_1,STY_1,137,4,43.15,0.0,17.55,14.15,25.16
47,TN,CON_1,none,CON_1,1065,1,58.3,0.0,13.74,9.18,18.78
48,TX,LBR_1,STY_1,STY_1,3392,4,41.94,0.0,21.31,12.12,24.63
49,UT,LBR_1,STY_1,STY_1,387,4,34.68,0.0,26.67,11.86,26.79
50,VT,LIB_1,LBR_1,LBR_1,105,4,28.8,0.0,18.12,45.1,7.98
51,VA,LBR_1,LIB_1,STY_1,1234,4,39.6,0.0,23.8,21.27,15.33
53,WA,LBR_1,LIB_1,LBR_1,1112,4,31.4,0.0,26.76,28.97,12.87
54,WV,STY_1,LBR_1,STY_1,335,4,45.12,0.0,16.7,8.59,29.58
55,WI,LBR_1,LIB_1,STY_1,1088,4,41.39,0.0,23.06,20.97,14.58
56,WY,CON_1,STY_1,STY_1,70,4,41.17,0.0,17.64,17.44,23.75
