round,candidate_code,candidate_name,vote_total,vote_pct,eliminated,winner
1,CO,LIB,8579.2971,18.8014,False,False
1,DH,REF,9024.0067,19.776,False,False
1,LK,CTR,7258.5874,15.9071,True,False
1,MW,SD,11342.4206,24.8568,False,True
1,RH,CON,9426.8304,20.6588,False,False
2,CO,LIB,9886.5801,21.6663,False,False
2,DH,REF,9303.1866,20.3878,True,False
2,MW,SD,12988.0917,28.4632,False,True
2,RH,CON,13453.2839,29.4827,False,False
3,CO,LIB,9953.4085,21.8128,True,False
3,MW,SD,13924.2685,30.5148,False,True
3,RH,CON,21753.4652,47.6724,False,False
4,MW,SD,23553.9509,51.6181,False,True
4,RH,CON,22077.1914,48.3819,False,False
