state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,CUP_1,CON_1,661,3,46.85,11.61,13.67,8.71,19.15
2,AK,LBR_1,CUP_1,STY_1,105,4,27.23,17.63,22.6,15.51,17.03
4,AZ,CON_1,STY_1,STY_1,1159,3,43.3,6.21,17.47,18.88,14.15
5,AR,CON_1,STY_1,STY_1,390,4,36.94,12.71,22.89,11.72,15.74
6,CA,LBR_1,LIB_1,LBR_1,3626,4,28.37,8.35,21.38,26.38,15.52
8,CO,LBR_1,LIB_1,LBR_1,785,4,35.7,6.29,18.82,26.7,12.49
9,CT,CON_1,LBR_1,LBR_1,465,4,33.29,9.93,16.73,30.55,9.5
10,DE,LBR_1,LIB_1,LBR_1,164,4,33.36,10.67,25.13,23.63,7.21
11,DC,LBR_1,STY_1,LBR_1,122,4,9.69,8.07,26.99,46.14,9.11
12,FL,CON_1,CUP_1,STY_1,3350,4,34.67,16.17,19.35,13.13,16.68
13,GA,LBR_1,STY_1,STY_1,1489,4,36.3,11.84,19.58,17.49,14.79
15,HI,LBR_1,LIB_1,LBR_1,153,4,27.98,10.68,24.78,25.69,10.87
16,ID,CON_1,CUP_1,STY_1,244,4,42.3,15.61,16.54,14.61,10.94
17,IL,LBR_1,LIB_1,LBR_1,1758,4,32.37,13.58,19.02,24.56,10.46
18,IN,CON_1,CUP_1,CON_1,978,4,38.98,14.11,17.29,16.96,12.65
19,IA,CON_1,STY_1,STY_1,490,4,39.55,12.38,19.06,14.48,14.53
20,KS,CON_1,STY_1,STY_1,385,3,41.48,6.43,15.08,22.53,14.48
21,KY,CON_1,CUP_1,CON_1,674,4,41.59,14.16,16.5,12.38,15.37
22,LA,CON_1,CUP_1,CON_1,493,4,43.52,16.23,13.1,13.09,14.06
23,ME,LIB_1,LBR_1,LBR_1,236,4,27.85,6.51,19.41,32.87,13.36
24,MD,LBR_1,LIB_1,LBR_1,791,4,27.2,8.11,24.77,26.97,12.96
25,MA,LBR_1,LIB_1,LBR_1,906,4,29.38,7.78,23.35,30.4,9.09
26,MI,CON_1,STY_1,STY_1,1531,3,40.62,8.18,18.95,20.73,11.52
27,MN,LIB_1,LBR_1,LBR_1,811,4,30.34,8.12,15.04,33.94,12.57
28,MS,STY_1,LBR_1,STY_1,349,4,36.42,14.86,17.96,6.16,24.6
29,MO,CON_1,STY_1,STY_1,1047,4,40.13,10.15,20.99,14.51,14.23
30,MT,CON_1,CUP_1,CON_1,185,3,44.73,9.42,15.31,21.42,9.14
31,NE,LBR_1,CUP_1,STY_1,286,4,34.71,17.46,21.2,14.82,11.82
32,NV,LBR_1,LIB_1,STY_1,573,4,37.43,6.47,20.04,21.33,14.73
33,NH,LBR_1,LIB_1,LBR_1,252,4,30.17,11.82,26.44,24.58,6.99
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,33.69,8.82,19.84,27.66,9.99
35,NM,LBR_1,LIB_1,LBR_1,309,4,28.61,14.98,26.32,19.59,10.49
36,NY,LBR_1,LIB_1,LBR_1,2585,4,28.93,9.93,23.33,24.46,13.36
37,NC,STY_1,LIB_1,STY_1,1444,4,39.7,10.07,16.62,19.28,14.34
38,ND,CON_1,CUP_1,STY_1,90,4,36.67,16.41,18.98,18.13,9.8
39,OH,CON_1,CUP_1,STY_1,1978,3,41.19,13.31,16.5,16.3,12.69
40,OK,CON_1,CUP_1,CON_1,537,3,43.71,14.2,10.38,13.62,18.09
41,OR,LIB_1,LBR_1,LBR_1,810,4,31.91,4.84,20.63,34.45,8.18
42,PA,CON_1,LBR_1,LBR_1,2418,4,36.74,8.73,18.35,26.27,9.91
44,RI,LBR_1,LIB_1,LBR_1,176,4,26.26,8.14,21.54,31.31,12.75
45,SC,CON_1,STY_1,STY_1,736,4,40.38,10.68,19.81,12.48,16.65
46,SD,CON_1,CUP_1,STY_1,137,4,36.51,18.0,15.27,14.79,15.42
47,TN,CON_1,none,CON_1,1065,1,53.1,12.68,11.86,8.43,13.94
48,TX,CON_1,STY_1,STY_1,3392,4,37.08,14.57,18.67,12.11,17.56
49,UT,LBR_1,STY_1,STY_1,387,4,31.7,11.19,25.37,12.6,19.14
50,VT,LIB_1,LBR_1,LBR_1,105,4,25.36,7.5,14.83,46.18,6.14
51,VA,LBR_1,LIB_1,STY_1,1234,4,36.26,8.95,21.59,22.17,11.03
53,WA,LIB_1,LBR_1,LBR_1,1112,4,29.18,9.9,22.28,29.7,8.95
54,WV,CON_1,CUP_1,STY_1,335,4,39.26,17.74,15.55,9.24,18.22
55,WI,LBR_1,LIB_1,STY_1,1088,4,39.29,9.96,18.47,21.76,10.53
56,WY,STY_1,LIB_1,CON_1,70,4,40.75,13.7,12.63,16.02,16.89
