party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,196,124,66,386,22.36
1,Labor,163,92,35,290,16.8
4,Liberal,125,54,15,194,11.24
2,Solidarity,110,63,20,193,11.18
5,Populist,87,47,29,163,9.44
3,Nationalist,79,53,23,155,8.98
6,Civic Union Party,81,46,24,151,8.75
9,Progressive,48,19,3,70,4.06
7,Order and Opportunity Party,43,11,9,63,3.65
8,DSA,41,14,6,61,3.53
