state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_es,fc_pct_CON_hi_pc,fc_pct_CON_lo_es,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_es,fc_pct_DSA_lo_es,fc_pct_LBR,fc_pct_LBR_hi_es,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_es,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_es,fc_pct_NAT_lo_es,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_es,fc_pct_POP_hi_pc,fc_pct_POP_lo_es,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_es,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_es,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_lo_pc,CON,pc,lo,488.03,5,0.0,3.845,7.775,7.196,11.817,1.593,3.669,3.213,0.0,5.273,4.24,0.0,1.992,0.554,2.038,0.926,1.825,3.372,0.557,1.586,1.163,0.484,2.023,9.616,2.218,0.0,0.411,2.818,2.605,4.074,0.314,0.0,4.046,0.903,1.694,2.609,0.769,2.777
2,AK,STY_lo_es,STY,es,lo,87.09,5,0.0,5.624,4.153,11.894,0.384,0.0,9.927,2.377,0.0,2.045,0.298,0.0,0.0,1.826,0.744,3.256,8.269,7.827,2.537,4.873,2.13,1.579,2.429,5.153,0.753,0.0,2.132,1.478,1.477,0.667,2.082,1.006,0.429,0.242,0.513,8.438,0.961,2.498
4,AZ,STY_lo_es,STY,es,lo,818.95,5,0.102,6.403,8.258,6.098,3.706,0.129,0.705,1.154,1.411,2.128,6.713,0.018,2.498,1.457,1.293,4.107,1.59,2.095,1.731,1.734,2.248,0.0,10.376,5.165,2.955,0.0,5.402,2.801,1.392,1.594,6.638,0.143,1.335,2.031,0.396,3.779,0.342,0.075
5,AR,STY_hi_pc,STY,pc,hi,283.81,5,0.0,3.337,8.089,5.201,10.064,0.0,3.029,2.801,0.0,2.312,5.108,0.0,3.098,0.093,4.235,5.2,0.994,3.242,2.387,1.578,0.882,0.648,0.752,8.554,2.905,0.0,1.783,2.592,5.719,2.181,4.654,0.174,0.69,2.963,0.67,1.794,1.204,1.068
6,CA,STY_lo_es,STY,es,lo,2729.1,5,0.347,4.198,3.27,3.343,5.942,0.218,1.875,3.753,0.299,1.128,3.577,0.06,2.22,1.151,5.458,4.153,1.97,4.055,3.882,3.724,4.242,0.028,8.41,1.63,3.991,0.061,2.87,0.674,1.024,1.791,7.714,0.001,1.873,1.774,1.592,4.637,1.231,1.832
8,CO,STY_lo_es,STY,es,lo,587.67,5,0.073,5.924,12.611,2.085,3.116,0.231,0.608,3.293,0.344,0.503,5.961,0.0,1.974,0.39,1.634,2.33,1.375,8.226,2.708,2.954,5.347,0.099,5.275,2.713,4.268,0.0,3.715,2.497,2.079,2.2,9.352,0.397,1.101,0.956,0.168,1.658,0.624,1.212
9,CT,LBR_hi_so,LBR,so,hi,346.01,5,0.97,6.377,2.747,2.013,8.909,0.369,2.448,3.492,0.152,1.044,3.613,0.0,1.97,2.995,4.478,2.737,1.308,2.149,3.577,5.546,2.838,0.123,6.011,2.929,4.211,0.16,1.12,0.954,2.605,4.808,10.27,0.584,0.003,0.37,0.14,3.452,1.568,0.962
10,DE,LBR_hi_so,LBR,so,hi,151.52,5,0.0,4.883,9.896,3.762,7.724,0.21,0.0,3.459,0.0,0.222,5.857,0.0,1.833,1.196,10.391,6.75,1.663,2.223,2.694,2.051,2.431,0.0,3.257,2.956,12.195,0.0,1.289,0.0,3.014,0.978,2.698,0.0,1.76,0.0,1.688,2.51,0.412,0.0
11,DC,LBR_lo_so,LBR,so,lo,84.76,5,0.0,1.463,0.0,2.411,5.194,0.0,2.127,5.809,0.913,0.0,9.733,0.0,2.117,0.428,3.335,4.452,6.179,11.106,7.579,0.72,6.923,0.0,0.0,0.0,1.631,0.0,0.0,0.0,3.733,6.773,13.071,0.0,0.0,0.942,0.0,1.831,1.252,0.28
12,FL,STY_hi_es,STY,es,hi,2141.68,5,0.072,2.749,7.152,7.591,6.73,0.978,5.351,5.597,0.099,3.537,3.407,0.0,2.303,0.729,3.744,3.172,1.607,2.661,1.865,1.891,2.718,0.269,0.521,7.343,3.902,0.771,0.837,0.745,4.354,1.761,2.617,0.038,3.791,1.182,0.889,4.053,1.176,1.797
13,GA,STY_lo_es,STY,es,lo,1004.36,5,0.272,3.455,6.588,7.494,8.028,0.73,2.603,5.989,0.053,0.98,2.226,0.0,5.186,1.046,3.856,2.04,1.391,4.893,3.568,2.717,3.516,0.751,1.797,6.558,2.748,0.0,2.694,0.624,2.082,1.231,2.98,0.134,1.907,2.379,1.012,3.805,1.936,0.73
15,HI,LBR_hi_so,LBR,so,hi,143.55,5,0.0,11.198,0.498,4.646,5.324,0.0,0.493,1.062,0.0,0.0,3.778,0.0,0.584,4.391,5.652,3.41,1.859,9.082,8.7,4.306,3.822,0.0,2.809,1.802,9.84,0.326,4.693,2.14,1.646,0.188,1.071,0.0,0.797,0.332,1.0,3.854,0.509,0.185
16,ID,POP_lo_es,POP,es,lo,227.7,5,0.0,2.799,18.548,4.592,2.592,0.184,7.245,0.782,0.0,3.903,2.468,0.0,2.813,0.0,2.434,0.329,0.279,4.959,2.036,2.024,2.791,0.258,1.565,9.456,2.627,0.0,0.124,2.398,9.688,1.905,4.334,0.0,0.126,0.706,0.772,4.03,0.53,0.706
17,IL,STY_lo_es,STY,es,lo,1030.62,5,0.238,5.465,4.946,5.277,7.374,0.31,2.839,4.74,0.456,2.013,3.676,0.113,2.046,0.591,3.559,3.58,1.567,4.036,3.422,1.756,5.933,0.0,5.45,1.879,6.025,0.01,2.308,0.692,1.418,2.857,7.588,0.152,0.328,0.84,0.977,4.22,0.368,0.951
18,IN,POP_lo_es,POP,es,lo,688.58,5,0.121,8.044,6.607,5.021,5.505,0.452,4.555,3.749,0.045,1.914,2.666,0.0,3.132,0.696,2.446,2.415,1.528,3.611,2.977,1.816,2.528,1.016,1.629,9.481,4.353,0.239,1.244,2.214,3.985,0.755,5.477,0.293,1.461,0.984,0.45,4.586,1.123,0.884
19,IA,CUP_hi_pc,CUP,pc,hi,309.64,5,0.0,2.369,7.742,7.48,4.498,0.53,6.679,3.816,0.0,1.665,5.596,0.0,0.907,0.863,2.061,6.774,1.015,2.669,1.224,2.31,2.811,1.091,1.011,10.26,5.677,0.002,3.111,0.763,5.482,0.461,3.836,0.07,2.572,1.982,0.354,1.429,0.515,0.375
20,KS,STY_lo_es,STY,es,lo,259.39,5,0.249,3.682,12.997,5.811,8.613,0.749,3.031,2.262,0.0,0.95,5.854,0.0,0.746,0.897,2.664,0.775,0.498,4.345,8.33,2.181,1.411,0.314,1.797,5.684,1.506,0.482,1.262,4.354,0.919,0.826,6.495,0.055,1.76,0.375,0.194,4.755,1.347,1.829
21,KY,POP_lo_es,POP,es,lo,488.36,5,0.113,3.714,9.627,5.655,5.765,1.679,5.607,1.937,0.157,2.218,2.253,1.174,2.389,2.412,1.829,2.953,1.042,5.356,1.591,1.527,2.455,0.626,3.429,9.046,4.669,0.0,1.954,0.761,3.755,1.401,3.628,0.83,0.494,2.482,2.422,2.373,0.195,0.479
22,LA,CON_lo_pc,CON,pc,lo,346.49,5,0.0,5.938,10.694,5.188,5.532,0.193,2.997,7.312,0.007,1.466,1.862,0.0,1.02,1.498,4.237,4.146,0.563,0.504,1.524,1.495,2.393,0.0,1.72,10.543,4.14,0.0,0.468,1.546,2.62,0.939,5.858,0.537,3.42,1.787,0.542,3.664,3.33,0.319
23,ME,LBR_hi_so,LBR,so,hi,172.26,5,0.0,4.976,4.9,4.457,3.227,1.413,2.544,5.112,0.0,3.869,3.733,0.0,0.987,1.147,3.727,4.373,2.038,2.708,4.124,2.595,4.197,0.091,5.719,1.287,5.377,0.0,2.976,2.473,5.99,2.175,9.064,0.0,0.252,2.698,0.492,0.886,0.391,0.0
24,MD,LBR_hi_so,LBR,so,hi,544.1,5,0.088,4.582,3.402,5.19,3.749,0.601,1.895,3.339,0.095,0.164,3.377,0.0,1.541,1.29,5.816,4.409,2.487,4.303,3.652,2.401,3.856,0.0,3.978,2.957,5.909,0.097,2.94,1.612,1.963,1.075,11.523,0.162,0.571,4.419,0.993,3.243,0.449,1.872
25,MA,LBR_hi_so,LBR,so,hi,563.37,5,2.129,4.498,5.886,2.348,6.145,0.038,1.493,1.901,0.246,1.894,6.627,0.0,1.208,0.62,5.39,4.677,1.816,5.197,3.495,2.452,5.816,0.294,3.249,3.767,4.719,0.097,0.879,1.279,3.229,1.099,10.911,0.0,1.903,0.957,1.072,1.158,0.247,1.267
26,MI,POP_lo_es,POP,es,lo,939.87,5,0.92,4.362,9.482,5.562,4.825,1.201,2.66,2.82,0.37,1.667,4.611,0.0,1.965,0.825,3.677,2.629,1.467,3.572,3.322,2.887,2.653,0.097,6.221,5.783,3.76,0.0,2.927,1.617,3.899,1.692,6.685,0.02,0.474,1.934,0.567,1.463,0.764,0.621
27,MN,LBR_lo_so,LBR,so,lo,514.32,5,0.196,2.974,6.559,5.154,4.307,0.298,2.559,2.802,0.0,0.733,3.431,0.015,0.86,0.663,1.33,2.604,4.352,3.481,3.901,5.456,4.542,0.0,6.85,2.225,6.955,0.137,3.83,2.278,1.183,2.588,12.763,0.42,0.285,0.768,0.959,2.08,0.089,0.37
28,MS,STY_hi_pc,STY,pc,hi,288.46,5,0.037,4.691,6.848,5.436,5.793,0.857,4.809,5.084,0.395,1.423,2.554,0.0,2.766,3.26,3.085,1.965,0.636,2.479,0.0,0.038,1.214,0.451,4.171,6.306,5.015,0.0,1.96,2.624,3.307,0.34,1.055,1.075,3.29,4.48,4.035,3.007,2.293,3.223
29,MO,STY_lo_es,STY,es,lo,650.39,5,0.216,4.524,9.144,7.119,4.429,0.624,3.91,2.68,0.157,1.881,5.466,0.0,5.103,0.558,2.812,2.421,1.84,3.751,3.002,1.62,1.942,0.915,2.606,8.092,2.802,0.0,1.064,1.985,2.102,2.607,3.856,0.0,2.436,1.476,2.26,2.443,1.169,0.987
30,MT,STY_hi_es,STY,es,hi,181.4,5,0.0,3.521,13.253,5.694,1.061,0.505,5.253,1.544,0.0,2.237,2.295,0.0,1.413,0.403,4.301,1.241,2.445,1.674,2.819,7.285,3.733,1.867,1.401,12.424,1.373,0.0,0.308,0.394,1.664,2.49,4.558,0.0,4.942,0.303,0.782,5.207,0.551,1.057
31,NE,STY_lo_es,STY,es,lo,200.95,5,0.192,5.893,4.835,7.528,5.154,3.358,6.344,2.899,0.0,2.607,6.231,0.0,3.914,0.0,1.094,1.521,2.157,5.748,2.011,1.847,1.6,0.3,4.673,4.393,2.569,0.0,0.0,2.734,4.07,2.643,3.654,0.0,2.423,2.252,0.709,3.708,0.227,0.711
32,NV,STY_lo_so,STY,so,lo,488.94,5,0.22,7.459,6.205,1.685,7.574,0.098,3.039,2.486,0.0,2.592,3.056,0.0,4.792,0.819,1.347,3.695,3.503,5.483,2.615,4.254,1.866,0.181,6.849,2.654,4.189,0.0,4.635,0.86,0.739,2.536,5.504,0.376,2.15,0.991,0.489,2.495,0.382,2.18
