state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_ae,fc_pct_CON_hi_pc,fc_pct_CON_lo_ae,fc_pct_CON_lo_pc,fc_pct_CTR,fc_pct_CTR_hi_pc,fc_pct_CTR_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_ae,fc_pct_DSA_lo_ae,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_ae,fc_pct_NAT_lo_ae,fc_pct_PRG,fc_pct_REF,fc_pct_REF_hi_ae,fc_pct_REF_hi_pc,fc_pct_REF_lo_ae,fc_pct_REF_lo_pc,fc_pct_SD,fc_pct_SD_hi_ae,fc_pct_SD_hi_pc,fc_pct_SD_hi_so,fc_pct_SD_lo_ae,fc_pct_SD_lo_pc,fc_pct_SD_lo_so,fc_pct_STY,fc_pct_STY_hi_ae,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_ae,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
42,PA,SD,SD,base,base,2189.53,5,3.668,4.325,4.238,4.383,5.333,3.026,3.893,4.712,1.864,1.643,2.197,3.801,3.294,5.167,2.417,3.951,2.267,6.465,1.114,3.031,1.621,1.069,2.27,2.256,1.788,1.908,4.188,2.467,1.448,1.766,0.522,1.006,1.498,1.339,0.874,1.91,1.282
44,RI,SD_hi_ae,SD,ae,hi,163.32,5,1.714,2.327,2.94,5.497,2.887,1.239,1.144,6.917,4.196,0.205,0.935,4.194,8.29,6.107,3.128,1.42,1.094,6.995,0.0,0.507,1.756,5.527,0.654,0.55,5.048,3.259,1.922,3.966,2.174,3.342,0.0,2.52,0.279,5.397,0.804,0.0,1.066
45,SC,SD_lo_pc,SD,pc,lo,730.29,5,3.936,3.502,3.145,5.472,4.87,0.998,7.064,5.392,2.254,2.684,2.557,3.431,1.781,2.345,2.841,2.362,4.741,3.001,0.759,3.059,1.886,3.531,0.992,1.667,0.887,1.78,1.865,1.899,3.778,2.55,1.293,2.548,0.221,1.496,0.08,3.798,3.535
46,SD,CTR_hi_pc,CTR,pc,hi,141.48,5,4.637,5.091,1.34,2.149,4.344,5.194,12.099,2.904,3.0,3.003,0.419,4.272,2.109,2.76,5.718,1.643,6.52,3.449,1.451,2.447,0.0,3.22,0.519,0.93,1.07,1.629,2.308,1.367,2.933,0.067,1.183,0.0,0.0,0.671,0.539,0.578,8.439
47,TN,CON_hi_pc,CON,pc,hi,1143.42,5,4.099,5.426,6.609,7.217,6.528,6.626,5.658,5.24,2.152,2.229,0.875,2.945,1.002,1.233,6.16,1.734,6.853,2.049,1.431,1.793,0.622,1.426,2.514,0.271,2.814,0.515,1.33,1.183,1.22,0.763,0.346,3.165,1.242,0.831,1.787,0.4,1.712
48,TX,STY_hi_so,STY,so,hi,3555.07,5,3.476,3.591,3.508,4.352,3.543,4.688,6.24,6.097,1.682,3.553,1.515,3.061,2.579,2.344,2.744,1.895,4.498,2.092,1.331,1.48,1.776,2.03,1.825,1.61,1.974,1.459,1.925,1.936,1.037,2.496,2.392,3.802,1.025,3.554,2.346,3.023,1.523
49,UT,SD_lo_ae,SD,ae,lo,462.14,5,1.116,3.697,2.671,3.19,3.63,2.731,4.814,7.935,1.171,4.794,1.887,4.448,1.111,1.771,4.22,3.0,2.436,2.507,1.851,0.11,3.532,2.114,2.018,3.585,4.003,2.512,0.61,4.426,2.515,1.613,4.47,2.527,0.568,0.111,3.437,0.763,2.106
50,VT,SD_hi_ae,SD,ae,hi,107.67,5,1.291,2.2,1.56,0.673,7.091,2.513,0.382,12.17,0.406,3.825,2.694,3.304,3.629,4.153,2.227,0.0,0.47,25.852,2.432,1.087,1.472,0.625,1.166,2.457,3.201,1.125,2.422,1.577,0.0,2.483,0.0,0.0,2.176,0.912,0.663,1.761,0.0
51,VA,SD_hi_pc,SD,pc,hi,1326.72,5,3.396,2.904,4.078,5.509,3.728,3.41,4.914,4.563,1.566,1.928,2.082,2.791,4.624,3.492,4.048,2.993,2.929,7.652,1.542,2.912,1.592,1.095,1.128,2.095,2.213,3.121,4.371,2.484,1.01,2.467,0.813,2.754,0.884,0.954,0.491,1.211,0.256
53,WA,SD_hi_so,SD,so,hi,1221.78,5,2.663,3.394,1.393,1.135,5.545,5.424,2.3,3.842,2.457,2.23,4.879,5.234,3.527,4.46,1.63,5.03,2.038,10.243,1.166,3.349,1.536,0.941,1.302,1.342,2.819,3.285,1.646,1.671,2.124,2.661,0.413,1.744,1.066,2.238,0.688,0.275,2.309
54,WV,CON_lo_ae,CON,ae,lo,360.26,5,2.335,3.224,6.265,11.031,7.609,3.925,3.035,6.66,0.027,3.703,0.428,1.906,1.745,2.392,3.2,2.292,4.912,1.491,1.715,0.692,0.603,0.528,3.128,0.628,4.798,1.164,4.557,0.738,0.807,0.877,1.951,0.82,1.056,1.79,0.49,0.802,6.677
55,WI,SD_hi_pc,SD,pc,hi,969.41,5,3.37,6.295,4.212,3.44,2.58,2.472,6.257,5.211,1.915,1.092,1.986,2.934,3.021,3.62,2.853,3.412,2.221,7.01,3.857,2.825,2.244,2.455,1.044,1.189,1.199,3.072,3.428,2.259,1.48,2.134,1.449,1.312,0.307,2.228,2.286,0.455,0.877
56,WY,CTR,CTR,base,base,98.3,5,2.817,2.866,4.079,4.524,0.941,11.736,5.44,7.992,0.0,0.482,0.834,6.962,1.41,1.956,4.252,1.17,3.012,1.234,0.0,1.306,3.94,0.545,9.977,3.699,0.0,0.0,5.045,1.216,3.894,0.71,0.0,0.928,0.0,4.834,0.702,1.498,0.0
