state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_ae,fc_pct_CON_hi_pc,fc_pct_CON_lo_ae,fc_pct_CON_lo_pc,fc_pct_CTR,fc_pct_CTR_hi_pc,fc_pct_CTR_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_ae,fc_pct_DSA_lo_ae,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_ae,fc_pct_NAT_lo_ae,fc_pct_PRG,fc_pct_REF,fc_pct_REF_hi_ae,fc_pct_REF_hi_pc,fc_pct_REF_lo_ae,fc_pct_REF_lo_pc,fc_pct_SD,fc_pct_SD_hi_ae,fc_pct_SD_hi_pc,fc_pct_SD_hi_so,fc_pct_SD_lo_ae,fc_pct_SD_lo_pc,fc_pct_SD_lo_so,fc_pct_STY,fc_pct_STY_hi_ae,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_ae,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
46,SD,CON_lo_pc,CON,pc,lo,141.48,5,2.629,2.838,4.331,3.589,5.959,4.973,6.172,4.386,3.771,2.984,1.125,3.527,0.0,3.103,2.313,0.567,7.23,4.411,5.92,2.009,1.451,0.0,3.864,0.992,0.21,1.657,2.701,1.654,1.842,0.364,0.578,1.21,0.0,1.453,5.659,4.531,0.0
47,TN,CON_lo_ae,CON,ae,lo,1143.42,5,7.003,4.892,4.18,5.031,6.48,4.455,5.021,5.741,1.811,2.378,1.663,3.098,1.286,1.364,4.5,2.79,8.725,1.672,3.262,1.987,2.115,2.429,1.265,2.886,1.332,0.78,2.541,0.878,0.705,2.353,0.351,1.895,0.545,0.677,0.864,0.227,0.818
48,TX,STY_hi_so,STY,so,hi,3555.07,5,3.446,2.63,3.632,5.388,4.82,3.8,4.123,6.939,2.663,2.604,2.661,2.746,3.583,1.682,2.804,2.725,4.291,3.371,1.304,1.052,2.404,1.904,1.541,1.97,2.001,1.817,2.494,1.664,1.664,1.072,2.968,2.666,2.098,1.822,1.34,2.231,2.08
49,UT,SD_lo_so,SD,so,lo,462.14,5,1.977,1.215,1.385,3.434,2.172,4.45,2.464,6.477,2.638,4.218,2.116,3.155,1.968,1.714,4.16,3.933,3.374,4.612,1.47,0.885,1.352,7.971,2.699,2.249,1.987,1.383,3.337,4.206,3.06,6.328,0.767,0.946,0.663,1.939,1.103,0.327,1.866
50,VT,LIB,LIB,base,base,107.67,5,3.47,2.066,4.196,1.511,0.716,1.975,3.918,10.91,2.268,2.75,3.709,15.259,2.598,1.037,2.0,0.411,0.901,14.342,0.369,1.98,0.0,1.914,1.839,5.161,0.423,1.883,1.154,0.219,0.953,3.383,4.413,0.687,0.0,1.12,0.0,0.465,0.0
51,VA,SD_hi_pc,SD,pc,hi,1326.72,5,2.989,4.639,5.5,2.567,3.675,3.314,2.626,7.101,3.094,1.401,2.418,2.964,5.339,2.534,2.574,3.446,4.822,6.888,1.094,0.954,2.862,0.813,2.836,2.134,2.227,3.938,3.016,1.384,3.459,1.47,0.369,1.346,0.954,0.823,0.469,1.046,0.916
53,WA,SD_lo_ae,SD,ae,lo,1221.78,5,2.227,4.119,2.111,2.616,3.763,3.23,1.555,5.789,3.935,3.324,3.161,3.36,2.544,4.129,1.927,3.373,3.047,12.591,2.111,2.614,1.471,1.279,1.816,1.361,3.196,0.842,2.911,3.652,2.635,1.826,0.735,0.862,0.286,1.89,2.093,0.97,0.649
54,WV,CON_lo_ae,CON,ae,lo,360.26,5,4.208,2.708,2.35,7.432,7.65,5.109,1.126,4.361,0.566,3.628,0.269,1.459,2.987,0.994,3.587,4.031,7.394,2.665,0.972,2.246,1.505,1.575,1.402,0.809,4.97,0.581,1.103,0.954,6.018,2.269,0.678,0.287,0.126,4.801,1.282,5.597,0.302
55,WI,SD_hi_so,SD,so,hi,969.41,5,3.384,4.409,3.624,2.723,5.386,4.443,1.572,2.942,2.213,1.704,1.208,2.518,3.048,3.354,3.325,4.476,1.77,8.098,2.461,2.64,4.405,2.668,2.032,1.413,2.058,3.647,3.255,2.673,1.15,1.479,0.611,0.803,2.188,3.269,1.299,1.174,0.578
56,WY,CON_hi_pc,CON,pc,hi,98.3,5,5.53,2.529,14.835,1.649,1.63,5.624,0.941,4.935,0.0,0.482,2.261,1.233,2.926,0.0,3.465,1.306,6.837,4.193,1.164,7.661,0.0,2.413,5.611,1.498,1.633,0.0,0.692,0.858,6.839,0.0,5.948,0.0,2.864,2.443,0.0,0.0,0.0
