party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,107,68,29,204,23.37
1,Labor,118,62,19,199,22.79
5,Populist,68,52,18,138,15.81
6,Civic Union Party,55,38,13,106,12.14
4,Liberal,67,27,6,100,11.45
3,Nationalist,21,22,12,55,6.3
8,DSA,22,10,2,34,3.89
7,Order and Opportunity Party,12,7,2,21,2.41
9,Progressive,11,4,1,16,1.83
