state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_NAT,inc_PRG,inc_DSA
1,AL,CON_1,CON,26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,9.25,3.9,0.81,0.51,1.97,1.95,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.95,0.0,1.75,2.34,0.0,6.81,0.0,0.66,0.0,0.0,0.0
1,AL,DSA_1,DSA,10.38,0.0,0.0,0.0,0.0,2.44,0.77,2.1,16.2,0.0,0.0
1,AL,STY_1,STY,12.65,0.0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.88,0.0,0.0,0.0,1.17,0.0,1.87,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,17.72,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,12.66,0.0,0.0,0.0,0.89,0.0,0.0,0.0,11.79,1.48,0.7
2,AK,STY_1,STY,11.68,0.0,0.0,5.07,0.0,0.94,0.0,0.0,0.0,0.0,4.39
4,AZ,CON_1,CON,20.36,0.0,0.0,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.1,1.15,2.33,0.0,0.0,0.0,1.32,0.0,0.0,0.0,6.08
4,AZ,LIB_1,LIB,9.33,0.0,1.18,0.0,0.0,1.09,0.0,0.0,0.0,8.55,0.0
4,AZ,NAT_1,NAT,18.17,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,STY_1,STY,6.78,2.33,0.0,6.17,0.0,2.92,0.0,3.66,0.0,0.0,1.82
5,AR,CON_1,CON,22.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,0.0,0.0
5,AR,CUP_1,CUP,8.65,1.17,3.56,0.0,2.31,0.0,0.0,4.65,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.28,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
5,AR,POP_1,POP,10.76,1.21,0.0,0.0,2.56,0.81,3.68,0.0,0.53,0.0,0.0
5,AR,STY_1,STY,5.83,1.85,1.19,0.0,0.0,3.68,0.0,7.79,0.0,0.0,1.57
6,CA,CON_1,CON,13.27,0.0,5.02,0.0,0.0,0.0,1.59,0.0,3.24,0.0,0.0
6,CA,LBR_1,LBR,16.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
6,CA,LIB_1,LIB,14.89,0.0,2.14,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0
6,CA,POP_1,POP,7.69,1.31,0.0,0.0,2.25,0.0,0.86,0.0,7.55,9.93,0.0
6,CA,STY_1,STY,10.93,1.54,0.0,0.0,0.0,1.77,2.61,1.5,0.0,0.0,0.0
8,CO,CON_1,CON,21.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.29,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,4.17
8,CO,LIB_1,LIB,13.81,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,10.97,0.0
8,CO,POP_1,POP,10.7,3.72,0.0,0.0,0.0,0.0,0.0,0.0,10.21,0.0,0.0
8,CO,STY_1,STY,4.94,0.52,3.97,8.4,0.0,1.66,0.86,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,5.86,0.0,4.65,7.22,0.0,0.57,0.0,0.0,1.63,0.0,0.0
9,CT,LBR_1,LBR,13.35,0.0,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.82,2.6
9,CT,LIB_1,LIB,17.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0.0
9,CT,POP_1,POP,8.94,0.93,1.89,0.0,2.19,1.77,0.0,0.0,8.49,0.0,0.0
10,DE,CON_1,CON,25.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
