state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_NAT,inc_PRG,inc_DSA
39,OH,LBR_1,LBR,10.79,0.0,1.06,0.0,0.0,0.0,0.0,2.67,0.0,0.0,5.94
39,OH,LIB_1,LIB,10.54,0.0,0.96,0.0,0.59,0.0,0.0,0.0,0.0,3.54,1.27
39,OH,POP_1,POP,8.81,2.39,0.0,0.0,0.85,0.0,0.0,3.15,7.51,0.0,0.0
40,OK,CON_1,CON,24.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,9.62,4.7,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,LBR_1,LBR,7.39,0.0,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.0,6.04
40,OK,NAT_1,NAT,18.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,POP_1,POP,8.71,4.61,0.0,0.0,0.0,0.56,0.0,2.5,0.0,0.0,0.0
41,OR,CON_1,CON,12.42,0.0,0.68,5.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0
41,OR,LBR_1,LBR,10.82,0.0,0.0,1.18,0.0,1.83,0.6,2.12,0.0,0.0,8.22
41,OR,LIB_1,LIB,15.92,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,NAT_1,NAT,15.95,0.57,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,PRG_1,PRG,16.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23
42,PA,CON_1,CON,22.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,PA,LBR_1,LBR,13.03,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,5.5
42,PA,LIB_1,LIB,14.91,0.0,2.31,0.0,0.74,0.66,0.0,0.0,0.0,0.0,0.0
42,PA,NAT_1,NAT,10.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,PA,POP_1,POP,6.89,3.18,0.0,0.0,1.18,3.58,0.0,1.52,0.0,0.0,0.0
44,RI,CON_1,CON,16.98,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
44,RI,LBR_1,LBR,15.13,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,6.29
44,RI,LIB_1,LIB,18.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,POP_1,POP,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,6.55,0.0,0.0
44,RI,PRG_1,PRG,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,CON_1,CON,24.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,LBR_1,LBR,13.24,0.0,0.66,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0
45,SC,LIB_1,LIB,9.23,0.0,0.65,0.0,0.57,2.02,0.0,0.0,0.0,1.41,1.43
45,SC,NAT_1,NAT,14.5,0.97,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
45,SC,POP_1,POP,8.75,3.57,0.0,0.0,0.72,4.05,0.0,1.7,0.0,0.0,0.0
46,SD,CON_1,CON,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,11.89,0.75,5.05,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,10.18,0.0,0.75,0.0,0.0,0.0,13.18,0.0,0.0,0.0,4.35
