party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,154,94,55,303,21.55
1,Labor,125,68,27,220,15.65
4,Liberal,111,47,22,180,12.8
3,Nationalist,79,58,20,157,11.17
5,Populist,62,41,21,124,8.82
2,Solidarity,57,41,9,107,7.61
6,Civic Union Party,50,38,17,105,7.47
9,Progressive,58,19,12,89,6.33
7,Order and Opportunity Party,45,15,5,65,4.62
8,DSA,36,14,6,56,3.98
