party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,159,96,54,309,21.98
1,Labor,131,69,30,230,16.36
4,Liberal,114,46,21,181,12.87
5,Populist,72,45,24,141,10.03
3,Nationalist,72,52,16,140,9.96
2,Solidarity,69,46,9,124,8.82
6,Civic Union Party,54,41,19,114,8.11
9,Progressive,47,16,11,74,5.26
7,Order and Opportunity Party,29,13,6,48,3.41
8,DSA,30,11,4,45,3.2
