state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_NAT,inc_PRG,inc_DSA
1,AL,CON_1,CON,26.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,9.46,3.94,0.8,0.61,0.58,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.87,0.0,1.77,2.33,6.23,0.0,0.67,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,STY_1,STY,12.07,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,15.02,0.0,0.0,0.0,0.0,0.55,0.0,0.88,11.81,0.0,0.0
2,AK,CUP_1,CUP,17.57,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,12.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.72
2,AK,STY_1,STY,11.15,0.0,0.0,5.05,0.9,0.0,0.0,0.0,0.0,0.0,4.41
4,AZ,CON_1,CON,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.02,1.24,2.33,0.0,0.0,1.3,0.0,2.26,0.0,0.0,0.0
4,AZ,LIB_1,LIB,9.47,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0
4,AZ,NAT_1,NAT,18.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.35,3.81,0.0,0.0,0.0,0.0,0.0,3.83,0.84,0.0,0.0
5,AR,CON_1,CON,22.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.54,1.19,3.58,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.21,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
5,AR,POP_1,POP,10.67,1.23,0.0,0.0,0.79,0.0,0.0,0.0,6.16,0.0,0.0
5,AR,STY_1,STY,5.55,1.88,1.2,0.0,3.51,0.0,0.87,0.0,0.0,0.0,1.57
6,CA,CON_1,CON,13.35,0.0,4.85,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0
6,CA,LBR_1,LBR,16.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
6,CA,LIB_1,LIB,15.15,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0
6,CA,NAT_1,NAT,10.97,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,10.39,0.68,0.0,7.26,1.72,2.58,0.0,0.0,0.0,0.0,0.0
8,CO,CON_1,CON,21.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.18,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,4.16
8,CO,LIB_1,LIB,14.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,10.58,3.75,0.0,0.0,0.0,0.0,0.0,5.04,0.0,0.0,0.0
8,CO,PRG_1,PRG,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
9,CT,CON_1,CON,19.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,LBR_1,LBR,13.24,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,2.6
9,CT,LIB_1,LIB,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,POP_1,POP,8.83,0.93,0.0,0.0,1.35,3.26,0.0,2.09,8.59,0.0,0.0
9,CT,PRG_1,PRG,11.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_1,CON,25.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.8,0.0,1.29,0.0,1.02,0.0,3.38,6.48,0.0,0.0
10,DE,LBR_1,LBR,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.71,0.0,0.0,0.0,0.53,1.56,0.0,0.0,0.0,5.15,0.0
10,DE,OAO_1,OAO,14.28,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,17.81,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0
11,DC,LIB_1,LIB,30.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.35,0.0,0.0,0.0,12.54,0.0,0.0,0.57,0.0
11,DC,POP_1,POP,10.13,9.09,0.0,0.0,0.0,1.57,0.0,1.38,0.0,0.0,0.0
11,DC,PRG_1,PRG,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02
12,FL,CON_1,CON,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,10.15,2.29,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.35,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
12,FL,LIB_1,LIB,8.44,0.0,1.23,0.0,0.52,0.0,0.0,0.0,0.0,1.61,1.59
12,FL,STY_1,STY,10.59,0.73,0.0,8.3,2.44,0.0,0.0,0.0,0.0,0.0,1.52
13,GA,CON_1,CON,22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,9.11,2.55,2.46,0.72,0.0,0.0,0.0,0.71,4.43,0.0,0.0
13,GA,LBR_1,LBR,15.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46
13,GA,LIB_1,LIB,12.85,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0
13,GA,STY_1,STY,9.09,1.3,0.0,8.23,1.22,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,21.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,22.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,2.35,0.0,4.89,2.47,2.08,1.71,0.0,3.47,1.53
15,HI,LIB_1,LIB,19.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,8.86,2.57,0.0,0.0,0.0,0.0,0.0,1.43,4.75,0.0,0.0
16,ID,CON_1,CON,22.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,9.38,0.89,1.42,0.0,0.0,0.0,0.0,2.23,0.0,0.0,5.97
16,ID,LIB_1,LIB,8.6,0.0,1.18,0.0,0.66,0.0,0.0,0.0,0.0,1.78,2.81
16,ID,NAT_1,NAT,16.1,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,14.57,2.68,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0
17,IL,CON_1,CON,20.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,9.01,0.77,4.67,0.0,0.53,0.0,0.0,0.62,0.92,0.0,0.0
17,IL,LBR_1,LBR,12.28,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,5.12
17,IL,LIB_1,LIB,13.43,0.0,1.95,0.0,0.68,0.0,0.0,0.0,0.0,9.05,0.0
17,IL,POP_1,POP,7.65,1.65,0.0,0.0,0.91,0.0,0.0,1.49,8.24,0.0,0.0
18,IN,CON_1,CON,20.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,LBR_1,LBR,11.85,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18
18,IN,LIB_1,LIB,9.08,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,5.96,0.0
18,IN,NAT_1,NAT,15.5,0.0,0.0,0.57,0.0,0.52,0.0,0.0,0.0,0.0,0.0
18,IN,STY_1,STY,7.68,0.0,0.0,6.88,1.24,5.76,0.0,0.0,0.0,0.0,0.58
19,IA,CON_1,CON,20.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,8.3,1.48,4.2,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,LBR_1,LBR,12.61,0.0,1.17,0.0,0.0,0.0,0.0,2.39,0.0,0.0,8.56
19,IA,LIB_1,LIB,7.47,0.0,1.69,0.0,3.16,0.0,0.0,0.0,0.0,2.86,2.22
19,IA,NAT_1,NAT,15.65,0.64,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_1,CON,25.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_2,CON,0.0,8.23,0.68,3.35,0.0,2.74,0.0,0.0,12.07,0.0,0.0
20,KS,LBR_1,LBR,8.85,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,5.83
20,KS,LIB_1,LIB,14.1,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,7.06,0.52
20,KS,STY_1,STY,8.48,0.0,0.0,6.39,0.0,0.62,2.81,0.0,0.0,0.0,0.0
21,KY,CON_1,CON,23.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,CUP_1,CUP,9.1,2.36,4.01,0.0,0.67,0.0,5.93,0.0,0.0,0.0,0.0
21,KY,LBR_1,LBR,11.39,0.0,0.68,0.0,0.0,0.0,0.0,5.29,0.0,0.0,4.24
21,KY,NAT_1,NAT,14.41,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,POP_1,POP,9.11,2.33,0.0,0.0,1.37,0.0,0.0,4.9,0.0,0.0,0.0
22,LA,CON_1,CON,22.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,12.79,0.0,2.99,0.59,0.0,0.0,1.99,0.0,0.0,0.0,0.0
22,LA,LBR_1,LBR,9.22,0.0,1.15,0.0,0.0,0.59,3.83,0.0,0.0,0.0,2.59
22,LA,NAT_1,NAT,17.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,STY_1,STY,10.44,0.0,0.0,4.01,0.0,0.0,0.0,0.0,0.0,7.02,0.0
23,ME,CON_1,CON,14.3,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0
23,ME,LBR_1,LBR,12.0,0.0,1.86,0.0,0.0,1.41,0.83,2.5,0.0,0.0,0.0
23,ME,LIB_1,LIB,19.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,POP_1,POP,13.55,0.0,0.0,0.0,0.0,1.2,0.0,1.91,8.19,0.0,0.0
23,ME,PRG_1,PRG,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
24,MD,CON_1,CON,14.34,0.0,0.0,0.0,0.0,2.41,0.0,0.0,5.32,0.0,0.0
24,MD,LBR_1,LBR,18.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MD,LIB_1,LIB,11.54,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,13.34,0.6
24,MD,POP_1,POP,9.19,3.48,0.0,0.0,0.0,1.0,0.0,0.0,3.18,0.0,0.0
24,MD,STY_1,STY,7.5,0.7,0.0,0.0,1.01,1.62,0.0,0.0,0.0,0.0,2.26
25,MA,CON_1,CON,18.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LBR_1,LBR,15.11,0.0,0.0,0.0,0.0,0.74,0.0,3.69,0.0,0.0,0.0
25,MA,LIB_1,LIB,15.43,0.0,3.26,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,POP_1,POP,5.82,0.92,0.0,0.0,0.55,0.99,0.0,2.53,6.22,0.0,0.0
25,MA,PRG_1,PRG,12.36,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,1.14
26,MI,CON_1,CON,22.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MI,LBR_1,LBR,12.39,0.0,0.77,0.0,0.0,0.0,0.0,1.58,0.0,0.0,5.62
26,MI,LIB_1,LIB,11.77,0.0,1.56,0.0,0.91,0.0,0.0,0.0,0.0,7.89,0.0
26,MI,NAT_1,NAT,15.81,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MI,POP_1,POP,8.5,3.11,0.0,0.0,0.61,3.77,0.0,2.66,0.0,0.0,0.0
27,MN,CON_1,CON,15.64,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0
27,MN,LBR_1,LBR,11.44,0.0,0.0,0.0,0.0,0.76,0.0,2.42,0.0,0.0,2.04
27,MN,LIB_1,LIB,16.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
27,MN,POP_1,POP,9.8,0.76,0.0,0.0,0.0,0.92,0.0,2.43,10.25,0.0,0.0
