state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CON_2,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,LBR_1,CON_1,661,4,49.35,0.0,15.13,8.51,27.01
2,AK,LBR_1,STY_1,STY_1,105,4,35.4,0.0,23.62,14.53,26.45
4,AZ,CON_1,STY_1,STY_1,1159,3,44.26,0.0,20.66,17.78,17.3
5,AR,CON_1,STY_1,STY_1,390,4,41.62,0.0,23.86,10.94,23.58
6,CA,LBR_1,LIB_1,LBR_1,3626,4,30.6,0.0,23.5,24.3,21.6
8,CO,LBR_1,LIB_1,STY_1,785,4,37.81,0.0,21.36,25.23,15.61
9,CT,LBR_1,LIB_1,LBR_1,465,4,34.37,0.0,20.23,29.27,16.13
10,DE,LBR_1,LIB_1,LBR_1,164,4,35.12,0.0,31.56,23.85,9.47
11,DC,LBR_1,STY_1,LBR_1,122,4,11.77,0.0,28.44,43.05,16.73
12,FL,LBR_1,STY_1,STY_1,3350,4,41.01,0.0,21.55,12.88,24.55
13,GA,LBR_1,STY_1,STY_1,1489,4,40.54,0.0,21.19,16.46,21.81
15,HI,LBR_1,LIB_1,LBR_1,153,4,32.23,0.0,26.24,27.03,14.5
16,ID,CON_1,STY_1,STY_1,244,4,44.88,0.0,17.65,13.65,23.83
17,IL,LBR_1,LIB_1,LBR_1,1758,4,34.38,0.0,25.94,23.79,15.89
18,IN,CON_1,STY_1,STY_1,978,4,44.79,0.0,18.64,17.01,19.56
19,IA,CON_1,STY_1,STY_1,490,4,43.16,0.0,22.87,14.41,19.56
20,KS,STY_1,LIB_1,STY_1,385,4,43.18,0.0,17.53,21.03,18.26
21,KY,CON_1,STY_1,CON_1,674,4,49.46,0.0,18.21,11.68,20.65
22,LA,CON_1,STY_1,STY_1,493,4,46.22,0.0,19.36,12.1,22.32
23,ME,CON_1,LBR_1,LBR_1,236,4,31.84,0.0,20.98,30.55,16.63
24,MD,LBR_1,LIB_1,LBR_1,791,4,31.3,0.0,26.59,24.65,17.47
25,MA,LBR_1,LIB_1,LBR_1,906,4,31.0,0.0,25.45,29.44,14.11
26,MI,CON_1,STY_1,STY_1,1531,3,42.5,0.0,21.04,19.55,16.91
27,MN,CON_1,LBR_1,LBR_1,811,4,34.24,0.0,17.54,32.47,15.75
28,MS,STY_1,LBR_1,STY_1,349,4,39.61,0.0,20.31,8.69,31.4
29,MO,LBR_1,STY_1,STY_1,1047,4,42.17,0.0,22.74,13.63,21.46
30,MT,LBR_1,LIB_1,STY_1,185,4,46.91,0.0,18.5,19.83,14.77
31,NE,LBR_1,STY_1,STY_1,286,4,40.43,0.0,23.86,13.47,22.24
32,NV,LBR_1,LIB_1,STY_1,573,4,39.51,0.0,21.4,20.38,18.7
33,NH,LBR_1,LIB_1,LBR_1,252,4,33.3,0.0,32.24,22.78,11.68
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,37.42,0.0,23.06,26.17,13.36
35,NM,LBR_1,LIB_1,LBR_1,309,4,36.07,0.0,32.5,18.1,13.32
36,NY,LBR_1,LIB_1,LBR_1,2585,4,31.42,0.0,26.47,23.3,18.81
37,NC,STY_1,LIB_1,STY_1,1444,4,42.46,0.0,17.97,18.6,20.97
38,ND,CON_1,STY_1,STY_1,90,4,39.37,0.0,23.26,16.52,20.86
39,OH,CON_1,STY_1,STY_1,1978,4,43.83,0.0,19.91,15.82,20.44
40,OK,CON_1,LIB_1,CON_1,537,4,48.43,0.0,11.5,12.54,27.53
41,OR,LIB_1,LBR_1,LBR_1,810,4,34.59,0.0,22.96,32.5,9.94
42,PA,LBR_1,LIB_1,LBR_1,2418,4,40.89,0.0,20.52,25.18,13.4
44,RI,LBR_1,LIB_1,LBR_1,176,4,29.17,0.0,24.5,29.76,16.57
45,SC,CON_1,STY_1,STY_1,736,4,42.69,0.0,22.45,12.86,22.0
46,SD,CON_1,STY_1,STY_1,137,4,42.64,0.0,17.56,13.77,26.02
47,TN,CON_1,none,CON_1,1065,1,57.76,0.0,13.82,8.96,19.45
48,TX,LBR_1,STY_1,STY_1,3392,4,41.38,0.0,21.31,11.78,25.54
49,UT,LBR_1,STY_1,STY_1,387,4,34.19,0.0,26.68,11.5,27.63
50,VT,LIB_1,LBR_1,LBR_1,105,4,28.9,0.0,18.45,44.26,8.39
51,VA,LBR_1,LIB_1,STY_1,1234,4,39.31,0.0,23.97,20.74,15.98
53,WA,LBR_1,LIB_1,LBR_1,1112,4,31.22,0.0,27.03,28.33,13.41
54,WV,STY_1,LBR_1,STY_1,335,4,44.49,0.0,16.7,8.32,30.5
55,WI,LBR_1,LIB_1,STY_1,1088,4,41.11,0.0,23.24,20.47,15.17
56,WY,CON_1,STY_1,STY_1,70,4,40.81,0.0,17.8,17.06,24.34
