state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_NAT,inc_PRG,inc_DSA
44,RI,LBR_1,LBR,15.59,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,1.08,5.13
44,RI,LIB_1,LIB,17.05,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,9.73,1.24
44,RI,POP_1,POP,8.34,0.0,2.02,0.0,1.42,0.0,0.0,0.0,6.45,0.0,0.0
44,RI,STY_1,STY,6.5,0.0,5.97,0.0,0.0,3.15,1.68,1.76,0.0,0.0,0.0
45,SC,CON_1,CON,23.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,LBR_1,LBR,13.47,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88
45,SC,NAT_1,NAT,13.59,0.9,0.0,1.6,0.0,0.0,0.7,15.71,0.0,0.0,0.0
45,SC,POP_1,POP,9.0,2.7,0.0,0.0,3.62,0.0,3.88,0.0,0.0,0.0,0.0
45,SC,STY_1,STY,9.75,1.36,0.0,0.0,0.0,2.87,4.67,0.0,0.0,0.0,2.59
46,SD,CON_1,CON,19.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,12.46,0.63,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,10.33,0.0,0.73,0.0,0.64,0.0,0.0,0.0,0.0,0.0,6.16
46,SD,NAT_1,NAT,14.69,0.0,0.0,0.0,0.0,0.0,0.0,14.09,0.0,0.0,0.0
46,SD,STY_1,STY,10.57,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_1,CON,30.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,13.5,2.34,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0
47,TN,CUP_1,CUP,7.95,0.0,4.16,9.16,0.0,0.66,0.0,4.14,0.0,0.0,0.0
47,TN,NAT_1,NAT,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
