state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_RH,first_choice_MW,first_choice_MRJ,first_choice_BE,first_choice_CO,first_choice_DH,first_choice_LK,first_choice_ZN,first_choice_JR,first_choice_PRG_dsa,first_choice_DSA_prg,first_choice_DSA_lib,first_choice_LIB_dsa,first_choice_LIB_sd,first_choice_SD_lib,first_choice_SD_sty,first_choice_STY_sd,first_choice_STY_ctr,first_choice_CTR_sty,first_choice_CTR_con,first_choice_CON_ctr,first_choice_CON_ref,first_choice_REF_con,first_choice_REF_nat,first_choice_NAT_ref
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.05134306918117779,0.08093219321990816,0.008924319373204249,0.05449785066567155,0.02531319041298567,0.07469619804592093,0.02940278130186362,0.0404610017827815,0.05672700940950593,0.0340175914659446,0.016671002541550076,0.03498028617070341,0.04232264157712347,0.021531672527685168,0.006713888788927349,0.0557599872035819,0.03461579577754546,0.03706208357737743,0.06489639030774821,0.03630341058646145,0.06195906634664067,0.04753661999725957,0.037499570239126506,0.048759081458924866,0.032747351067354276,0.043700153911073215,0.03542726689911211,0.026398107937130967
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.00971485166060195,0.03753411219940863,0.01959572488524763,0.07061034607903724,0.02044894434532291,0.05518242298248459,0.009495213311678071,0.04049528676492925,0.03424228562449298,0.01330668956102647,0.03672329762861919,0.032637137200433625,0.0,0.08084651673846185,0.05835778565565713,0.05108784372041311,0.1408899071641877,0.020169987846176376,0.032028963573675004,0.01428844415798027,0.026142091281221407,0.11305117107081031,0.033269298075310885,0.022511414033061318,0.002077761540475976,0.05788264945153481,0.024717716198493965,0.009536825994515599
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.038404560926773745,0.08463449432859818,0.05286580771290765,0.07206316340714064,0.03819358418432628,0.04343967006729058,0.022290152977733367,0.028276604705287645,0.050477766142797705,0.03363873075435246,0.025687300309038694,0.026034084050874404,0.02221300347852427,0.01331087727334585,0.018311202170434596,0.0519533537341048,0.03478638951131897,0.024412780333775645,0.04381213880078479,0.05380454069408052,0.04944056406603333,0.04811250621123494,0.041861495628740544,0.043975911211191945,0.06659837697040198,0.03585139805004318,0.04980992202920567,0.0616444832379372
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.053657264099430814,0.06684442708702486,0.026810451077555184,0.02204777312776264,0.020437315041504495,0.053268248950240245,0.026403917437569636,0.0662626865439683,0.06428301080088891,0.084353580098918,0.008059255116979436,0.012777250245199,0.019204253958897615,0.04568138347233446,0.018035375109291034,0.059149350749605124,0.011742823457666184,0.05903282689776893,0.031116378540542836,0.05930345449818428,0.06087779592308015,0.06450409311668623,0.016993278581683223,0.05469818985885714,0.03330876460025299,0.02357684843655345,0.05068921294133075,0.03419293249423488
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.05182695089301483,0.04173040152650292,0.056692502639135285,0.03557006457226825,0.04702723494669747,0.034180426510568476,0.03488479055862099,0.05473744616354623,0.04883636253482694,0.05478414920595319,0.03968212293514429,0.03469688385124295,0.03113843990551508,0.03579639665078746,0.04054017559574551,0.029332822173526597,0.030888457035979467,0.04689222341919561,0.030131622883400322,0.043031628181019556,0.05033938338368662,0.03624639654688806,0.03711489162031423,0.044773632612669395,0.03986153574405736,0.049380835412276156,0.043255231457346076,0.02687684609872376
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.04485300019982803,0.058066326287839254,0.07616046099950477,0.020677332445914066,0.043176023333946545,0.053711357596454526,0.02221488206969094,0.03870369659108219,0.07299069757173557,0.03743255191900161,0.04185152672327708,0.03485512071309868,0.033276086069958966,0.03281837648184897,0.017845596888539702,0.041400266899300535,0.02696266128669544,0.03982727300242094,0.06710042070833758,0.0346995508385852,0.048998415837826895,0.06664094575429438,0.03336813544931917,0.044641388234757176,0.03666088242681905,0.04158277726561237,0.03903154307997741,0.029532490811504955
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.05506605066691686,0.0437822970412402,0.06948588232009333,0.039201514517541565,0.04066581312793346,0.02260836994466649,0.03439025966273484,0.03892335128926614,0.0320618824337791,0.05827943586338452,0.036881526204907936,0.059673906254751434,0.032602556548822985,0.04423769728485499,0.038995476933547,0.04608227330610254,0.01583144700537398,0.038597271410356196,0.0393528510473448,0.026034934881532266,0.04271086713219134,0.05519589191767102,0.029088530384760575,0.048030680174798945,0.07751751106319658,0.04248137694220097,0.05106639197212556,0.009488182696154842
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.11644643197528778,0.03321602874883392,0.03302888850616142,0.040963631396525556,0.014193037875135685,0.01242960639015239,0.0967679901054485,0.06863932253595555,0.044594288323484645,0.07650180887877871,0.03161087212851809,0.019988054034209692,0.033356915406511395,0.029445318690973353,0.10858383859798895,0.04157979276862432,0.03157363392513629,0.020393032955810717,0.04771337547687765,0.06269294830532304,0.05180518772245741,0.010545731175578492,0.02400068997796707,0.045084759987741835,0.034187393556250716,0.015999172197711038,0.02804424207589859,0.009305355510940253
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.0328215599638033,0.10860111170634042,0.10535040015377602,0.016252581344180426,0.02961545988475359,0.10772258001826214,0.023148957961872805,0.02934253150737281,0.033844986035338157,0.04156839489272776,0.06684275671431852,0.03628192370644357,0.02327664010146351,0.04699414211817163,0.04814857602670494,0.07624283559778479,0.08718959642096148,0.031094627763538663,0.05216119976932141,0.01836330076695248,0.034096390731776845,0.00781938416603734,0.025414436348557515,0.0433048060281373,0.026112651015961687,0.028408150634188997,0.024990242770559817,0.04176284767461184
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.05292674064562343,0.06477231792863565,0.02037369838579275,0.042358632815761174,0.0416013347973929,0.028695040646622857,0.03329605918073449,0.03451007695801587,0.03208957037582289,0.028231685314348214,0.039368691701537416,0.028310835236060906,0.03266725300561201,0.046834772769492446,0.026937008615053683,0.0367675748506579,0.04671785451607362,0.045917076149741734,0.060642909406404134,0.033981161476565026,0.05034453056522623,0.05362070433477948,0.033082538162940725,0.04895402997870685,0.03429634512893079,0.046288058469023466,0.04820320976403992,0.046283045780455244
