respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25
14154,LK,CTR_sty,LIB_sd,CO,CTR_con,MW,LIB_dsa,SD_lib,CON_ctr,SD_sty,RH,STY_sd,STY_ctr,MRJ,CON_ref,DSA_lib,JR,PRG_dsa,REF_con,DSA_prg,ZN,DH,REF_nat,NAT_ref,BE
14155,ZN,DSA_lib,SD_sty,DSA_prg,LIB_dsa,MW,SD_lib,JR,PRG_dsa,CO,LIB_sd,STY_ctr,MRJ,STY_sd,CTR_sty,LK,CTR_con,BE,CON_ref,CON_ctr,RH,NAT_ref,DH,REF_nat,REF_con
14156,CO,CTR_sty,LIB_sd,LK,LIB_dsa,MW,SD_lib,PRG_dsa,CTR_con,SD_sty,JR,DSA_lib,STY_ctr,STY_sd,MRJ,ZN,DSA_prg,CON_ref,CON_ctr,RH,REF_con,DH,BE,NAT_ref,REF_nat
14157,CTR_con,LK,CTR_sty,SD_lib,CON_ctr,CON_ref,MW,RH,STY_ctr,LIB_sd,SD_sty,STY_sd,CO,MRJ,LIB_dsa,REF_con,DSA_lib,DH,REF_nat,NAT_ref,JR,DSA_prg,PRG_dsa,BE,ZN
14158,SD_lib,LIB_sd,MW,CON_ref,SD_sty,CTR_con,STY_sd,LK,CO,LIB_dsa,CTR_sty,STY_ctr,MRJ,CON_ctr,RH,DSA_lib,PRG_dsa,REF_con,ZN,DSA_prg,DH,JR,REF_nat,NAT_ref,BE
14159,CO,PRG_dsa,JR,LIB_dsa,LIB_sd,SD_lib,SD_sty,DSA_lib,MW,STY_ctr,DSA_prg,ZN,CTR_sty,STY_sd,LK,MRJ,CTR_con,CON_ctr,RH,NAT_ref,CON_ref,DH,REF_nat,BE,REF_con
14160,CO,LIB_sd,SD_lib,CTR_con,LK,CTR_sty,MW,SD_sty,LIB_dsa,CON_ctr,MRJ,STY_ctr,STY_sd,DSA_lib,JR,RH,PRG_dsa,DSA_prg,CON_ref,ZN,BE,NAT_ref,REF_con,REF_nat,DH
14161,CO,CTR_sty,CTR_con,LIB_sd,LIB_dsa,SD_lib,LK,MW,SD_sty,STY_ctr,STY_sd,RH,CON_ctr,MRJ,CON_ref,DSA_lib,JR,PRG_dsa,DSA_prg,ZN,REF_con,REF_nat,DH,NAT_ref,BE
14162,CO,SD_sty,CTR_con,CTR_sty,CON_ctr,LIB_sd,MW,SD_lib,LK,STY_sd,STY_ctr,LIB_dsa,RH,CON_ref,MRJ,DSA_lib,REF_con,JR,DSA_prg,ZN,REF_nat,PRG_dsa,DH,NAT_ref,BE
14163,CON_ctr,CTR_con,RH,CTR_sty,CON_ref,LK,MW,REF_con,STY_ctr,SD_lib,STY_sd,MRJ,SD_sty,LIB_sd,DH,CO,REF_nat,NAT_ref,LIB_dsa,BE,DSA_lib,JR,ZN,PRG_dsa,DSA_prg
14164,LIB_dsa,JR,CO,LIB_sd,SD_lib,PRG_dsa,DSA_lib,MW,DSA_prg,SD_sty,STY_sd,ZN,STY_ctr,MRJ,CTR_sty,LK,CTR_con,CON_ctr,RH,CON_ref,REF_nat,DH,REF_con,NAT_ref,BE
14165,LIB_sd,SD_lib,CO,LIB_dsa,SD_sty,MW,CTR_sty,JR,DSA_lib,PRG_dsa,LK,STY_ctr,CTR_con,ZN,DSA_prg,STY_sd,MRJ,CON_ctr,RH,CON_ref,NAT_ref,DH,REF_con,REF_nat,BE
14166,CON_ref,NAT_ref,RH,CON_ctr,BE,REF_con,REF_nat,DH,CTR_con,CTR_sty,LK,STY_ctr,STY_sd,MRJ,MW,SD_sty,SD_lib,LIB_sd,DSA_lib,CO,ZN,LIB_dsa,PRG_dsa,DSA_prg,JR
14167,LIB_sd,CO,SD_lib,DSA_prg,JR,LIB_dsa,SD_sty,MW,CTR_sty,DSA_lib,PRG_dsa,STY_ctr,LK,ZN,STY_sd,MRJ,CTR_con,CON_ctr,CON_ref,RH,REF_con,NAT_ref,DH,REF_nat,BE
14168,LK,LIB_sd,CTR_sty,CTR_con,SD_lib,CO,RH,CON_ref,LIB_dsa,MW,SD_sty,CON_ctr,STY_ctr,STY_sd,MRJ,PRG_dsa,JR,DSA_lib,REF_con,DSA_prg,ZN,DH,REF_nat,BE,NAT_ref
