respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
98,RH,LK,DH,MRJ,MW,BE,CO,JR,ZN
99,RH,LK,MRJ,MW,DH,BE,CO,ZN,JR
100,JR,CO,MW,ZN,MRJ,LK,RH,DH,BE
101,JR,ZN,CO,MW,MRJ,LK,RH,DH,BE
102,MRJ,MW,JR,CO,ZN,LK,RH,DH,BE
103,CO,MW,MRJ,LK,ZN,JR,RH,DH,BE
104,LK,RH,DH,MRJ,MW,BE,CO,ZN,JR
105,CO,MW,JR,LK,MRJ,ZN,RH,DH,BE
106,RH,BE,LK,DH,MRJ,MW,CO,JR,ZN
107,MRJ,MW,RH,LK,CO,DH,ZN,JR,BE
108,MW,CO,LK,JR,RH,MRJ,ZN,BE,DH
109,LK,MW,MRJ,RH,DH,CO,BE,JR,ZN
110,JR,ZN,CO,MW,MRJ,LK,DH,RH,BE
111,CO,MW,JR,LK,RH,MRJ,ZN,DH,BE
112,DH,BE,LK,RH,MRJ,MW,JR,CO,ZN
113,ZN,JR,MW,CO,MRJ,LK,DH,RH,BE
114,LK,MW,RH,CO,MRJ,DH,JR,ZN,BE
115,CO,MW,JR,LK,ZN,MRJ,RH,DH,BE
116,LK,RH,MW,CO,MRJ,JR,DH,BE,ZN
117,RH,LK,MW,MRJ,DH,CO,BE,JR,ZN
118,ZN,JR,MW,CO,MRJ,LK,RH,BE,DH
119,RH,DH,BE,LK,MRJ,MW,CO,JR,ZN
120,DH,BE,RH,MRJ,LK,MW,CO,ZN,JR
121,CO,LK,MW,MRJ,JR,ZN,RH,DH,BE
122,BE,DH,RH,LK,MRJ,CO,JR,ZN,MW
123,CO,JR,MW,ZN,MRJ,LK,RH,DH,BE
124,CO,MW,LK,MRJ,RH,ZN,JR,DH,BE
125,MW,CO,LK,JR,RH,MRJ,ZN,DH,BE
126,ZN,MRJ,MW,JR,CO,DH,RH,BE,LK
127,MRJ,RH,MW,LK,DH,CO,BE,ZN,JR
128,MRJ,ZN,MW,DH,CO,JR,LK,RH,BE
129,RH,BE,DH,LK,MRJ,MW,CO,ZN,JR
130,ZN,JR,CO,MW,MRJ,LK,DH,BE,RH
131,RH,LK,DH,MRJ,MW,BE,CO,ZN,JR
132,LK,RH,CO,MW,MRJ,JR,DH,BE,ZN
133,DH,BE,RH,MRJ,CO,LK,MW,ZN,JR
134,CO,MW,JR,ZN,MRJ,LK,RH,DH,BE
135,RH,BE,LK,DH,MRJ,MW,ZN,CO,JR
136,LK,RH,DH,MRJ,MW,CO,BE,ZN,JR
137,LK,RH,MW,CO,MRJ,DH,JR,ZN,BE
138,BE,DH,RH,LK,MRJ,MW,JR,CO,ZN
139,JR,ZN,MW,CO,MRJ,LK,RH,BE,DH
140,MW,CO,LK,JR,MRJ,RH,DH,ZN,BE
141,RH,BE,DH,LK,MRJ,MW,JR,ZN,CO
142,LK,RH,DH,MW,BE,MRJ,CO,ZN,JR
143,RH,BE,DH,MRJ,LK,MW,CO,ZN,JR
144,MW,CO,LK,MRJ,ZN,JR,RH,DH,BE
145,RH,LK,DH,BE,MRJ,MW,CO,JR,ZN
146,RH,LK,MW,DH,MRJ,BE,CO,JR,ZN
147,JR,CO,ZN,MW,MRJ,LK,DH,RH,BE
148,ZN,CO,JR,MW,LK,MRJ,RH,BE,DH
149,LK,RH,MRJ,MW,DH,BE,CO,JR,ZN
150,MW,MRJ,CO,LK,ZN,RH,JR,DH,BE
151,LK,RH,MW,MRJ,CO,DH,BE,JR,ZN
152,CO,JR,MW,ZN,MRJ,LK,RH,DH,BE
153,JR,CO,MW,ZN,MRJ,LK,BE,RH,DH
154,RH,DH,BE,MRJ,LK,MW,CO,JR,ZN
155,CO,JR,MW,ZN,MRJ,LK,DH,RH,BE
156,LK,MW,RH,CO,MRJ,JR,ZN,DH,BE
157,MW,CO,JR,MRJ,ZN,LK,RH,BE,DH
158,CO,LK,RH,MW,MRJ,JR,ZN,DH,BE
159,MRJ,MW,ZN,CO,LK,DH,JR,RH,BE
160,LK,RH,MW,CO,DH,MRJ,BE,JR,ZN
161,LK,RH,CO,MW,MRJ,DH,BE,JR,ZN
162,ZN,MW,JR,CO,MRJ,LK,RH,DH,BE
163,JR,ZN,MW,CO,MRJ,LK,BE,RH,DH
164,MRJ,MW,ZN,RH,CO,DH,LK,BE,JR
165,MW,MRJ,LK,CO,JR,ZN,RH,DH,BE
166,RH,DH,BE,LK,MRJ,MW,ZN,CO,JR
167,CO,JR,MW,ZN,MRJ,LK,RH,BE,DH
168,MW,CO,MRJ,LK,JR,ZN,RH,DH,BE
169,CO,MW,LK,MRJ,RH,JR,ZN,DH,BE
170,MW,CO,LK,JR,MRJ,RH,ZN,DH,BE
171,LK,RH,CO,MW,MRJ,DH,JR,BE,ZN
172,MW,LK,CO,MRJ,RH,JR,ZN,DH,BE
173,BE,DH,RH,LK,MRJ,MW,CO,JR,ZN
174,MW,CO,ZN,MRJ,JR,LK,RH,DH,BE
175,JR,CO,ZN,MW,MRJ,LK,BE,RH,DH
176,RH,DH,MRJ,MW,LK,BE,CO,ZN,JR
177,CO,MW,LK,JR,ZN,MRJ,RH,DH,BE
178,RH,BE,LK,DH,MRJ,MW,CO,JR,ZN
179,LK,RH,BE,DH,MW,MRJ,CO,ZN,JR
180,LK,RH,DH,MW,CO,MRJ,BE,JR,ZN
181,CO,JR,MW,ZN,MRJ,LK,DH,RH,BE
182,RH,LK,BE,DH,MRJ,MW,CO,ZN,JR
183,MW,MRJ,ZN,CO,JR,LK,RH,DH,BE
184,RH,DH,BE,LK,MRJ,MW,CO,ZN,JR
185,MRJ,MW,ZN,CO,JR,DH,LK,RH,BE
186,CO,JR,MW,ZN,LK,MRJ,RH,DH,BE
187,MW,ZN,CO,JR,MRJ,LK,DH,RH,BE
188,MW,MRJ,ZN,CO,JR,LK,RH,DH,BE
189,BE,DH,RH,CO,ZN,LK,MW,JR,MRJ
190,MW,LK,RH,CO,MRJ,DH,ZN,JR,BE
191,CO,MW,JR,LK,MRJ,ZN,RH,BE,DH
192,CO,JR,ZN,MW,MRJ,RH,LK,DH,BE
193,JR,ZN,CO,MW,MRJ,LK,BE,DH,RH
194,RH,BE,DH,MRJ,JR,LK,MW,CO,ZN
195,BE,DH,RH,LK,MRJ,ZN,MW,JR,CO
196,CO,MW,LK,JR,MRJ,RH,ZN,DH,BE
197,JR,CO,MW,ZN,LK,MRJ,RH,BE,DH
198,MRJ,ZN,MW,DH,CO,RH,LK,BE,JR
199,BE,RH,DH,LK,MRJ,MW,CO,ZN,JR
200,BE,DH,RH,LK,MRJ,MW,CO,JR,ZN
201,ZN,MRJ,MW,JR,CO,DH,LK,RH,BE
202,RH,DH,BE,MRJ,LK,MW,JR,CO,ZN
203,CO,LK,RH,MW,MRJ,JR,DH,ZN,BE
204,ZN,JR,MW,CO,MRJ,LK,RH,DH,BE
205,LK,RH,CO,MW,MRJ,DH,BE,JR,ZN
