state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_RH,first_choice_MW,first_choice_MRJ,first_choice_BE,first_choice_CO,first_choice_DH,first_choice_LK,first_choice_ZN,first_choice_JR
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.05134306918117779,0.08093219321990816,0.008924319373204249,0.2160276360020235,0.05191417218425995,0.12212260040484944,0.1314570374115985,0.07288392107740124,0.08189690112662182,0.16784374879666253,0.10701821395176277,0.0488357690448202
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.00971485166060195,0.03753411219940863,0.01959572488524763,0.16660948733064695,0.14360464543212553,0.06990858499862727,0.09226543581046892,0.0930456405397447,0.0702705074419029,0.24200247592712285,0.04502741337284403,0.07726580914651687
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.038404560926773745,0.08463449432859818,0.05286580771290765,0.12872897850996862,0.06928973152495325,0.09689266401160594,0.18229374911854868,0.08627622576303412,0.13788392916564726,0.10321815347651933,0.08785639841212405,0.1075601700175988
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.053657264099430814,0.06684442708702486,0.026810451077555184,0.19008325753840502,0.13449544116824466,0.05222811262223369,0.12455986446321103,0.07895090869472153,0.1019028801422649,0.19326358045892206,0.051164147603866464,0.07335180730813068
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.05182695089301483,0.04173040152650292,0.056692502639135285,0.10331616268485924,0.14409323904895843,0.11490079686224895,0.10137535750138763,0.13137580021712306,0.08786254654932694,0.14547307317466804,0.05758933275364467,0.11401369120778303
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.04485300019982803,0.058066326287839254,0.07616046099950477,0.14938976850749472,0.08489086985093558,0.06846518922112434,0.13572451944440322,0.1227399479343887,0.1367190997299032,0.08837506617429572,0.0930137465180317,0.12068179261942277
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.05506605066691686,0.0437822970412402,0.06948588232009333,0.2015484305059531,0.10271651137559787,0.09111458867851364,0.0739569794302651,0.13036866540913503,0.07615667355980107,0.14114319988398363,0.04219657193453283,0.1407983792222178
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.11644643197528778,0.03321602874883392,0.03302888850616142,0.12430032631256131,0.11640517951964455,0.08702996093320098,0.147772170555689,0.1481472009769337,0.02878844489567487,0.23390566850551459,0.03299540933477684,0.08065563896600407
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.0328215599638033,0.10860111170634042,0.10535040015377602,0.13081888409498466,0.10665336382641007,0.044854794061828046,0.0,0.16701304081963786,0.056348717595795156,0.08573983233707369,0.13546694720726152,0.273104420057009
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.05292674064562343,0.06477231792863565,0.02037369838579275,0.1764886286832411,0.09791153246360894,0.1196298433787967,0.10644096434465773,0.09237946535611662,0.0778582672299323,0.18894690454208096,0.08351724458889444,0.05682714941267111
13,GA,1472.3908250832314,0.1854153116276501,0.16308445993572876,0.17120656454213182,0.0741349891001527,0.08626191909041724,0.096161569256301,0.1181168105539972,0.04985969367961807,0.032859545272296536,0.0228991369417065,0.15470192930442764,0.11459104924380754,0.10771854847299729,0.10377102792855097,0.09457056603921973,0.09261992067317576,0.19393434056509173,0.08665674166721599,0.05143587610551342
15,HI,203.14709000166366,0.17108405849938496,0.23147354641719498,0.11038188953400474,0.03539291021132822,0.15478440131547624,0.1072756776172039,0.05424136985515535,0.09074132814442311,0.024620781399219263,0.020004037006609195,0.16007899058622196,0.16163722970651406,0.0993641440773616,0.052269209734671265,0.11820752746363301,0.08898049391652153,0.17515762059564238,0.08548236763465057,0.05882241628478362
16,ID,325.3257376171863,0.20463126520678573,0.09963089124335596,0.09876664136983487,0.11802022446045173,0.06771348154331189,0.1682708938292832,0.11596533728371589,0.032011284620680654,0.06327144299049374,0.031718537452086235,0.16048328194690042,0.04585197480254011,0.0563788198189976,0.22235147483328044,0.06489516795476512,0.14475989126005426,0.11472963485654064,0.1227812925422018,0.06776846198471957
17,IL,1460.3318361668644,0.1694762314632719,0.14751637888936087,0.11122412586928143,0.07031022576289941,0.10912528356107526,0.09711397398545024,0.10621777000861982,0.06590167285406419,0.06060214443856429,0.06251219316741254,0.177194906994325,0.10533852743888948,0.06180377792459683,0.08511630360190367,0.1394441515263779,0.08653941600744085,0.16950546855745197,0.06393271634245228,0.11112473160656212
18,IN,994.9890932957763,0.19892570421824254,0.13636087916115552,0.13516936118677372,0.10344310424846466,0.07687500326701606,0.11049083235029818,0.09935432945830594,0.05382922066793847,0.05018115831488827,0.03537040712691661,0.1756144903737082,0.09760746529390472,0.06798334681876997,0.15443571031007092,0.0789532179700172,0.09180349060978855,0.1765273367225229,0.08428205191931605,0.07279288998190159
19,IA,446.7912192181343,0.1851035748871191,0.14245954265550112,0.12618605839049882,0.10517091814089673,0.06169812839022732,0.10993831935396098,0.12063546253063327,0.0551372914626021,0.06446609449542472,0.029204609693135538,0.14269687936321498,0.11161888589894398,0.055731062235794986,0.14137645922422754,0.08837820451541833,0.12214248409002072,0.17810706119882447,0.08880904153635674,0.07113992193719808
20,KS,372.6996859218709,0.22446507011734318,0.10596213308116399,0.14493820019306228,0.08775738281608654,0.10685749925847142,0.1129607332276942,0.08264991536247564,0.021293984312756982,0.06904442910607443,0.044070652524871176,0.17940906646871552,0.08573732229278536,0.1126268862731456,0.18514561516496061,0.07356924054192397,0.07830809254700297,0.10243340441826218,0.06426195416263289,0.11850841813057078
21,KY,717.9252799112746,0.209003631360063,0.1337945980884959,0.14331458720242984,0.1087827235927458,0.05923365178830753,0.12367712866425966,0.0990247600465002,0.05185857215303708,0.04607041760325513,0.025239929500905697,0.18992100470364964,0.05491356460680642,0.13143905609656717,0.15294485327941534,0.06390974097572884,0.13856359323364667,0.12311085311308992,0.0795277579594452,0.06566957603165087
22,LA,508.4085817640956,0.19994036467489726,0.10549893831331408,0.1814434686659227,0.11725177546274677,0.045056229733150654,0.08350959929645116,0.14513511072845314,0.047869656481208486,0.03384045810708984,0.04045439853676584,0.20300318880247012,0.07456274695164117,0.13998519838866427,0.15866714204599863,0.06459204728513605,0.06858691154163293,0.19382520224778074,0.028677232649730794,0.06810033008694541
23,ME,243.15825432865347,0.13627169928320618,0.1479276504246746,0.08979900147531426,0.071515022923328,0.13464629505629583,0.1473827701274051,0.07705023713443568,0.05176007829161887,0.07410430760383982,0.0695429376798816,0.18548063189049996,0.08213838106249045,0.07467819396778896,0.08519555079747962,0.2003736994988555,0.10651795904658871,0.08151739524635669,0.07651731567839994,0.1075808728115402
24,MD,782.1392251325467,0.12924431813665244,0.17333833597108028,0.15313481656063535,0.05980420392820076,0.10175377624174871,0.1114442462153964,0.08228585229321687,0.06308555066448329,0.04249874873948778,0.08341015124909797,0.09855634812062074,0.10588990695991622,0.10019937900531094,0.08196337228284889,0.1611941519642516,0.11508443040405292,0.13259611946736502,0.06358353231913645,0.14093275947649714
25,MA,790.9676385842274,0.16071855092603785,0.1713470125723615,0.1124387123351679,0.06648887059408312,0.1306130543599223,0.08074429001337714,0.0533921385352189,0.06156622446605848,0.0760755595849766,0.08661558661279599,0.15098664314118254,0.12601484866131313,0.07408777347398408,0.08673294008527721,0.13228978104351566,0.07332194138498303,0.10744235858543959,0.10972176124665728,0.13940195237764735
26,MI,1329.584123339628,0.20749943670358936,0.13312363762943943,0.09994050279332223,0.11290586273490309,0.09694374524327366,0.11438237301639446,0.08059122472652577,0.04367322730533406,0.062316268010565036,0.04862372183665272,0.17862777471924038,0.071544760656598,0.06560164191829275,0.1296614992416244,0.093113130558596,0.12452370739989609,0.15580408032467227,0.053420847605329676,0.12770255757575052
27,MN,714.0147451905302,0.14898233312684017,0.14405837276603714,0.08189010159102578,0.08218313633662191,0.13635766637752839,0.12177046743922418,0.07224634713420063,0.07303221460392828,0.041230896988083264,0.0982484636365102,0.15657103916978207,0.0967346323938859,0.03754169041623307,0.09159305792979996,0.13173644312721353,0.12457175111164068,0.1369928788484743,0.06149354673781184,0.16276496026515877
28,MS,444.2501713864426,0.18223941305599736,0.12725330243678493,0.2647117805377931,0.0765180124546201,0.03216753316545722,0.11351915763644388,0.09168282544312965,0.07614884524737388,0.02845978830381411,0.007299341718585738,0.18960464295059742,0.14442695344575848,0.20520915484889957,0.11192982277324928,0.05524075639101348,0.09948850427591148,0.1265527803884223,0.03186096504477274,0.0356864198813753
29,MO,950.7300393248061,0.19808582708266967,0.14148109155270389,0.1672368130881573,0.09879987917307202,0.06729533482332442,0.09819776651644699,0.08855895087442124,0.037278060298496236,0.07468001979555336,0.028386256795154784,0.16669972246888362,0.07451352441182522,0.15958993449981004,0.1656403662958229,0.08952175360317206,0.060152669922055806,0.1179895086349472,0.0873749748806912,0.07851754528279191
30,MT,257.38114259017533,0.18128630096008816,0.13920585444643216,0.14428481161559073,0.15624032915053004,0.10211828574630755,0.08197134311655674,0.0967638866915935,0.01606763647976912,0.050079381922579214,0.03198216987055256,0.20323885320369695,0.1365255543215695,0.12731739460436875,0.2252341819147783,0.08688292865813757,0.0319833571428631,0.08526647428594293,0.037093552742325016,0.06645770312631787
31,NE,295.9094025556517,0.17323830229952708,0.15469178617223237,0.1402619561295496,0.08111044776040151,0.07026431537895515,0.11109641548513928,0.1343053730558164,0.032798167657865446,0.0796331068698247,0.022600129190688583,0.23762696191801785,0.06798529724650323,0.05607066403799379,0.12171800308452602,0.1165805306430374,0.08708310130733635,0.13044160590292994,0.051993450556444665,0.13050038530321098
32,NV,707.5349642159226,0.17790189693195413,0.17399798873040404,0.17054103491380368,0.08927410737956563,0.08197785923446113,0.10016051750223076,0.06020447763462698,0.049908472812338914,0.05060769781883115,0.04542594704178355,0.1584762479616054,0.09591636282606239,0.14608507041807034,0.10512540663995892,0.06395227567841798,0.09746965092578251,0.15990975148399897,0.05728683512833972,0.11577839893776384
33,NH,264.70182867427593,0.12145624656423418,0.19333155827129647,0.086064009371579,0.055871440624858486,0.09380505435493498,0.07854548779038299,0.10108577273258187,0.08539694593245668,0.10305172767915803,0.0813917566785172,0.10938840468922335,0.12731696858793382,0.03532121282130906,0.11649927242269627,0.16703043114168406,0.04184801299999618,0.17773945418277295,0.08963138177078742,0.13522486138359704
34,NJ,1162.212189890641,0.16719476629850108,0.1511118467765934,0.10572941126596605,0.08457812396645736,0.10648246756306706,0.10172411665284582,0.09168512289851456,0.05842843379749055,0.06327554878531493,0.06979016199524905,0.1726688794502287,0.12725645165617364,0.05818462718057633,0.08763056551676399,0.13580838663744296,0.11274535560944524,0.11955445734593496,0.07057021763432182,0.11558105896911247
35,NM,415.09744284088754,0.16458434489665058,0.2114244576839569,0.15264702727633356,0.06320845555767315,0.08764359233913645,0.08855010493976398,0.09282302707216562,0.0448512255356518,0.05006479096989188,0.044202973728776004,0.14719170165863907,0.1710164526821925,0.0826982689488823,0.10214024629612464,0.09521645140504702,0.08731865365112744,0.15867697150187407,0.10322743137964485,0.05251382247646819
36,NY,2314.4361487307797,0.14238669427286663,0.16838300722744146,0.13390827043937492,0.06368187507219253,0.10162042088890187,0.09906413596541859,0.0932935147872337,0.06647913160541696,0.06965649104989192,0.06152645869126133,0.13225013155715756,0.1247718073655269,0.08981567596287411,0.08776584213674975,0.12495722214692824,0.08541132113971438,0.16201131140199426,0.0756728435778624,0.11734384471119244
37,NC,1455.3543868417394,0.1964343735762496,0.12670139330351865,0.1412345390691998,0.09717336346777145,0.07549828157115725,0.118503196286955,0.07851314753484702,0.06298979193908374,0.051286358272651725,0.05166555497856563,0.16706599977248873,0.0918838325657891,0.10786568314281617,0.14705509136057981,0.10339234516995459,0.10177917094825652,0.13860069334201874,0.053855298179760536,0.08850188551833589
38,ND,112.01903649032609,0.1731382178938602,0.1718164723732826,0.09447881225115919,0.052314794826818584,0.06620735106562113,0.18895814754747245,0.14387376467049257,0.05148720863807505,0.028330707879741283,0.02939452285347683,0.17029379938269293,0.14800765910878605,0.04337806898337659,0.18016795905038738,0.06724673149318378,0.1545313905515055,0.13158542277564297,0.05453683789605611,0.05025213075836876
39,OH,1727.1453712960188,0.19889036871077048,0.12337886718274836,0.13372293935481924,0.09607045618142443,0.07707915904542641,0.11560648054012039,0.12264060766831589,0.04856211854122566,0.05443088765854584,0.029618115116603064,0.18247242442257994,0.07708372565662562,0.08950573223313174,0.13777896541546225,0.10270320814577509,0.09636571921631877,0.17832513816308507,0.06853130525267874,0.06723378149434264
40,OK,606.2032476806337,0.21993886812596733,0.09133108447790962,0.13023243707271173,0.12108949541383139,0.06791354114051001,0.12556081138734085,0.11442589417946826,0.05202833548740446,0.06332564484261166,0.014153887872244565,0.17495319337921555,0.0817195146711313,0.08457411579018273,0.18586948580547963,0.058502072137790975,0.09690206420580141,0.2018894487285319,0.07386086574740244,0.041729239534464106
41,OR,861.7255247612022,0.12784489160672205,0.1377755149512359,0.0850159888488105,0.12910807510079925,0.12721852258217028,0.09583285924650799,0.050398349609230675,0.03147977754726067,0.09958061743553932,0.11574540307172322,0.12168758435001806,0.10061738930581779,0.051089854254386724,0.12288577053429894,0.10901206458339913,0.11825903902441175,0.0687171340344245,0.11744727716501431,0.1902838867482288
42,PA,2189.525528188798,0.19589433648494822,0.15231030591378025,0.1103207670586987,0.08134732081054499,0.10642637934938276,0.0979387879365827,0.07718483421226931,0.058849096971039114,0.05836215131684736,0.061366019945906444,0.1883449184993025,0.1134647889698934,0.07432447870410692,0.10056887992196467,0.11890316540944519,0.10121051534419155,0.12466475979552799,0.06895171969035976,0.10956677366520808
44,RI,163.32349721252046,0.1379976439869844,0.18637828425430564,0.12168955558422608,0.05272773233956452,0.15729971443192994,0.08988200983653494,0.06181620818152778,0.05169978755383732,0.07602663007752103,0.0644824337535682,0.16488440161341253,0.14307095547339516,0.1004597562320104,0.062780723354639,0.1432360230269923,0.060714230305449826,0.11878571560649993,0.06769689954737873,0.13837129484022215
45,SC,730.2873741362401,0.20429247181755808,0.1460414558624158,0.15150028796063017,0.10037719732893356,0.06714548837215957,0.10741690523772228,0.08546992851293903,0.03881345385689055,0.07785776749428709,0.021085043556463717,0.22145480056241498,0.128987670973102,0.09680374260672832,0.12293273300546223,0.11288964192825594,0.07878005063924655,0.11101317744273731,0.0829056561772215,0.044232526664831164
46,SD,141.47968207446456,0.17713332942872745,0.106538425288778,0.15713624467859028,0.11134418950068449,0.06696443948671668,0.10312237226526295,0.13862512689050854,0.054180012065184496,0.05399695575870123,0.0309589046368459,0.1437008250169952,0.05885376725679254,0.11660154307413303,0.1854647841376207,0.09165524980855068,0.061213083742479864,0.20322981564056472,0.06820109898326988,0.07107983233959356
47,TN,1143.4242417308235,0.2759293791137572,0.09258259536369945,0.12869560516510342,0.1327659456738824,0.0408765592153373,0.10031665099437498,0.10467143152373701,0.05304357836356796,0.049150346722716835,0.02196790786382339,0.25278039008141745,0.0568307738743005,0.07702279916032811,0.1844060032137002,0.05335888136651084,0.08824956659684276,0.17728597639038612,0.06054423267705553,0.04952137663945859
