diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
geo_breakdown,,MW,,,,,C,2179.1967,9179.5302,23.7397,11147.0363,19.55,,,,,,,,,,,,,,,,,,
geo_breakdown,,RH,,,,,C,1840.5791,9179.5302,20.0509,9874.2109,18.64,,,,,,,,,,,,,,,,,,
geo_breakdown,,DH,,,,,B,2059.2113,11781.4818,17.4784,8529.2672,24.14,,,,,,,,,,,,,,,,,,
geo_breakdown,,LK,,,,,B,2130.7414,11781.4818,18.0855,7590.070299999999,28.07,,,,,,,,,,,,,,,,,,
geo_breakdown,,CO,,,,,B,1992.3862,11781.4818,16.9112,8490.5577,23.47,,,,,,,,,,,,,,,,,,
geo_breakdown,,MW,,,,,B,2636.7097,11781.4818,22.3801,11147.0363,23.65,,,,,,,,,,,,,,,,,,
geo_breakdown,,RH,,,,,B,2962.4332,11781.4818,25.1448,9874.2109,30.0,,,,,,,,,,,,,,,,,,
geo_breakdown,,DH,,,,,D,2571.1115,12764.1616,20.1432,8529.2672,30.14,,,,,,,,,,,,,,,,,,
geo_breakdown,,LK,,,,,D,1864.6444,12764.1616,14.6084,7590.070299999999,24.57,,,,,,,,,,,,,,,,,,
geo_breakdown,,CO,,,,,D,2547.8363,12764.1616,19.9609,8490.5577,30.01,,,,,,,,,,,,,,,,,,
geo_breakdown,,MW,,,,,D,3235.5774,12764.1616,25.3489,11147.0363,29.03,,,,,,,,,,,,,,,,,,
geo_breakdown,,RH,,,,,D,2544.992,12764.1616,19.9386,9874.2109,25.77,,,,,,,,,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,BE,NAT,After_Pod_A,elimination,DH,REF,700.4635,61.71,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,BE,NAT,After_Pod_A,elimination,RH,CON,391.9224,34.53,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,BE,NAT,After_Pod_A,elimination,LK,CTR,29.7671,2.62,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,BE,NAT,After_Retail_Six,surplus,DH,REF,40.1557,14.61,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,BE,NAT,After_Retail_Six,surplus,MRJ,STY,1.2793,0.47,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,BE,NAT,After_Retail_Six,surplus,JR,PRG,0.9699,0.35,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_A,surplus,JR,PRG,129.8527,7.97,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_A,surplus,DH,REF,7.5333,0.46,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_A,surplus,BE,NAT,2.3806,0.15,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_BD,surplus,MW,SD,631.0729,7.53,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_BD,surplus,LK,CTR,135.9552,1.62,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_BD,surplus,MRJ,STY,2.9933,0.04,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_C,surplus,JR,PRG,302.6645,9.13,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Retail_Six,surplus,JR,PRG,31.8115,11.59,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Retail_Six,surplus,MRJ,STY,9.0792,3.31,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Retail_Six,surplus,ZN,DSA,0.8164,0.3,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_A,surplus,BE,NAT,25.1468,1.66,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_BD,surplus,MRJ,STY,522.8021,6.43,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_C,surplus,MRJ,STY,737.0598,18.71,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_C,surplus,MW,SD,75.8797,1.93,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_C,surplus,CO,LIB,63.0507,1.6,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Retail_Six,surplus,JR,PRG,33.1728,11.16,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Retail_Six,surplus,ZN,DSA,31.8861,10.73,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,JR,PRG,After_Pod_A,surplus,DH,REF,85.5738,5.21,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,JR,PRG,After_Pod_A,surplus,BE,NAT,68.9325,4.19,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,JR,PRG,After_Pod_C,elimination,CO,LIB,1645.432,67.73,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,JR,PRG,After_Pod_C,elimination,MW,SD,687.9086,28.31,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,JR,PRG,After_Pod_C,elimination,MRJ,STY,63.8149,2.63,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,JR,PRG,After_Retail_Six,surplus,ZN,DSA,2.2311,0.95,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_A,surplus,RH,CON,215.5271,11.12,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_A,surplus,CO,LIB,135.8657,7.01,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_A,surplus,MW,SD,63.5618,3.28,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_BD,surplus,MW,SD,448.155,5.42,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_BD,surplus,DH,REF,168.2385,2.03,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_BD,surplus,MRJ,STY,46.2241,0.56,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_C,surplus,CO,LIB,382.6824,9.57,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_C,surplus,MW,SD,292.0472,7.3,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_C,surplus,DH,REF,240.6794,6.02,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Retail_Six,surplus,CO,LIB,46.7198,12.37,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Retail_Six,surplus,MW,SD,43.6957,11.57,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Retail_Six,surplus,BE,NAT,29.4632,7.8,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_A,surplus,DH,REF,208.821,11.18,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_A,surplus,CO,LIB,85.6427,4.59,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_A,surplus,JR,PRG,73.992,3.96,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_BD,elimination,MW,SD,3655.6488,62.26,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_BD,elimination,DH,REF,1239.486,21.11,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_BD,elimination,RH,CON,696.8666,11.87,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_C,surplus,MW,SD,460.8489,12.95,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_C,surplus,JR,PRG,46.8052,1.32,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Pod_C,surplus,CO,LIB,36.8381,1.04,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Retail_Six,surplus,DH,REF,22.5186,8.18,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Retail_Six,surplus,ZN,DSA,18.0875,6.57,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MRJ,STY,After_Retail_Six,surplus,JR,PRG,2.453,0.89,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Pod_A,surplus,CO,LIB,163.9356,8.85,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Pod_A,surplus,MRJ,STY,155.0155,8.37,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Pod_A,surplus,JR,PRG,37.3634,2.02,,,,,,,,,,
