state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,493.74,19,5,45.2574,0.0,15.1521,13.2486,26.3419,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,88.28,20,5,25.7335,,18.1609,,19.0844,22.7652,14.256,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,829.23,23,5,26.2167,,,,15.8721,20.5266,18.2063,19.1783,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,287.56,22,5,34.9372,,13.3429,,7.8999,32.3352,,,11.4848,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2765.48,22,5,21.291,,,,14.5577,23.1982,24.9658,,15.9873,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,595.45,21,5,30.3065,,,,6.7449,20.944,25.8009,,16.2037,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,350.57,22,5,24.7352,,8.1835,,,20.7972,28.8789,,17.4052,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,153.56,20,5,35.3657,0.0,,,9.0229,31.3542,24.2571,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,85.92,19,5,,,,,,32.3949,30.9361,,22.9131,0.0,13.7559,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2169.03,23,5,31.6519,,17.3193,,13.4892,28.4021,,,9.1374,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1017.92,20,5,35.0152,,12.1759,,16.6898,19.8546,16.2646,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,145.63,20,5,29.0958,,,,,29.954,27.5329,,13.4173,,,0.0,
16,ID,CON_1,CON_1,CON,pure,0,,230.69,20,5,26.1763,,,,,22.088,13.9838,15.4429,22.309,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1043.65,22,5,27.0457,,14.3235,,,22.6699,23.1582,,12.8026,,,,
18,IN,CON_1,CON_1,CON,pure,0,,697.32,22,5,37.6072,,14.5923,,14.3582,17.5862,15.8561,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,313.61,23,5,37.047,,12.5835,,,24.0529,13.5897,,12.7268,,,,
20,KS,STY_1,STY_1,STY,pure,2,,262.65,20,5,43.511,0.0,,,17.4959,17.4173,21.5757,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,494.62,22,5,26.3351,,15.7738,,16.8155,26.648,,14.4275,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,350.78,19,5,25.3227,,18.6208,,16.1853,23.4322,,16.4389,,,,,
