party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,108,73,28,209,23.94
1,Labor,86,48,19,153,17.53
4,Liberal,72,33,7,112,12.83
3,Nationalist,37,36,14,87,9.97
5,Populist,41,32,12,85,9.74
2,Solidarity,43,25,5,73,8.36
6,Civic Union Party,39,24,7,70,8.02
8,DSA,19,8,3,30,3.44
9,Progressive,21,6,3,30,3.44
7,Order and Opportunity Party,15,5,4,24,2.75
