state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_id,fc_pct_CON_hi_pc,fc_pct_CON_lo_id,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_id,fc_pct_DSA_lo_id,fc_pct_LBR,fc_pct_LBR_hi_id,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_id,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_id,fc_pct_NAT_lo_id,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_id,fc_pct_POP_hi_pc,fc_pct_POP_lo_id,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_id,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_id,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_hi_pc,CON,pc,hi,424.51,5,0.0,3.955,8.127,7.365,12.093,1.532,3.605,3.161,0.0,5.34,4.429,0.0,1.742,0.55,2.043,0.925,1.812,3.395,0.602,1.713,1.256,0.521,2.18,10.358,2.297,0.0,0.403,2.766,2.558,4.046,0.345,0.0,3.378,0.811,1.481,2.252,0.643,2.319
2,AK,LBR_lo_so,LBR,so,lo,75.48,5,0.0,5.831,4.402,11.653,0.399,0.0,9.835,2.412,0.0,2.078,0.303,0.0,0.0,1.819,0.741,3.389,8.237,7.818,2.751,5.284,2.31,1.707,2.626,5.57,0.782,0.0,2.1,1.455,1.455,0.691,2.299,0.843,0.359,0.239,0.43,7.111,0.977,2.093
4,AZ,CON_hi_pc,CON,pc,hi,727.98,5,0.103,6.463,8.441,6.082,3.724,0.121,0.681,1.127,1.398,2.109,6.9,0.017,2.44,1.395,1.274,4.081,1.548,2.042,1.829,1.83,2.374,0.0,10.936,5.444,2.994,0.0,5.187,2.69,1.334,1.414,7.144,0.117,1.091,1.694,0.323,3.304,0.286,0.061
5,AR,LBR_hi_so,LBR,so,hi,249.58,5,0.0,3.41,8.313,5.213,10.278,0.0,2.928,2.773,0.0,2.316,5.117,0.0,3.036,0.091,4.179,5.105,0.976,3.183,2.551,1.686,0.942,0.691,0.801,9.114,2.975,0.0,1.731,2.516,5.491,2.019,5.063,0.143,0.57,2.796,0.554,1.499,1.059,0.882
6,CA,STY_lo_id,STY,id,lo,2399.22,5,0.354,4.249,3.355,3.377,6.043,0.207,1.801,3.703,0.3,1.129,3.687,0.059,2.164,1.111,5.416,4.125,1.971,3.999,4.149,3.976,4.532,0.03,8.931,1.734,4.089,0.059,2.787,0.654,0.986,1.68,8.396,0.001,1.548,1.532,1.333,3.959,1.062,1.513
8,CO,LBR_lo_so,LBR,so,lo,523.77,5,0.073,5.972,12.757,2.097,3.136,0.217,0.572,3.21,0.34,0.497,6.048,0.0,1.912,0.378,1.588,2.276,1.355,7.996,2.855,3.114,5.637,0.105,5.538,2.852,4.313,0.0,3.558,2.391,1.991,2.065,10.039,0.324,0.897,0.831,0.137,1.422,0.522,0.988
9,CT,LBR_hi_so,LBR,so,hi,309.17,5,0.976,6.39,2.794,2.024,8.949,0.346,2.291,3.513,0.15,1.029,3.72,0.0,1.903,2.893,4.345,2.745,1.279,2.091,3.762,5.833,2.984,0.129,6.303,3.07,4.244,0.152,1.07,0.912,2.489,4.564,10.997,0.475,0.003,0.301,0.129,3.038,1.327,0.782
10,DE,CON_lo_pc,CON,pc,lo,134.07,5,0.0,4.958,10.048,3.769,7.82,0.198,0.0,3.27,0.0,0.221,6.091,0.0,1.788,1.167,10.248,6.586,1.622,2.3,2.861,2.178,2.582,0.0,3.449,3.13,12.411,0.0,1.243,0.0,2.882,0.944,2.917,0.0,1.444,0.0,1.385,2.149,0.339,0.0
11,DC,LBR_lo_so,LBR,so,lo,76.06,5,0.0,1.464,0.0,2.417,5.201,0.0,2.024,5.881,0.896,0.0,9.725,0.0,2.037,0.412,3.254,4.453,6.123,11.005,7.936,0.753,7.248,0.0,0.0,0.0,1.636,0.0,0.0,0.0,3.551,6.442,13.935,0.0,0.0,0.762,0.0,1.605,1.014,0.226
12,FL,LBR_lo_id,LBR,id,lo,1863.69,5,0.074,2.815,7.436,7.778,6.89,0.94,5.255,5.545,0.1,3.581,3.492,0.0,2.259,0.72,3.732,3.161,1.605,2.677,2.014,2.04,2.935,0.289,0.561,7.882,4.038,0.757,0.821,0.731,4.259,1.654,2.877,0.032,3.164,0.993,0.78,3.589,1.017,1.504
13,GA,LBR_hi_id,LBR,id,hi,879.55,5,0.279,3.523,6.759,7.614,8.192,0.698,2.518,5.956,0.054,0.986,2.271,0.0,5.101,1.031,3.876,2.033,1.38,4.791,3.828,2.916,3.772,0.803,1.911,7.017,2.826,0.0,2.626,0.608,2.023,1.175,3.256,0.111,1.582,2.151,0.847,3.251,1.629,0.606
15,HI,LBR_hi_so,LBR,so,hi,127.65,5,0.0,11.314,0.504,4.684,5.38,0.0,0.464,1.06,0.0,0.0,3.948,0.0,0.545,4.263,5.495,3.446,1.805,8.821,9.192,4.55,4.018,0.0,2.947,1.899,9.965,0.312,4.505,2.054,1.58,0.181,1.153,0.0,0.651,0.271,0.948,3.464,0.43,0.151
16,ID,CON_hi_pc,CON,pc,hi,201.67,5,0.0,2.788,18.979,4.631,2.617,0.174,6.905,0.782,0.0,3.882,2.508,0.0,2.665,0.0,2.432,0.321,0.289,4.84,2.16,2.147,2.961,0.273,1.655,10.003,2.671,0.0,0.12,2.311,9.318,1.839,4.682,0.0,0.103,0.596,0.633,3.703,0.435,0.579
17,IL,LBR_lo_so,LBR,so,lo,916.03,5,0.241,5.515,5.033,5.302,7.453,0.292,2.73,4.609,0.452,1.995,3.712,0.11,1.99,0.574,3.486,3.483,1.55,3.969,3.617,1.852,6.273,0.0,5.731,1.98,6.105,0.01,2.216,0.664,1.362,2.741,8.168,0.124,0.268,0.716,0.799,3.778,0.323,0.777
18,IN,CON_hi_pc,CON,pc,hi,606.87,5,0.123,8.176,6.836,5.015,5.616,0.429,4.405,3.72,0.045,1.913,2.678,0.0,3.038,0.68,2.428,2.379,1.504,3.553,3.173,1.936,2.695,1.08,1.732,10.075,4.447,0.231,1.205,2.144,3.843,0.725,5.945,0.242,1.204,0.817,0.373,3.923,0.944,0.729
19,IA,CON_lo_id,CON,id,lo,273.07,5,0.0,2.397,7.909,7.567,4.41,0.503,6.678,3.713,0.0,1.663,5.634,0.0,0.887,0.801,2.029,6.642,0.996,2.628,1.304,2.46,2.995,1.159,1.075,10.9,5.797,0.002,3.011,0.738,5.247,0.448,4.161,0.058,2.119,1.727,0.292,1.313,0.425,0.309
20,KS,STY_lo_id,STY,id,lo,229.18,5,0.253,3.729,13.287,5.874,8.659,0.71,2.942,2.269,0.0,0.947,5.861,0.0,0.723,0.867,2.62,0.803,0.487,4.246,8.859,2.319,1.501,0.333,1.906,6.028,1.535,0.466,1.219,4.206,0.888,0.796,7.034,0.046,1.447,0.324,0.159,4.037,1.117,1.504
21,KY,CON_hi_pc,CON,pc,hi,427.15,5,0.116,3.781,9.929,5.745,5.923,1.606,5.469,1.868,0.158,2.234,2.278,1.158,2.138,2.163,1.832,2.92,1.029,5.381,1.71,1.632,2.632,0.67,3.671,9.669,4.807,0.0,1.907,0.742,3.662,1.365,3.969,0.689,0.41,2.144,2.011,2.021,0.162,0.398
22,LA,CON_hi_pc,CON,pc,hi,303.31,5,0.0,6.051,11.162,5.303,5.641,0.185,2.974,7.005,0.007,1.475,1.89,0.0,1.006,1.47,4.192,4.049,0.556,0.498,1.636,1.605,2.568,0.0,1.841,11.281,4.259,0.0,0.457,1.508,2.56,0.916,6.403,0.446,2.837,1.492,0.45,3.251,2.763,0.264
23,ME,LBR_hi_so,LBR,so,hi,153.36,5,0.0,4.999,4.987,4.396,3.21,1.328,2.44,5.304,0.0,3.828,3.753,0.0,0.868,1.107,3.754,4.319,1.976,2.674,4.353,2.739,4.43,0.096,6.002,1.354,5.44,0.0,2.853,2.371,5.744,1.994,9.741,0.0,0.206,2.201,0.401,0.814,0.319,0.0
24,MD,LBR_hi_so,LBR,so,hi,480.63,5,0.09,4.643,3.506,5.209,3.805,0.569,1.818,3.249,0.095,0.164,3.465,0.0,1.506,1.261,5.71,4.336,2.454,4.214,3.885,2.549,4.099,0.0,4.211,3.136,6.024,0.094,2.841,1.557,1.897,1.056,12.48,0.133,0.469,3.853,0.816,2.882,0.383,1.539
25,MA,LBR_hi_so,LBR,so,hi,502.68,5,2.144,4.529,5.971,2.341,6.19,0.035,1.44,1.85,0.243,1.87,6.647,0.0,1.167,0.595,5.253,4.655,1.767,5.067,3.681,2.582,6.127,0.308,3.411,3.955,4.762,0.093,0.841,1.224,3.086,1.002,11.699,0.0,1.549,0.793,0.896,0.995,0.201,1.031
26,MI,LBR_hi_so,LBR,so,hi,835.95,5,0.93,4.394,9.721,5.614,4.862,1.129,2.512,2.793,0.367,1.651,4.625,0.0,1.888,0.8,3.598,2.583,1.446,3.494,3.51,3.05,2.797,0.103,6.547,6.082,3.806,0.0,2.809,1.552,3.778,1.525,7.191,0.017,0.387,1.58,0.48,1.235,0.641,0.507
27,MN,POP_lo_pc,POP,pc,lo,461.07,5,0.196,2.961,6.623,5.077,4.319,0.279,2.419,2.793,0.0,0.72,3.456,0.015,0.828,0.623,1.311,2.53,4.219,3.386,4.089,5.718,4.758,0.0,7.16,2.325,6.987,0.13,3.647,2.169,1.127,2.397,13.621,0.34,0.231,0.626,0.84,1.707,0.072,0.3
