state_fips,state_abbr,total_weighted_respondents,first_choice_CON,first_choice_CON_hi_ae,first_choice_CON_lo_ae,first_choice_CON_hi_pc,first_choice_CON_lo_pc,first_choice_SD,first_choice_SD_hi_so,first_choice_SD_lo_so,first_choice_SD_hi_ae,first_choice_SD_lo_ae,first_choice_SD_hi_pc,first_choice_SD_lo_pc,first_choice_STY,first_choice_STY_hi_so,first_choice_STY_lo_so,first_choice_STY_hi_ae,first_choice_STY_lo_ae,first_choice_STY_hi_pc,first_choice_STY_lo_pc,first_choice_NAT,first_choice_NAT_hi_ae,first_choice_NAT_lo_ae,first_choice_LIB,first_choice_LIB_hi_pc,first_choice_LIB_lo_pc,first_choice_REF,first_choice_REF_hi_ae,first_choice_REF_lo_ae,first_choice_REF_hi_pc,first_choice_REF_lo_pc,first_choice_CTR,first_choice_CTR_hi_pc,first_choice_CTR_lo_pc,first_choice_DSA,first_choice_DSA_hi_ae,first_choice_DSA_lo_ae,first_choice_PRG
1,AL,726.2080988810737,0.035950086328116145,0.059182649624835035,0.02430848997735375,0.039372795417237046,0.08172351963879924,0.013934053771661098,0.02554956590377623,0.003500564981945149,0.005460507132651562,0.01072470532014166,0.00781385056863842,0.015247044541788577,0.012899597133733419,0.006288672490297992,0.023388147776871357,0.036644950697704355,0.029161115261933136,0.018742301569412947,0.020984275442920062,0.022841651487069795,0.03113808132550024,0.06824025135617881,0.01006230506680561,0.025265070879732204,0.008727387499708384,0.010143665098399703,0.0050239615594258715,0.027021030398993773,0.006631829005441208,0.05218493811150817,0.022841236988381138,0.06222685311148334,0.05007947359057249,0.02524457570855154,0.03723194383669576,0.05025591815806665,0.013962933237668115
2,AK,130.63833796477343,0.05392751182755994,0.02250144765836131,0.013862693099756561,0.01955357791454543,0.01510649571006041,0.028358605606237732,0.027631481005392127,0.11050776074801766,0.03089523264785326,0.003015626113875869,0.03667743599280069,0.05982700602051197,0.004434011579342149,0.0,0.008179552284623576,0.03374227941898378,0.006929624275694243,0.013147204750104736,0.01358725712512208,0.023548613260017896,0.02476207235774971,0.045166472419729375,0.017952824839824133,0.05206237476546613,0.02550556870099528,0.004230430712308406,0.009784154049270011,0.006216217473807025,0.07325952437341036,0.0016553403195464288,0.11022586058954145,0.03568278728815911,0.01918687995971898,0.009957551512341846,0.01263474003272865,0.010149867555474259,0.01613391601106743
4,AZ,1160.105247484425,0.027430801950615587,0.026616163501657075,0.04661114213603004,0.040336129167913556,0.04078270720494132,0.008296506972339333,0.01758065352999894,0.01843984603319675,0.010793165541037425,0.02112370781702167,0.011033304398924734,0.018552448150758846,0.007186625437311857,0.015755661330307313,0.02072498735330683,0.005815113217536623,0.029898104808092064,0.014325727926581497,0.00734396326758741,0.04088046465429851,0.07448838331055893,0.04399177358640282,0.019209603301531552,0.05070643484223956,0.021379964817255608,0.020022014072650033,0.029195696783159527,0.014299618865604949,0.052197145764421374,0.02413056010456907,0.016444502966904105,0.01012586387536455,0.02746707072380779,0.04425658654562596,0.02636114373705181,0.034466400541416004,0.061730011761979
5,AR,412.1819587199606,0.019184471102996297,0.03501628576805754,0.07242624193920423,0.043173958113361596,0.06100048366349848,0.013164160905865536,0.027254079280965727,0.04444392562710117,0.0349278856783343,0.01147072308898329,0.02517882436128599,0.01962819568006274,0.009138109464883514,0.006661035004687339,0.015296655494768706,0.016083358305573642,0.012421590464451042,0.012494314763996208,0.003745235058812472,0.04347270464051141,0.011092570892925127,0.05403181464538413,0.02604944584330416,0.01344993569119588,0.016273137374769694,0.011901049413877825,0.04196038850045889,0.009289656579919106,0.05089391421007861,0.0114165726953398,0.059419508177618485,0.008565514753270314,0.04879751371877871,0.023753196835262884,0.0373381332252525,0.015175709082701936,0.0344096999524607
6,CA,3966.1722756498943,0.0266081892951533,0.023717999131040477,0.024804222994168963,0.02436451225633187,0.04287388937234651,0.027151483122676998,0.04533598095714602,0.03718621578335777,0.032334595143775485,0.024954715685293696,0.018218479713574907,0.02665274187092805,0.02417031089243262,0.024246919350910598,0.025633186210868016,0.02733670223102148,0.02634051996899835,0.012376076640296505,0.014050668684379151,0.018950426389516568,0.040838204230552434,0.02667100039617717,0.05131784679527844,0.03681156987655142,0.03565703497882635,0.0213609207998334,0.013662190742044326,0.010435606054025442,0.01718997338549648,0.026483566446971574,0.03024711164866204,0.019222024281641267,0.04026870075886066,0.01308670593156337,0.015080134174218746,0.012949274117457313,0.06141029968762227
8,CO,827.2852966943861,0.04180354731986508,0.07182384177232085,0.015370323453900228,0.04209725055850148,0.03246473949789531,0.006047467953111162,0.010650804617934639,0.03990304699879152,0.010377340926496559,0.016331491618801812,0.03347060154045592,0.02342079750124632,0.018485086224317306,0.008053778347842962,0.023225016795701867,0.0016344177211835348,0.009473527352767576,0.009688535309316036,0.0016329100966786113,0.034662197274674955,0.03070052720586462,0.028582975730522635,0.03275835006955612,0.04047039488349993,0.04199233669015593,0.032457295606062087,0.015663750838539835,0.01925596060192811,0.050998581899634736,0.017950138274177498,0.010116868361492358,0.0132855094732052,0.04849580811040778,0.0412255661907115,0.00924526648630136,0.02489270003626379,0.0912912466598727
9,CT,484.15451790141344,0.02522470647259914,0.03975542548990364,0.032075272938593885,0.023159927710424563,0.12302320985093623,0.014153766734161534,0.028251585501034744,0.014305617793861292,0.009179731567840663,0.024293421947055454,0.014168350011169078,0.044478312744161176,0.00032754974136109437,0.010344391658876493,0.026715754208469722,0.005673529024107867,0.03736680144345444,0.0018265572262694905,0.009090795115286555,0.005449905902751606,0.025028652626072977,0.015180004620265872,0.0444558522352771,0.05204505942600325,0.029322031744618893,0.010478084342863264,0.032973026336263055,0.0051090752380734275,0.035965530831476855,0.017519908821626882,0.004780931652567162,0.03926273187779173,0.049079657548323954,0.015240830374484012,0.013552925737858018,0.01048793921703714,0.11065314428707779
10,DE,216.9502428906061,0.022934474037114974,0.046987238019128234,0.011480276589129307,0.029663524431836934,0.09247680720160083,0.010493652085993179,0.10584322963871735,0.024896736154051198,0.016188078955913753,0.05716212887687647,0.026205792211379926,0.007163985451772384,0.0,0.04077824786857501,0.0021845687616468185,0.02388835993598785,0.0038650849272164342,0.003845607707404722,0.0032745555226742283,0.0069528806058750765,0.037069387063542854,0.009628515540112778,0.01703352228067197,0.03983190410432322,0.054479860150517194,0.0,0.012294536004091756,0.032553503347822386,0.0,0.025260330674837187,0.09788025761067892,0.03332835514047689,0.04123369643779012,0.0,0.017167942296506714,0.006559403585952051,0.039393556779781236
11,DC,117.35734890789057,0.08177359148379229,0.005356997368653387,0.0,0.022572167915845272,0.02593779813830654,0.035309452653417735,0.07814075872154512,0.017669214585480545,0.026936549133412476,0.017702829353467814,0.02508270103552589,0.014361956118322581,0.0,0.021562031876598803,0.01377914839388985,0.0,0.004090939163894863,0.0,0.016279766372888593,0.0,0.0,0.0,0.1198038347825036,0.038889612849473766,0.0900472578479914,0.014585869921183318,0.0,0.0,0.0,0.003316384822355599,0.06294407788536593,0.02249937435288276,0.034843966954746945,0.0441710455470836,0.019347835299362938,0.04570819667323376,0.09728664074877463
12,FL,3184.133278566863,0.03202923701719493,0.029948196185014993,0.049368052576799666,0.04501402477000646,0.056596834868246015,0.020426247708103782,0.021467589155797002,0.016303627649717923,0.0323520552746656,0.01584761027562328,0.013728145684021139,0.022772752562816485,0.014945556160294847,0.018808216825230477,0.029643404574932634,0.01892248773090867,0.03850457845613251,0.008859387355220481,0.022304131153999995,0.025987704433101628,0.016573859283398516,0.032107909541751356,0.031750195840465775,0.014536722116729376,0.025705296060448017,0.010909761606193847,0.013620913942696572,0.02353770853084666,0.021932049626739804,0.021353308099071894,0.036671318416368205,0.04778465898678032,0.07885796699762716,0.013569561310804968,0.03337780174334461,0.021377134887737202,0.022503992591167147
