diagnostic,phase,candidate_code,candidate_name,party,axis,direction,raw_votes,vote_pct,status,variant_code,base_code,pod,variant_pct,base_pct,delta_vs_base,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
variant_analysis,,,,REF,ae,hi,,,,REF_hi_ae,REF,C,2.9662,1.8361,1.1301,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,ae,hi,,,,REF_hi_ae,REF,B,2.4591,1.9201,0.539,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,ae,hi,,,,REF_hi_ae,REF,D,2.6256,1.8942,0.7314,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,ae,lo,,,,REF_lo_ae,REF,Retail,2.7069,1.1278,1.5791,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,ae,lo,,,,REF_lo_ae,REF,A,1.6646,1.5875,0.0771,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,ae,lo,,,,REF_lo_ae,REF,C,2.213,1.8361,0.377,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,ae,lo,,,,REF_lo_ae,REF,B,2.2308,1.9201,0.3107,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,ae,lo,,,,REF_lo_ae,REF,D,1.724,1.8942,-0.1701,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,hi,,,,REF_hi_pc,REF,Retail,1.7855,1.1278,0.6577,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,hi,,,,REF_hi_pc,REF,A,1.7739,1.5875,0.1865,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,hi,,,,REF_hi_pc,REF,C,2.1617,1.8361,0.3257,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,hi,,,,REF_hi_pc,REF,B,1.9045,1.9201,-0.0156,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,hi,,,,REF_hi_pc,REF,D,2.2708,1.8942,0.3766,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,lo,,,,REF_lo_pc,REF,Retail,2.077,1.1278,0.9492,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,lo,,,,REF_lo_pc,REF,A,1.9395,1.5875,0.352,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,lo,,,,REF_lo_pc,REF,C,1.9716,1.8361,0.1355,,,,,,,,,,,,,,,,,,
