state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_CON_2_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,472.15,19,5,30.752,12.6182,12.5336,14.7824,22.8948,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,84.19,20,5,23.8239,18.0763,,,18.4607,22.6218,14.5438,,,,,,
4,AZ,LBR_1,LBR_1,LBR,pure,1,,796.21,23,5,22.5254,,,17.9413,,18.6954,15.3207,10.7678,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,275.25,22,5,24.5346,12.7155,,11.5279,,29.1678,,13.6067,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2646.63,22,5,18.7241,,,11.6987,18.0938,22.4766,22.2321,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,571.69,21,5,30.5892,,,,,22.6314,15.4344,18.2359,11.2309,,,,
9,CT,CON_1,CON_1,CON,pure,0,,336.8,22,5,25.2756,,,,,19.7325,18.5809,19.4434,11.5899,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,147.16,20,5,32.1191,,,,8.7674,24.9987,16.8922,,,14.402,,,
11,DC,LIB_1,LIB_1,LIB,pure,4,,82.58,19,5,,,,,,28.7811,31.2539,14.0324,14.0344,,0.0,,
12,FL,CON_1,CON_1,CON,pure,0,,2072.18,23,5,33.188,16.4132,,,18.1675,19.1353,11.1973,,,,,,
13,GA,CON_1,CON_1,CON,pure,0,,973.15,20,5,33.9126,12.1209,,,16.1124,19.7061,16.5546,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,139.57,20,5,24.038,,,,,27.3184,21.742,13.0642,,11.686,,,
16,ID,CON_1,CON_1,CON,pure,0,,221.19,20,5,23.2498,12.014,,15.6565,,25.0791,,16.2814,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1001.97,22,5,27.1807,14.2097,,,,20.7334,19.7481,12.6828,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,668.15,22,5,22.6224,16.6457,,15.3258,13.968,22.68,,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,300.5,23,5,23.3678,12.6594,,15.191,,19.2656,12.0362,,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,251.84,20,5,30.8808,,,12.1628,16.1792,17.1081,20.1248,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,473.06,22,5,24.299,13.2584,,13.9268,,16.563,11.7031,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,335.69,19,5,25.4787,18.5521,,16.6979,15.7075,17.1307,,,,,,,
