state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_LIB,inc_OAO,inc_POP,inc_NAT,inc_PRG,inc_DSA,inc_CUP,inc_STY,inc_CON,inc_LBR
1,AL,CON_1,CON,25.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,8.02,0.65,1.43,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,DSA_1,DSA,10.35,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,14.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,STY_1,STY,13.2,0.0,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.75,0.0,0.0,0.0,9.07,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,17.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,12.41,0.0,0.0,0.0,0.0,1.44,0.69,0.0,0.0,0.0,0.0
2,AK,STY_1,STY,12.17,0.0,0.0,5.09,0.0,0.0,1.2,0.0,0.0,0.0,0.0
4,AZ,CON_1,CON,20.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.17,0.0,0.95,0.0,0.0,0.0,6.1,1.34,0.0,0.0,0.0
4,AZ,LIB_1,LIB,9.21,0.0,0.92,0.0,0.0,4.94,0.0,0.0,0.0,0.0,0.0
4,AZ,NAT_1,NAT,17.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CON_1,CON,22.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.75,0.89,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0
5,AR,NAT_1,NAT,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0
6,CA,CON_1,CON,13.2,0.0,1.67,2.24,0.0,0.0,0.0,1.61,0.0,0.0,0.0
6,CA,LBR_1,LBR,16.52,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0
6,CA,LIB_1,LIB,14.65,0.0,1.47,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0
6,CA,NAT_1,NAT,10.63,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,11.43,0.0,0.0,4.17,0.0,0.0,0.0,2.04,0.0,0.0,0.0
8,CO,CON_1,CON,21.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
