cluster,share,Dem,Rep,Ind,N_weighted
0,29.58527438982219,26.730087228629653,34.428998776471204,28.602274989576753,13323.102799999999
1,12.791007972202857,72.1078806838699,0.6884548345879281,21.05233882392156,5760.16
2,11.550157222103135,63.17487639936954,3.4755291640425985,25.754130772992056,5201.3691
3,9.506542681984957,2.4509383809493444,63.636704884911374,27.100878156526502,4281.0705
4,8.880924324154515,7.35282715020354,55.55756061036623,27.791239871913753,3999.3365000000003
5,8.494096348793388,58.726842363568345,7.175827206384546,24.676982132429412,3825.1367
6,7.869966458756163,16.599418239974174,39.503150753384595,28.06336664058556,3544.0730000000003
7,4.794863723334523,57.84939832549541,9.827216708644675,25.18263270542692,2159.2655
8,4.785129503704001,5.840055550144071,59.40229021367714,27.420337977686852,2154.8819
9,1.7420373751442715,72.46132103455278,0.5447107846030355,21.862530508686092,784.4897000000001
