,F1,F2,F3,F4
F1,1.0,-0.6971,0.3349,-0.6878
F2,-0.6971,1.0,-0.3437,0.5033
F3,0.3349,-0.3437,1.0,-0.3098
F4,-0.6878,0.5033,-0.3098,1.0
