,F1,F2,F3,F4,h2
relig_church,0.026667361172776145,0.5856656849204186,-0.07623103695214337,-0.16999379984063256,0.26972070658752206
econ_income,-0.3860209123141694,-0.05906788320838401,-0.1108613411384,0.12382484613013085,0.16346190283809753
imm_border25b,0.879452064032078,-0.0013416400483571035,-0.001019182835264655,0.12372924564194616,0.9359407063536
imm_legalstatus,0.3206041124084232,-0.026574989933350203,0.23591931468910365,0.31622729747151895,0.4708485509722712
imm_sanctuary,-0.7501697611108398,-0.04856704319946952,-0.03582307989832169,-0.13869818541490042,0.808609402122707
imm_reducelegal,0.76413376988131,-0.05880166783811486,-0.04573834460933336,0.1484629826977416,0.6703458169201784
imm_dacawall,0.732569713139141,-0.032499847097088586,-0.20832158938413087,-0.10605726859747552,0.3718806780678206
imm_deportprison,0.5935294152991113,0.01831199685610411,-0.03125005499648046,0.20141540484548603,0.5607512197167251
gun_assaultban,0.39160324752905906,0.07016224382125263,0.29590931124983927,0.13321712229324142,0.49937568871608345
gun_concealcarry,0.539952049286064,0.05769840313139738,0.19855758759997272,0.028738598406067156,0.48480264914963833
abortion_alwaysallow,-0.1256816138771975,0.9662700636714999,0.004583294170523599,0.09106063225180952,0.8642202193232147
abortion_rapeincest,0.06592971731310589,0.5060146233658166,-0.13502943084919392,0.12896470429812446,0.35543451661699627
abortion_20wk,0.025023828966618724,0.6080343950763738,-0.06691441756683005,0.17099179690373242,0.4996208893035998
abortion_employer,0.15767147914764487,0.7212294897943138,0.09845255850296783,0.0023785103965173423,0.7748714899027362
abortion_funding,0.17355250293513608,0.7371422839639438,0.05485494683354063,0.006136524800812329,0.7953072089319374
abortion_illegalall,0.17598828968934271,0.5608669429345624,-0.00619666856933979,-0.1941131863578177,0.3619174253180231
race_whiteadv,0.1442015275830672,0.09369279440751008,0.100549798571833,0.627903553662392,0.6918543107436962
race_problemsrare,0.2818463945763164,0.09455795469817418,0.18187656115217843,0.2634813275856672,0.4311147809755446
gender_sexismcomp,0.27374788444985226,0.15131730493558396,0.0053620724466204505,0.27118210618897237,0.375017749762592
gender_feministsreasonable,0.1204452529488658,0.21397935920783814,0.15219256612723028,0.3617037199349528,0.4568242658205819
race_workedup,0.24097100543999203,0.06611962752164083,-0.04451355457505901,0.6547644610751707,0.7487018484494837
race_slavery,0.012717439127416116,0.06469043350400666,0.051191731225988704,0.8260063311995559,0.7875470871540511
race_lessdeserve,-0.01071587345382186,0.05415105546443922,0.07852994339099713,0.8330075262827358,0.7783201442917337
race_tryharder,0.216076658160688,0.06874973438975243,-0.04198931153762391,0.619535811971408,0.6605552829247564
spend_welfare,0.1310602046997032,0.06776699490591867,0.3579467098537965,0.338952758983939,0.4846602217086851
spend_health,0.13907877897040818,0.09644087944550915,0.6860037514688656,0.11162793014526647,0.7194293507421785
spend_education,0.1447068044560583,0.004253110145635726,0.669252369257836,0.12374538114338736,0.628324533431627
spend_lawenforce,0.28792630010292447,0.1472121524570962,-0.5583162504860393,0.22833707374575626,0.40863177892585995
spend_transport,-0.15323130978856633,0.11808723341302498,0.4533551716106222,0.11843333596024853,0.24440391854168644
tax_corprate,0.7183407312353356,0.15294131348617726,0.12227963764808651,-0.14867595768814643,0.62025962219177
tax_richcut,0.6019695924902079,0.14137633694301396,0.142077102296583,-0.19308314362492401,0.4252109268221879
exec_cleanpower,0.6664166171004509,0.1035494387801559,0.07769216575560654,-0.034020815600921156,0.5620749775885561
exec_iran,0.6481078774673562,0.12975388878880892,0.029771821624669507,0.13805966346912923,0.7333108326432211
exec_travelban,0.7025896023132584,0.02849662540704812,0.009912325901206965,0.25708361051391554,0.8508235665677252
exec_transban,0.5480951342341988,0.26682527068525547,0.09447934128395177,0.06607993988289063,0.7122412467039272
exec_twoforone,0.6598879333299027,0.12487739817515173,0.1344991988908704,0.014806105941546303,0.6717741898186693
