state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_es,fc_pct_CON_hi_pc,fc_pct_CON_lo_es,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_es,fc_pct_DSA_lo_es,fc_pct_LBR,fc_pct_LBR_hi_es,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_es,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_es,fc_pct_NAT_lo_es,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_es,fc_pct_POP_hi_pc,fc_pct_POP_lo_es,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_es,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_es,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
45,SC,POP_lo_es,POP,es,lo,451.58,5,0.373,5.916,8.735,6.791,5.772,0.416,3.85,2.904,0.004,4.127,3.711,0.0,2.769,0.562,4.178,3.011,2.973,3.048,3.472,0.781,3.5,0.739,5.417,6.007,2.737,0.0,1.748,0.837,4.709,0.874,2.116,0.0,2.007,1.148,1.233,1.421,1.664,0.449
46,SD,STY_hi_pc,STY,pc,hi,87.0,5,0.0,2.212,10.094,5.946,5.738,3.978,2.407,2.785,0.0,2.328,3.388,0.0,0.413,0.528,0.77,2.507,3.567,3.591,0.929,4.34,2.201,0.0,2.502,10.162,6.734,0.0,1.352,0.0,2.781,0.483,3.776,1.133,0.327,8.117,1.124,2.935,0.852,0.0
47,TN,CON_lo_pc,CON,pc,lo,720.06,5,0.233,3.643,10.792,10.22,8.96,1.225,3.313,2.675,0.026,1.932,4.111,0.0,2.927,0.499,1.464,0.851,1.446,0.794,1.798,1.076,1.58,1.369,1.007,14.108,4.993,0.001,1.764,0.778,2.115,3.365,2.841,0.048,1.264,0.929,1.448,2.811,0.18,1.414
48,TX,STY_lo_es,STY,es,lo,2138.97,5,0.361,4.706,6.916,7.47,6.603,0.592,4.886,4.347,0.135,3.78,3.593,0.0,3.981,1.13,2.588,2.077,1.399,3.284,2.027,2.946,2.114,0.754,2.204,6.5,4.374,0.142,0.912,1.59,2.001,1.528,2.527,0.414,1.491,1.715,1.793,3.57,1.842,1.708
49,UT,LBR_lo_es,LBR,es,lo,278.26,5,0.305,4.036,3.132,5.552,3.772,1.173,4.051,3.529,0.0,4.348,4.81,0.183,1.101,0.98,0.928,5.242,2.932,6.34,2.393,1.569,1.993,0.872,3.374,7.205,2.457,1.21,1.579,2.045,4.928,1.727,3.904,0.0,0.868,3.381,0.154,3.095,2.979,1.849
50,VT,LBR_lo_es,LBR,es,lo,74.07,5,0.0,2.042,0.795,5.77,4.923,0.0,1.538,4.762,0.0,1.327,5.09,0.0,0.366,0.416,1.323,2.473,4.115,4.191,3.324,4.173,2.61,0.0,0.0,3.791,8.607,0.0,0.598,1.956,0.817,1.534,29.891,0.0,0.372,0.0,0.495,2.702,0.0,0.0
51,VA,STY_lo_es,STY,es,lo,845.94,5,1.135,3.854,7.048,4.852,5.983,0.397,3.443,3.515,0.053,1.581,5.413,0.0,2.774,0.761,4.132,3.504,1.248,4.751,2.878,2.878,3.154,0.556,4.288,6.21,2.863,0.02,1.483,1.323,2.096,1.072,8.693,0.147,1.002,1.231,1.048,3.222,1.003,0.389
53,WA,LBR_hi_so,LBR,so,hi,795.28,5,0.187,3.98,4.596,2.551,5.606,1.571,1.713,3.479,0.207,1.576,7.09,0.334,1.906,1.389,4.566,1.696,2.372,4.141,4.822,2.231,5.203,0.0,8.82,1.489,4.168,0.0,3.494,0.967,0.731,1.374,13.272,0.021,0.853,0.154,0.612,1.687,0.082,1.062
54,WV,STY_hi_so,STY,so,hi,215.12,5,0.0,5.269,11.335,6.5,9.484,0.014,2.846,3.228,0.0,3.829,0.712,0.0,3.496,0.29,6.506,6.355,0.919,0.413,3.842,0.453,1.893,0.894,1.45,4.953,3.009,0.036,0.498,1.273,8.78,0.78,2.266,0.0,0.759,0.297,4.234,2.162,1.225,0.0
55,WI,LBR_hi_so,LBR,so,hi,620.71,5,0.128,9.111,6.256,4.524,7.162,0.45,1.285,3.874,0.219,1.135,4.521,0.001,2.691,1.94,2.4,2.672,1.294,3.245,2.866,2.637,3.0,0.092,5.929,4.656,5.071,0.045,2.191,1.325,2.202,1.621,8.97,0.028,1.058,1.834,1.808,1.329,0.168,0.261
56,WY,CUP_hi_pc,CUP,pc,hi,62.26,5,1.259,3.474,8.356,12.684,5.284,4.56,8.167,0.0,0.0,0.0,0.812,0.0,4.062,1.159,0.0,0.64,0.806,3.868,3.246,7.179,1.266,0.0,0.0,8.262,5.652,0.0,0.0,0.0,7.498,0.107,1.625,2.178,0.798,5.957,0.0,1.099,0.0,0.0
