state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_es,fc_pct_CON_hi_pc,fc_pct_CON_lo_es,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_es,fc_pct_DSA_lo_es,fc_pct_LBR,fc_pct_LBR_hi_es,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_es,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_es,fc_pct_NAT_lo_es,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_es,fc_pct_POP_hi_pc,fc_pct_POP_lo_es,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_es,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_es,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
33,NH,LBR_lo_es,LBR,es,lo,162.05,5,0.378,2.546,4.473,6.082,4.663,0.532,1.865,0.862,0.0,3.847,7.863,0.14,0.456,3.431,1.814,4.516,3.332,4.224,4.537,2.609,2.56,0.0,4.367,1.588,10.201,0.0,0.548,1.684,3.369,0.0,11.741,0.217,0.728,0.844,0.171,3.704,0.11,0.0
34,NJ,LIB,LIB,base,base,708.78,5,0.022,5.963,6.53,3.765,5.7,0.506,2.728,6.56,0.131,0.639,6.318,0.001,1.546,0.93,3.808,1.018,1.839,4.717,4.216,2.928,4.605,0.103,6.679,2.783,4.644,0.309,1.835,0.267,1.943,2.099,9.521,0.055,0.431,0.487,0.405,2.635,0.928,0.407
35,NM,LBR_hi_so,LBR,so,hi,236.15,5,0.0,4.55,7.499,4.282,5.435,0.0,1.374,5.609,0.0,0.488,4.955,0.0,0.893,3.123,7.385,2.256,5.188,3.466,2.283,3.25,4.149,0.208,5.697,1.788,2.827,0.0,0.981,1.873,0.311,4.824,7.32,0.027,0.556,1.841,0.495,0.752,2.399,1.915
36,NY,LBR_hi_so,LBR,so,hi,1380.63,5,0.124,4.568,3.578,4.125,7.373,0.215,2.599,6.332,0.17,3.226,4.153,0.11,3.129,0.524,4.618,3.538,1.352,3.572,2.99,2.985,4.483,0.248,4.454,3.1,4.131,0.057,1.953,1.747,2.8,0.749,9.334,0.02,1.331,1.511,0.833,2.494,0.984,0.489
37,NC,CON_hi_pc,CON,pc,hi,864.58,5,0.683,4.668,8.3,5.726,8.837,0.293,2.485,3.112,0.003,2.777,2.763,0.0,1.881,0.587,4.257,1.724,1.592,2.534,2.257,1.592,3.719,0.993,4.623,5.708,4.771,0.0,4.031,1.055,2.603,1.401,8.059,0.053,1.308,0.621,0.512,2.346,0.938,1.189
38,ND,CON_hi_pc,CON,pc,hi,65.17,5,0.0,13.236,9.339,2.025,2.026,0.0,10.484,7.216,0.0,0.0,2.876,0.0,1.036,0.201,2.878,0.813,8.101,2.414,2.081,3.887,0.617,0.0,0.0,2.925,5.166,0.703,0.526,0.0,10.693,0.166,5.303,0.0,0.191,1.018,0.0,3.905,0.0,0.175
39,OH,CON_lo_es,CON,es,lo,1016.99,5,0.075,5.18,7.666,9.712,5.866,0.252,3.945,4.544,0.157,2.08,4.22,0.014,3.147,0.741,2.594,1.62,1.628,2.265,2.799,2.505,2.737,0.572,2.091,9.18,3.65,0.084,1.585,1.784,2.481,2.667,4.445,0.122,1.441,1.501,0.515,2.741,1.248,0.145
40,OK,STY_lo_es,STY,es,lo,358.61,5,0.714,3.871,12.978,6.619,5.347,0.056,4.142,3.857,0.0,3.879,2.502,0.0,2.127,0.042,0.869,2.591,1.318,1.815,2.218,5.772,0.802,0.0,2.33,11.325,5.554,0.0,0.651,2.693,3.691,4.368,1.919,0.0,1.152,1.296,0.054,2.402,0.973,0.07
41,OR,LBR_lo_so,LBR,so,lo,550.47,5,0.122,4.98,4.34,2.297,3.427,0.361,2.404,1.447,0.123,3.268,5.918,0.0,2.569,1.232,2.021,2.711,1.395,4.641,3.18,4.574,5.911,0.211,10.793,3.669,2.525,0.0,3.053,0.923,1.462,0.774,16.445,0.1,0.3,0.293,0.881,0.66,0.532,0.458
42,PA,LBR_hi_so,LBR,so,hi,1340.49,5,0.157,6.396,6.777,4.564,7.91,0.287,3.205,3.148,0.176,1.674,4.141,0.023,1.996,0.511,3.955,4.366,1.706,3.364,3.821,4.057,2.535,0.217,5.356,3.607,4.358,0.025,3.096,0.811,1.849,1.652,9.431,0.094,1.358,0.732,0.85,0.74,0.794,0.262
