party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,109,69,28,206,23.6
1,Labor,109,58,19,186,21.31
5,Populist,62,50,18,130,14.89
4,Liberal,69,31,6,106,12.14
6,Civic Union Party,50,32,11,93,10.65
3,Nationalist,28,28,13,69,7.9
8,DSA,21,10,2,33,3.78
7,Order and Opportunity Party,16,5,4,25,2.86
9,Progressive,17,7,1,25,2.86
